source,target,weight
responder,sem,169
descansar,paz,88
alcalde,paz,40
fan,responder,33
alcalde,carlos,32
elreporteromx,informacionentiemporeal,30
fortaleza,paz,29
paz,qepd,26
carlos,paz,26
fan,sem,26
condolencia,paz,20
paz,pronto,19
pronto,resignacion,18
condolencia,sincero,17
paz,resignacion,17
descansar,fortaleza,17
alcalde,maipu,17
paz,senal,16
tomas,vodanovic,16
carlos,responder,16
alcalde,responder,16
qepd,resignacion,16
fallecimiento,lamentar,15
fortaleza,perdida,15
fan,paz,15
carlos,representante,15
comuna,maipu,15
descansar,resignacion,14
carlos,salinas,14
maipu,vodanovic,14
paz,responder,13
paz,perdida,13
paz,representante,13
condolencia,fallecimiento,13
condolencia,fortaleza,13
fallecimiento,sincero,12
consuelo,fortaleza,12
alcalde,tomas,12
eterno,paz,12
carlos,fan,12
arriesgar,responder,12
condolencia,descansar,11
descansar,qepd,11
perdida,pronto,11
alcalde,vodanovic,11
fortaleza,pronto,11
fortaleza,resignacion,11
fan,saludar,11
carlos,priista,11
paz,sincero,11
descansar,pronto,10
perdida,resignacion,10
maipu,tomas,10
condolencia,resignacion,10
condenar,galvez,10
festejar,festejo,10
condolencia,qepd,9
descansar,perdida,9
alcalde,representante,9
pronto,sincero,9
difundir,paz,9
paz,viernes,9
consuelo,paz,9
condolencia,lamentar,9
gritar,paz,9
anos,salinas,9
fortaleza,qepd,9
alcalde,sem,9
cardenas,lazaro,8
fortaleza,lamentar,8
beto,fan,8
representante,responder,8
milagro,paz,8
fortaleza,sincero,8
condolencia,pronto,8
paz,salinas,8
anos,carlos,8
perdida,qepd,8
alcalde,dias,8
fan,representante,8
carlos,sem,8
paz,perdurar,7
lamentar,paz,7
dias,paz,7
fallecimiento,fortaleza,7
atrevir,paz,7
alcalde,salinas,7
eterno,qepd,7
eterno,perdida,7
alcalde,fan,7
consuelo,perdida,7
alcalde,descansar,7
fan,pronto,7
alcalde,pacto,6
representante,salinas,6
alcalde,comuna,6
comuna,tomas,6
condolencia,sensible,6
lamentar,sincero,6
distancia,paz,6
anos,paz,6
eterno,resignacion,6
bala,teresa,6
alcalde,pronto,6
fallecer,pronto,6
alcalde,fortaleza,6
qepd,responder,6
fan,fortaleza,6
descansar,eterno,6
festejar,paz,6
atropellar,paz,6
dias,responder,5
fallecimiento,sensible,5
alcalde,eterno,5
fan,ivan,5
anos,dias,5
periodismo,responder,5
bad,take,5
alcalde,saludar,5
comuna,vodanovic,5
condolencia,consuelo,5
descansar,fan,5
fan,qepd,5
descansar,traducir,5
eterno,fortaleza,5
beto,carlos,5
beto,responder,5
qepd,sem,5
mayorga,sem,5
mayorga,responder,5
carlos,descansar,5
lamentar,perdida,5
anos,cardenas,5
erar,salinas,5
condolencia,perdurar,4
diputada,paz,4
descansar,lamentar,4
responder,senal,4
dias,fortaleza,4
fallecimiento,pronto,4
fallecer,paz,4
fan,mendoza,4
regalado,responder,4
paz,salvo,4
anos,atrevir,4
pacto,paz,4
embarazado,whatsapp,4
atrevir,fan,4
anos,fan,4
pronto,responder,4
rich,take,4
better,rich,4
fallecimiento,qepd,4
festejo,paz,4
carlos,sincero,4
carlos,dias,4
carlos,festejo,4
milagro,salvo,4
gritar,milagro,4
petrolera,viernes,4
carlos,ingresar,4
escenario,festejar,4
carlos,mendoza,4
fortaleza,representante,4
masivo,pronto,4
anos,responder,4
paz,respirar,4
carlos,gritar,4
consuelo,pronto,4
difundir,viernes,4
catedral,viernes,4
metropolitana,viernes,4
confirmado,difundir,4
descansar,milagro,4
masivo,paz,4
alcalde,diputada,4
condolencia,perdida,4
anos,erar,4
carlos,paraiso,4
descansar,dias,4
anos,ivan,4
dias,pacto,4
erar,responder,4
karina,representante,4
festejar,masivo,4
paz,tar,4
carlos,pronto,4
fan,mayorga,4
eterno,pronto,4
fan,regalado,4
erar,paz,4
paz,priista,4
alcalde,priista,4
alcalde,anos,4
priista,salinas,4
alta,anos,4
medrano,salinas,4
pronto,salinas,4
representante,ruben,4
bad,ford,4
diputada,festejo,4
festejar,gritar,4
atropellar,gritar,4
cardenas,paz,3
descansar,fallecimiento,3
condolencia,expresir,3
fallecimiento,resignacion,3
descansar,fallecer,3
pronto,regular,3
alta,fan,3
fan,festejar,3
consuelo,fallecimiento,3
fan,mty,3
fallecer,ivan,3
anos,perdida,3
dias,perdida,3
catedral,metropolitana,3
dias,producir,3
bala,responder,3
companera,paz,3
fan,pausa,3
periodismo,pronto,3
paz,tomas,3
bad,rich,3
exteir,sincero,3
arriesgar,festejo,3
consuelo,representante,3
pronto,whatsapp,3
karina,lizeth,3
karina,saldivar,3
lizeth,saldivar,3
milagro,patrona,3
comuna,recorrer,3
atropellar,festejo,3
alcalde,escenario,3
producir,responder,3
gritar,representante,3
ingresar,ocasionar,3
carlos,ocasionar,3
carlos,sierra,3
carlos,tomas,3
bad,better,3
sensible,sincero,3
qepd,sensible,3
dias,erar,3
apreciar,paz,3
ivan,ruben,3
alta,salinas,3
ingresar,pronto,3
escenario,paz,3
eterno,viernes,3
companera,veronica,3
carlos,galvez,3
anos,regular,3
perdida,responder,3
maipu,paz,3
anos,gritar,3
anos,hablando,3
anos,descansar,3
bala,paz,3
fan,sincero,3
alcalde,ruben,3
fan,whatsapp,3
condolencia,eterno,3
descansar,gritar,3
paz,pongas,3
comuna,producir,3
perdida,sincero,3
bbva,whatsapp,3
fan,perdida,3
ocasionar,pronto,3
eugenia,fan,3
consuelo,sincero,3
eterno,milagro,3
alcalde,sincero,3
resignacion,sincero,3
erar,fan,3
fallecer,tomas,3
anos,pronto,3
responder,ruben,3
perdida,veronica,3
calladito,ruben,3
pronto,tar,3
fallecer,fortaleza,3
ford,responder,3
alcalde,perdida,3
eterno,fallecer,3
cardenas,sem,3
cardenas,carlos,3
fan,teresa,3
lazaro,teresa,3
carlos,teresa,3
paz,sem,3
condolencia,sem,3
condolencia,responder,3
eterno,sincero,3
descansar,sincero,3
consuelo,descansar,3
beto,sem,3
narcoestado,paz,3
gritar,narcoestado,3
responder,salinas,3
perdida,salinas,3
perdida,priista,3
lamentar,pronto,3
cardenas,descansar,3
alta,evadir,3
consuelo,qepd,3
dias,salinas,3
alta,representante,3
name,rich,3
perdida,regular,3
atrevir,pronto,3
diente,festejar,3
sem,teresa,3
bad,respirar,3
calladito,representante,3
paz,pionero,3
festejo,gritar,3
atropellar,escenario,3
atropellar,festejar,3
icono,lamentar,2
lamentar,periodismo,2
fallecimiento,icono,2
fallecimiento,periodismo,2
icono,periodismo,2
periodismo,sincero,2
diputada,sincero,2
perdurar,sincero,2
condolencia,diputada,2
descansar,diputada,2
fallecimiento,paz,2
expresir,sincero,2
qepd,sincero,2
beto,paz,2
prima,responder,2
confirmado,paz,2
embargar,sensible,2
embargar,fallecimiento,2
pronto,sensible,2
eterno,periodismo,2
alcalde,periodismo,2
eterno,salvo,2
alcalde,salvo,2
consuelo,lamentar,2
pacto,tomas,2
ocasionar,paz,2
ivan,mty,2
alcalde,medrano,2
pacto,representante,2
atropellar,catedral,2
carlos,catedral,2
atropellar,carlos,2
atropellar,veronica,2
catedral,veronica,2
paz,recorrer,2
difundir,whatsapp,2
difundir,embarazado,2
mamita,milagro,2
companera,eugenia,2
bad,name,2
mendoza,teresa,2
sem,sua,2
pronto,qepd,2
difundir,senal,2
carlos,consuelo,2
luchadora,viernes,2
maipu,saludar,2
lizeth,traducir,2
saldivar,traducir,2
cardenas,viernes,2
diente,una,2
calendario,galvez,2
galvez,pausa,2
atraco,festejar,2
condenar,paraiso,2
festejar,paraiso,2
paraiso,tropiezo,2
festejar,respirar,2
gritar,respirar,2
recorrer,tomas,2
maipu,recorrer,2
ocasionar,priista,2
bala,ocasionar,2
ocasionar,sierra,2
avientar,sierra,2
consuelo,milagro,2
saldivar,sincero,2
chaleco,paz,2
escenario,maipu,2
dias,representante,2
festejo,representante,2
calladito,senal,2
ivan,pronto,2
ingresar,sierra,2
difundir,festejar,2
atropellar,milagro,2
bala,sem,2
mendoza,tomas,2
coladera,perdida,2
gritar,saludar,2
gritar,prima,2
doblar,gritar,2
fortaleza,viernes,2
difundir,doblar,2
pronto,recorrer,2
erar,tomas,2
dias,tomas,2
responder,tomas,2
responder,vodanovic,2
lazaro,ruben,2
ivan,lazaro,2
fan,gritar,2
cardenas,pronto,2
paraiso,pronto,2
diputada,responder,2
actriz,paz,2
actriz,fallecer,2
fallecer,qepd,2
paraiso,paz,2
paraiso,salinas,2
comodidad,tomas,2
descansar,responder,2
carlos,producir,2
anos,galvez,2
alcalde,karina,2
