de_tema,a_tema,termino_interno,termino_externo,weight
0,1,destacar,villarreal,77
0,1,destacar,monica,58
0,1,turismo,villarreal,49
0,2,corona,gustavo,51
0,3,brava,liga,59
0,3,brava,equipo,48
0,3,brava,final,41
0,5,visitante,playa,32
0,5,nivel,autoridad,29
0,6,internacional,festival,41
0,6,internacional,evento,34
0,6,identidad,tradicion,33
0,7,brava,campeon,40
0,7,alto,calor,28
0,7,nivel,agua,27
0,9,internacional,mexico,47
0,9,nivel,mexico,46
0,9,representar,mexico,43
0,11,merecido,felicidad,36
0,11,merecido,felicidades,29
0,11,reconocimiento,felicidad,29
0,12,doble,pedir,37
0,13,turistico,tampico,194
0,13,internacional,tampico,175
0,13,turismo,tampico,171
0,14,identidad,historia,30
0,14,educativo,educacion,28
0,14,educativo,escuela,28
0,15,nivel,nacional,116
0,15,internacional,nacional,49
0,15,destacar,nacional,49
0,16,turistico,economico,45
0,16,turismo,economico,33
0,16,alumbrado,publico,32
0,18,internacional,dia,65
0,18,alto,temperatura,60
0,18,nivel,dia,42
0,20,alto,nombre,35
0,22,historico,centro,68
0,22,alto,zona,52
0,22,alto,riesgo,43
0,23,turistico,proyecto,37
0,23,destacar,proyecto,28
0,25,visitante,turista,33
0,25,visitante,semana,32
0,25,turistico,semana,29
0,29,nivel,ano,52
0,29,alto,ano,43
0,29,representar,ano,39
0,31,nivel,gobierno,73
0,31,destacar,municipal,60
0,31,ofrecer,servicio,49
0,33,huella,dejar,29
0,34,turismo,rodriguez,41
0,34,turismo,secretario,33
0,34,turismo,hernandez,29
1,0,villarreal,destacar,77
1,3,presidenta,equipo,93
1,3,villarreal,tampiqueno,83
1,3,excelente,equipo,78
1,5,presidenta,persona,83
1,6,villarreal,dif,118
1,6,presidenta,evento,110
1,6,villarreal,evento,106
1,8,presidenta,gente,105
1,8,excelente,gente,97
1,8,monica,gente,94
1,9,presidenta,mexico,254
1,9,presidenta,claudia,249
1,9,presidenta,sheinbaum,150
1,11,presidenta,gracias,364
1,11,monica,gracias,328
1,11,villarreal,gracias,313
1,13,villarreal,tampico,1227
1,13,monica,tampico,1109
1,13,presidenta,tampico,778
1,14,villarreal,espacio,112
1,14,monica,espacio,98
1,14,presidenta,bonito,95
1,16,desarrollo,economico,130
1,16,villarreal,sistema,91
1,16,villarreal,publico,89
1,18,monica,dia,165
1,18,villarreal,dia,156
1,18,presidenta,dia,151
1,20,villarreal,luz,116
1,20,presidenta,luz,82
1,20,anaya,luz,78
1,22,villarreal,colonia,130
1,22,monica,colonia,122
1,22,villarreal,municipio,112
1,23,desarrollo,proyecto,75
1,27,presidenta,pueblo,159
1,29,villarreal,familia,174
1,29,monica,familia,159
1,29,presidenta,familia,158
1,31,presidenta,municipal,724
1,31,villarreal,municipal,556
1,31,monica,municipal,421
2,0,gustavo,corona,51
2,0,participacion,destacar,23
2,1,participacion,monica,29
2,1,participacion,villarreal,29
2,1,participacion,presidenta,25
2,3,participacion,equipo,17
2,5,libertad,persona,20
2,5,diputados,camara,17
2,5,participacion,autoridad,15
2,6,libertad,plaza,50
2,6,participacion,cultura,18
2,6,participacion,actividad,16
2,7,medalla,bronce,22
2,8,oro,plata,17
2,9,libertad,pais,30
2,9,libertad,mexico,25
2,9,medalla,olimpiada,25
2,10,responsabilidad,emitir,66
2,10,libertad,emitir,64
2,10,expresion,emitir,64
2,11,libertad,columna,130
2,11,expresion,columna,130
2,11,responsabilidad,columna,128
2,12,libertad,venezuela,41
2,12,coming,mona,20
2,12,libertad,lucha,17
2,13,participacion,tampico,101
2,13,inicio,tampico,65
2,13,responsabilidad,tampico,50
2,14,participacion,espacio,19
2,14,libertad,vivir,18
2,14,medalla,atleta,16
2,15,medalla,nacional,37
2,15,participacion,nacional,27
2,15,libertad,justicia,26
2,16,participacion,contar,29
2,16,responsabilidad,mayo,23
2,16,participacion,social,22
2,18,libertad,mujer,26
2,18,libertad,dia,25
2,18,inicio,dia,21
2,19,responsabilidad,junio,21
2,21,diaz,miguel,31
2,22,libertad,newsletter,65
2,22,expresion,newsletter,65
2,22,responsabilidad,newsletter,64
2,23,responsabilidad,julio,20
2,23,jaibo,puerto,19
2,24,participacion,ciudadano,22
2,24,libertad,derecho,18
2,25,inicio,semana,28
2,26,expresion,informativo,66
2,26,libertad,noticias,65
2,26,expresion,noticias,65
2,27,libertad,articulo,66
2,27,responsabilidad,articulo,64
2,27,expresion,articulo,64
2,28,youtube,canal,16
2,29,inicio,ano,21
2,29,participacion,paz,20
2,29,participacion,ano,19
2,30,libertad,quedar,76
2,30,libertad,casa,72
2,30,libertad,opinion,68
2,31,participacion,municipal,44
2,31,responsabilidad,seguir,37
2,31,participacion,fortalecer,33
2,33,oro,dejar,19
2,33,libertad,deber,18
2,33,libertad,democracia,15
2,34,participacion,cabo,15
3,0,liga,brava,59
3,0,equipo,brava,48
3,0,final,brava,41
3,1,equipo,presidenta,93
3,1,tampiqueno,villarreal,83
3,1,equipo,excelente,78
3,6,deportivo,evento,46
3,6,participar,invitar,33
3,6,equipo,recibir,28
3,7,equipo,campeon,41
3,7,liga,campeon,40
3,8,partido,verde,32
3,9,mundial,mexico,106
3,9,partido,mexico,104
3,9,seleccion,mexico,51
3,10,cruz,roja,33
3,11,equipo,gracias,75
3,11,tampiqueno,gracias,56
3,11,equipo,felicidad,49
3,12,copa,mundo,41
3,12,mundial,mundo,28
3,13,equipo,tampico,237
3,13,mundial,tampico,162
3,13,tampiqueno,tampico,147
3,14,mundial,vivir,34
3,14,futbol,historia,31
3,14,deportivo,espacio,30
3,15,partido,nacional,44
3,15,participar,nacional,43
3,15,deportivo,nacional,35
3,16,dolares,millon,67
3,16,partido,buscar,32
3,18,mundial,dia,70
3,18,nunez,ruiz,59
3,18,nunez,adolfo,55
3,19,mundial,junio,42
3,20,partido,ganar,28
3,22,equipo,seguridad,45
3,22,participar,estatal,38
3,22,equipo,colonia,33
3,23,mundial,fifa,30
3,26,electricidad,comision,31
3,27,partido,politico,70
3,27,partido,morena,34
3,27,partido,pan,29
3,28,final,clausura,46
3,28,partido,hora,30
3,28,liga,clausura,29
3,29,equipo,familia,60
3,29,equipo,ano,42
3,29,mundial,familia,40
3,31,tampiqueno,seguir,74
3,31,equipo,seguir,71
3,31,participar,municipal,60
3,33,final,querer,40
3,33,partido,deber,38
3,33,partido,querer,35
3,34,futbol,pasion,44
4,1,madre,monica,27
4,1,hijo,villarreal,25
4,1,negocio,local,25
4,5,malo,persona,24
4,5,madre,persona,24
4,5,hijo,persona,22
4,6,madre,recibir,21
4,7,madre,cielo,20
4,8,hijo,salir,27
4,8,madre,gente,25
4,8,hijo,gente,25
4,9,madre,mexico,54
4,9,madre,pais,39
4,9,hijo,pais,28
4,10,hijo,seguro,21
4,11,madre,gracias,58
4,11,madre,feliz,38
4,11,hijo,gracias,24
4,12,madre,maria,71
4,12,madre,volver,27
4,12,madre,pedir,24
4,13,negocio,tampico,74
4,13,hijo,tampico,45
4,13,producto,tampico,44
4,14,hijo,padre,50
4,14,madre,padre,39
4,14,madre,vivir,35
4,15,madre,justicia,25
4,15,hijo,nacional,21
4,16,precio,pesos,57
4,16,madre,buscar,31
4,16,costar,pesos,24
4,17,issste,hospital,30
4,18,madre,dia,106
4,18,madre,mujer,63
4,18,madre,amor,51
4,19,hijo,lopez,20
4,20,madre,senora,34
4,20,madre,luz,22
4,20,madre,llamar,20
4,22,negocio,zona,22
4,23,madre,virgen,44
4,23,madre,guadalupe,30
4,25,madre,santa,19
4,26,aca,alias,41
4,27,madre,pueblo,29
4,27,comprar,dinero,25
4,27,madre,hermano,20
4,28,madre,esperar,26
4,28,marcado,clima,23
4,28,hijo,esperar,19
4,29,madre,ano,81
4,29,madre,vida,78
4,29,madre,familia,68
4,30,madre,casa,38
4,30,madre,amar,23
4,30,hijo,casa,22
4,31,madre,gobierno,41
4,31,madre,seguir,40
4,31,negocio,gobierno,25
4,33,madre,querer,72
4,33,madre,dejar,56
4,33,hijo,querer,43
5,0,playa,visitante,32
5,0,autoridad,nivel,29
5,1,persona,presidenta,83
5,1,persona,excelente,45
5,1,persona,villarreal,41
5,6,persona,recibir,50
5,6,persona,grupo,37
5,6,persona,compartir,32
5,8,persona,gente,72
5,8,persona,salir,47
5,8,persona,cualquiera,38
5,9,persona,mexico,82
5,9,persona,pais,52
5,9,persona,mexicano,38
5,10,persona,seguro,29
5,11,persona,gracias,88
