source,target,weight,tipo,tema_source,tema_target,sub_source,sub_target
tamaulipas,tampico,1593.0,intra_sub,3,3,0,0
tamaulipas,cdvictoria,218.0,intra_cluster,3,3,0,-1
tamaulipas,reynosa,193.0,intra_cluster,3,3,0,1
tamaulipas,altamira,192.0,intra_cluster,3,3,0,-1
tamaulipas,matamoros,170.0,intra_cluster,3,3,0,1
tamaulipas,madero,140.0,intra_cluster,3,3,0,-1
tamaulipas,nuevolaredo,79.0,intra_cluster,3,3,0,1
tamaulipas,cdmadero,66.0,intra_cluster,3,3,0,-1
tamaulipas,monterrey,35.0,intra_cluster,3,3,0,3
tamaulipas,laredo,20.0,intra_cluster,3,3,0,3
tamaulipas,agencia,19.0,intra_cluster,3,3,0,1
tamaulipas,leer,17.0,intra_cluster,3,3,0,3
tamaulipas,leal,16.0,intra_cluster,3,3,0,3
tamaulipas,cesar,13.0,intra_sub,3,3,0,0
tamaulipas,toluca,12.0,intra_cluster,3,3,0,3
tamaulipas,registrado,12.0,intra_sub,3,3,0,0
tamaulipas,nuevoleon,10.0,intra_cluster,3,3,0,1
tamaulipas,capitulo,8.0,intra_cluster,3,3,0,3
tamaulipas,hernan,8.0,intra_cluster,3,3,0,3
tamaulipas,nld,7.0,intra_cluster,3,3,0,1
tamaulipas,beca,7.0,intra_sub,3,3,0,0
tamaulipas,rojas,6.0,intra_cluster,3,3,0,3
tamaulipas,gabriela,6.0,intra_cluster,3,3,0,3
tamaulipas,convocatoria,5.0,intra_cluster,3,3,0,3
tamaulipas,ganador,5.0,intra_cluster,3,3,0,3
tamaulipas,castaneda,4.0,intra_cluster,3,3,0,3
tamaulipas,democratico,3.0,intra_cluster,3,3,0,3
tamaulipas,himno,3.0,intra_cluster,3,3,0,3
tamaulipas,aficion,3.0,intra_cluster,3,3,0,3
tamaulipas,poseer,3.0,intra_cluster,3,3,0,3
tamaulipas,villarreal,281.0,extra,3,27,0,0
tamaulipas,monica,184.0,extra,3,27,0,0
tamaulipas,sur,176.0,extra,3,32,0,2
tamaulipas,gobierno,159.0,extra,3,11,0,0
tamaulipas,presidenta,149.0,extra,3,27,0,-1
tamaulipas,ciudad,148.0,extra,3,32,0,4
tamaulipas,mexico,146.0,extra,3,26,0,2
tamaulipas,municipal,139.0,extra,3,27,0,-1
tamaulipas,alcaldesa,121.0,extra,3,27,0,4
tamaulipas,seguir,94.0,extra,3,21,0,0
tamaulipas,gobernador,92.0,extra,3,7,0,1
tamaulipas,fortalecer,90.0,extra,3,27,0,1
tamaulipas,bienestar,86.0,extra,3,21,0,2
tamaulipas,dia,82.0,extra,3,33,0,14
tamaulipas,anaya,81.0,extra,3,27,0,0
tamaulipas,desarrollo,80.0,extra,3,6,0,4
tamaulipas,nacional,79.0,extra,3,22,0,5
tamaulipas,municipio,78.0,extra,3,32,0,2
tamaulipas,zona,77.0,extra,3,5,0,2
tamaulipas,americo,77.0,extra,3,7,0,1
tamaulipas,gracias,77.0,extra,3,33,0,6
tamaulipas,riobravo,74.0,extra,3,2,0,6
