palabra,tema_id,sub_id,participation,z_within_degree,grado_total,rol
tampico,13,0,0.9933,1.3363,430,broker
tamaulipas,13,0,0.9853,0.5345,158,broker
gobierno,49,4,0.9685,1.9403,164,broker
mexico,27,0,0.9679,2.2295,115,broker
ciudad,13,0,0.9664,0.5345,92,broker
familia,14,1,0.9641,1.3363,126,broker
gracias,30,1,0.961,2.2786,131,broker
ano,41,1,0.9588,2.5649,148,conector_provincial
vida,18,1,0.9568,2.7791,101,conector_provincial
presidenta,47,3,0.9565,-0.7071,133,broker
seguir,47,1,0.9565,1.322,135,broker
zona,2,0,0.9554,0.9546,121,broker
villarreal,47,0,0.954,1.0,131,broker
querer,42,-1,0.9536,1.4434,94,broker
dia,0,4,0.9495,2.4981,126,broker
seguridad,31,1,0.9487,1.7162,118,broker
municipal,47,3,0.9476,1.4142,118,broker
monica,47,0,0.9474,1.0,114,broker
pais,10,0,0.9471,1.5396,115,broker
accion,31,2,0.9467,2.6383,109,conector_provincial
gente,42,0,0.9465,0.2041,73,broker
deber,49,-1,0.9456,0.0,107,broker
dejar,42,4,0.945,1.7321,73,broker
municipio,31,9,0.945,1.5689,109,broker
secretaria,31,6,0.9444,0.8165,98,broker
pueblo,10,0,0.9443,0.866,94,broker
persona,2,3,0.943,2.6941,106,conector_provincial
madre,33,0,0.9425,1.4486,81,broker
servicio,15,2,0.9409,1.9752,80,broker
saludo,36,0,0.9406,1.2247,60,broker
