palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
как,3,-1,periferico,0.0,1.4361,1
что,3,-1,periferico,0.0,1.4361,1
milei,3,0,periferico,0.3802,1.224,22
méxico,3,0,conector_provincial,0.8247,3.0418,106
país,3,0,broker,0.7921,1.5876,55
mexicano,3,0,broker,0.8274,0.8604,63
mundial,3,3,broker,0.7816,2.002,37
muerte,3,4,broker,0.7644,0.0483,15
pena,3,4,broker,0.6939,1.1117,14
argentina,3,0,broker,0.6124,0.8604,26
querer,3,2,broker,0.8084,1.8347,73
américa,3,1,broker,0.702,1.718,35
equipo,3,1,conector_provincial,0.776,2.8288,63
deber,3,1,broker,0.7807,2.3845,83
partido,3,3,broker,0.767,0.3128,36
esperar,3,1,broker,0.7965,1.2737,44
unidos,3,0,broker,0.7438,-0.2303,22
pasar,3,2,broker,0.7924,2.0356,62
patria,3,4,broker,0.7599,2.1752,27
traición,3,4,broker,0.7289,0.58,15
corrupción,3,0,broker,0.7221,-0.2303,23
fútbol,3,3,conector_provincial,0.7479,2.8465,44
político,3,0,broker,0.6694,0.1333,22
pueblo,3,0,broker,0.75,0.8604,36
gente,3,2,broker,0.8035,2.4373,66
salir,3,2,conector_provincial,0.7754,2.6382,65
común,3,1,periferico,0.2449,-0.7257,7
sentido,3,1,broker,0.6933,-0.5036,15
corrupto,3,0,broker,0.6822,0.8604,30
pasión,3,3,broker,0.5882,1.4389,17
cancha,3,1,broker,0.5204,-0.0592,14
mexico,3,0,broker,0.7461,0.3151,35
narco,3,0,broker,0.7076,0.8604,31
caer,3,0,broker,0.6429,0.8604,28
centro,3,1,broker,0.8097,-1.17,17
creer,3,1,broker,0.8021,1.2737,48
claudia,3,0,broker,0.7188,0.1333,27
ley,3,2,broker,0.77,0.4285,31
vender,3,4,broker,0.7778,-1.0151,6
jugar,3,1,broker,0.6777,0.3851,22
azteca,3,-1,broker,0.6173,-0.6963,9
felicidades,3,3,broker,0.6942,0.0313,11
claro,3,1,broker,0.7166,-0.2814,21
delincuente,3,0,broker,0.585,0.3151,20
argentino,3,0,periferico,0.18,-0.2303,10
cumpleaños,3,3,broker,0.5,-1.0948,2
feliz,3,3,broker,0.6852,1.1574,18
lograr,3,-1,broker,0.7812,1.4361,8
hablar,3,1,broker,0.7439,0.3851,34
castigar,3,1,broker,0.6746,-0.7257,13
serio,3,2,broker,0.5833,-0.1741,12
quedar,3,3,broker,0.7729,0.3128,38
sacar,3,2,broker,0.7986,-0.375,24
líder,3,-1,broker,0.72,1.4361,5
mal,3,2,broker,0.6939,0.2277,21
ganar,3,1,broker,0.7753,0.3851,29
puma,3,1,broker,0.6368,0.8294,25
selección,3,3,broker,0.5408,1.1574,14
triunfo,3,3,broker,0.6667,-0.2502,9
gustar,3,0,broker,0.7422,-1.3209,16
morir,3,7,broker,0.6667,1.0,6
sinaloa,3,7,broker,0.6111,1.0,6
cualquiera,3,2,broker,0.7008,0.4285,25
siglo,3,3,broker,0.6111,-0.5318,6
pagar,3,0,broker,0.7986,-0.5938,24
marina,3,0,broker,0.6122,-0.412,14
amlo,3,0,broker,0.585,0.3151,20
realidad,3,0,broker,0.6735,-1.3209,14
triste,3,-1,periferico,0.2778,-0.6963,6
jefe,3,1,broker,0.58,-1.17,10
metro,3,1,broker,0.7713,-0.5036,23
tirar,3,2,broker,0.6837,-0.1741,14
ayudar,3,1,broker,0.5289,-0.5036,11
respeto,3,1,broker,0.6358,0.1629,18
artificial,3,5,periferico,0.0,-1.1547,2
inteligencia,3,5,broker,0.625,-1.1547,4
casa,3,2,broker,0.7396,0.2277,24
tratar,3,1,broker,0.75,-0.7257,20
jajaja,3,1,broker,0.58,-0.9479,10
jajajaja,3,-1,broker,0.6111,-0.6963,6
bonito,3,3,broker,0.7041,0.0313,14
malo,3,2,periferico,0.4938,-0.5758,9
tomar,3,2,broker,0.7071,0.8303,26
llamar,3,0,broker,0.74,-1.3209,10
libre,3,3,broker,0.7266,-0.2502,16
mano,3,1,broker,0.7734,-0.7257,16
mandar,3,0,broker,0.7107,-1.1392,11
servir,3,0,broker,0.6982,-0.7756,13
escuchar,3,1,broker,0.7469,-0.5036,18
dinero,3,4,broker,0.78,0.0483,20
gol,3,-1,broker,0.625,-0.6963,8
pensar,3,1,broker,0.7438,-0.2814,21
felicidad,3,3,broker,0.75,0.3128,16
falta,3,1,broker,0.6094,-0.5036,16
sancionar,3,-1,broker,0.56,1.4361,5
único,3,1,broker,0.6852,-0.2814,18
cumplir,3,-1,periferico,0.32,-0.6963,5
aficionado,3,3,broker,0.6875,-0.5318,8
carro,3,2,broker,0.5694,-0.375,12
respetar,3,2,broker,0.7099,0.0268,18
cosa,3,0,broker,0.7602,-0.2303,28
etc,3,-1,broker,0.7644,1.4361,15
delito,3,-1,periferico,0.4082,-0.6963,7
video,3,1,broker,0.7612,-1.17,17
meter,3,2,broker,0.6562,-0.7767,8
prensa,3,5,periferico,0.0,0.5774,4
rueda,3,5,periferico,0.375,-0.2887,4
regresar,3,4,broker,0.7344,-1.0151,16
vergüenza,3,2,broker,0.62,-0.5758,10
detener,3,0,broker,0.6272,-0.7756,13
ojalá,3,2,broker,0.755,-0.5758,20
limpiar,3,-1,periferico,0.2778,-0.6963,6
bendición,3,3,periferico,0.4688,0.0313,8
forma,3,1,broker,0.6016,-0.0592,16
pobre,3,2,broker,0.6719,-0.1741,16
televisa,3,-1,broker,0.7188,-0.6963,8
ridiculo,3,2,broker,0.5312,-0.5758,8
venir,3,2,broker,0.7692,-0.9776,13
noche,3,3,broker,0.6111,-0.5318,6
mundialista,3,3,broker,0.54,0.3128,10
hermoso,3,3,periferico,0.46,0.5943,10
madre,3,7,broker,0.7755,-1.0,14
plano,3,-1,broker,0.625,-0.6963,4
