tema_id,sub_id,comunidad_cod,n_palabras,n_aristas,densidad,grado_medio,grado_max,asortatividad_peso,color
0,0,0,11,28,0.5091,5.09,10,-0.338,#1f77b4
0,1,1,30,81,0.1862,5.4,21,-0.3,#1f77b4
0,2,2,13,33,0.4231,5.08,10,-0.365,#1f77b4
0,3,3,15,34,0.3238,4.53,12,-0.37,#1f77b4
0,4,4,18,37,0.2418,4.11,8,-0.258,#1f77b4
0,5,5,7,14,0.6667,4.0,6,-0.277,#1f77b4
0,-1,9999,2,0,0.0,0.0,0,,#1f77b4
1,0,10000,23,113,0.4466,9.83,20,-0.217,#ff7f0e
1,1,10001,30,94,0.2161,6.27,22,-0.198,#ff7f0e
1,2,10002,22,80,0.3463,7.27,18,-0.206,#ff7f0e
1,3,10003,19,72,0.4211,7.58,14,-0.21,#ff7f0e
1,4,10004,13,26,0.3333,4.0,10,-0.299,#ff7f0e
2,0,20000,20,79,0.4158,7.9,17,-0.289,#2ca02c
2,1,20001,8,22,0.7857,5.5,7,-0.318,#2ca02c
2,2,20002,19,76,0.4444,8.0,13,-0.105,#2ca02c
2,3,20003,14,42,0.4615,6.0,11,-0.258,#2ca02c
2,4,20004,22,51,0.2208,4.64,18,-0.275,#2ca02c
3,0,30000,16,47,0.3917,5.88,14,-0.382,#d62728
3,1,30001,26,79,0.2431,6.08,16,-0.207,#d62728
3,2,30002,29,80,0.197,5.52,14,-0.1,#d62728
3,3,30003,17,46,0.3382,5.41,12,-0.27,#d62728
3,4,30004,11,10,0.1818,1.82,4,-0.432,#d62728
4,0,40000,28,97,0.2566,6.93,20,-0.258,#9467bd
4,1,40001,17,32,0.2353,3.76,9,-0.209,#9467bd
4,2,40002,16,28,0.2333,3.5,12,-0.477,#9467bd
4,3,40003,17,26,0.1912,3.06,7,-0.11,#9467bd
4,4,40004,10,20,0.4444,4.0,7,-0.424,#9467bd
4,5,40005,11,16,0.2909,2.91,7,-0.426,#9467bd
4,6,40006,11,6,0.1091,1.09,2,-0.292,#9467bd
5,0,50000,12,42,0.6364,7.0,11,-0.247,#8c564b
5,1,50001,30,79,0.1816,5.27,22,-0.268,#8c564b
5,2,50002,15,53,0.5048,7.07,11,-0.219,#8c564b
5,3,50003,13,18,0.2308,2.77,5,-0.03,#8c564b
6,0,60000,16,32,0.2667,4.0,13,-0.288,#e377c2
6,1,60001,26,42,0.1292,3.23,9,-0.19,#e377c2
6,2,60002,17,36,0.2647,4.24,14,-0.302,#e377c2
6,3,60003,18,35,0.2288,3.89,9,-0.046,#e377c2
6,-1,69999,7,7,0.3333,2.0,3,-0.759,#e377c2
7,0,70000,18,56,0.366,6.22,14,-0.191,#7f7f7f
7,1,70001,18,28,0.183,3.11,10,-0.267,#7f7f7f
7,2,70002,19,31,0.1813,3.26,10,-0.292,#7f7f7f
7,3,70003,16,22,0.1833,2.75,9,-0.23,#7f7f7f
7,4,70004,10,16,0.3556,3.2,6,-0.34,#7f7f7f
7,-1,79999,3,3,1.0,2.0,2,-0.5,#7f7f7f
8,0,80000,25,117,0.39,9.36,23,-0.362,#bcbd22
8,1,80001,21,88,0.419,8.38,17,-0.228,#bcbd22
8,2,80002,26,63,0.1938,4.85,16,-0.298,#bcbd22
8,3,80003,16,21,0.175,2.62,5,0.282,#bcbd22
8,4,80004,12,17,0.2576,2.83,5,-0.075,#bcbd22
9,0,90000,30,93,0.2138,6.2,20,-0.214,#17becf
9,1,90001,21,56,0.2667,5.33,17,-0.289,#17becf
9,2,90002,23,39,0.1542,3.39,7,-0.014,#17becf
9,3,90003,10,27,0.6,5.4,8,0.078,#17becf
9,4,90004,10,13,0.2889,2.6,4,-0.248,#17becf
9,-1,99999,8,0,0.0,0.0,0,,#17becf
10,0,100000,29,64,0.1576,4.41,9,-0.142,#aec7e8
10,1,100001,27,56,0.1595,4.15,13,-0.181,#aec7e8
10,2,100002,16,43,0.3583,5.38,11,-0.32,#aec7e8
10,3,100003,24,42,0.1522,3.5,15,-0.344,#aec7e8
10,4,100004,12,19,0.2879,3.17,6,-0.334,#aec7e8
10,5,100005,11,11,0.2,2.0,5,-0.395,#aec7e8
11,0,110000,30,84,0.1931,5.6,16,-0.188,#ffbb78
11,1,110001,28,55,0.1455,3.93,16,-0.408,#ffbb78
11,2,110002,20,49,0.2579,4.9,13,-0.36,#ffbb78
11,3,110003,17,31,0.2279,3.65,11,-0.248,#ffbb78
11,4,110004,18,29,0.1895,3.22,10,-0.232,#ffbb78
11,5,110005,17,23,0.1691,2.71,7,-0.433,#ffbb78
11,6,110006,7,9,0.4286,2.57,5,-0.271,#ffbb78
12,0,120000,30,83,0.1908,5.53,26,-0.367,#98df8a
12,1,120001,30,67,0.154,4.47,11,-0.174,#98df8a
12,2,120002,20,47,0.2474,4.7,13,-0.195,#98df8a
12,3,120003,19,37,0.2164,3.89,16,-0.354,#98df8a
12,4,120004,16,40,0.3333,5.0,11,-0.302,#98df8a
12,5,120005,7,12,0.5714,3.43,6,-0.591,#98df8a
12,-1,129999,7,1,0.0476,0.29,1,,#98df8a
13,0,130000,17,62,0.4559,7.29,13,-0.188,#ff9896
13,1,130001,10,23,0.5111,4.6,9,-0.445,#ff9896
13,2,130002,12,35,0.5303,5.83,11,-0.309,#ff9896
13,3,130003,11,24,0.4364,4.36,8,-0.289,#ff9896
13,4,130004,15,23,0.219,3.07,5,0.21,#ff9896
13,5,130005,14,16,0.1758,2.29,5,0.251,#ff9896
13,-1,139999,3,2,0.6667,1.33,2,-0.731,#ff9896
14,0,140000,19,72,0.4211,7.58,17,-0.238,#c5b0d5
14,1,140001,22,73,0.316,6.64,15,-0.269,#c5b0d5
14,2,140002,20,49,0.2579,4.9,14,-0.299,#c5b0d5
14,3,140003,18,38,0.2484,4.22,14,-0.213,#c5b0d5
14,4,140004,13,33,0.4231,5.08,9,-0.094,#c5b0d5
