palabra,tema_id,sub_id,color_tema,peso_lda,grado_total,grado_intra_sub,grado_intra_cluster,grado_extra,peso_intra_sub,peso_intra_cluster,peso_extra,pagerank,betweenness,clustering_coef,eigenvector,participation,z_within_degree,rol
educacion,3,0,#d62728,0.0247348174452781,46,6,36,4,311.0,316.0,299.0,0.001152,0.0,0.2377,0.0,0.8922,0.866,broker
educativo,3,0,#d62728,0.0204806365072727,18,6,11,1,219.0,68.0,56.0,0.000449,0.0,0.4314,0.0,0.8086,0.2887,broker
ferial,3,3,#d62728,0.0055634640157222,10,6,3,1,127.0,19.0,54.0,0.000279,0.0,0.5556,0.0,0.58,1.1147,broker
recinto,3,3,#d62728,0.0102285426110029,17,7,9,1,141.0,48.0,70.0,0.000392,0.0,0.3529,0.0,0.6782,2.401,broker
estudiante,3,0,#d62728,0.0208230949938297,27,6,21,0,226.0,140.0,0.0,0.000563,0.0,0.359,0.0,0.8532,0.2887,broker
alumno,3,0,#d62728,0.0129008777439594,16,6,10,0,198.0,65.0,0.0,0.000386,0.0,0.45,0.0,0.7891,0.2887,broker
primaria,3,0,#d62728,0.0100148450583219,9,6,3,0,145.0,16.0,0.0,0.000235,0.0,0.75,0.0,0.5185,0.2887,broker
cruz,3,6,#d62728,0.0183859299868345,30,3,26,1,69.0,177.0,57.0,0.000508,0.0,0.2966,0.0,0.8578,1.9695,broker
roja,3,6,#d62728,0.0095579773187637,9,1,8,0,42.0,46.0,0.0,0.000175,0.0,0.6944,0.0,0.716,0.2462,broker
sanchez,3,6,#d62728,0.0097644282504916,16,2,14,0,46.0,116.0,0.0,0.000278,0.0,0.3917,0.0,0.8125,0.2462,broker
maestro,3,0,#d62728,0.0092080794274806,22,6,16,0,107.0,94.0,0.0,0.000334,0.0,0.3766,0.0,0.8347,0.2887,broker
costo,3,2,#d62728,0.0121961422264575,29,5,23,1,59.0,143.0,60.0,0.000481,0.0,0.2759,0.0,0.8537,0.038,broker
gratuito,3,2,#d62728,0.0123743573203682,20,6,13,1,91.0,115.0,71.0,0.000414,0.0,0.3632,0.0,0.78,0.4562,broker
accidente,3,1,#d62728,0.0320771969854831,28,8,19,1,112.0,148.0,60.0,0.000547,0.0,0.3069,0.0,0.8138,1.5164,broker
cuerpo,3,5,#d62728,0.0377943776547908,47,9,37,1,114.0,269.0,60.0,0.000829,0.0,0.2137,0.0,0.8755,2.5658,conector_provincial
alejandra,3,6,#d62728,0.002319595310837,4,1,3,0,25.0,28.0,0.0,0.000106,0.0,0.6667,0.0,0.625,-0.6155,broker
invitar,3,2,#d62728,0.0199912339448928,33,5,27,1,67.0,205.0,122.0,0.000585,0.0,0.3011,0.0,0.8356,1.7106,broker
temporada,3,5,#d62728,0.0469293370842933,28,4,23,1,48.0,124.0,68.0,0.000379,0.0,0.2937,0.0,0.8342,1.2991,broker
acceso,3,3,#d62728,0.0151402289047837,27,3,24,0,36.0,181.0,0.0,0.000368,0.0,0.3504,0.0,0.8395,0.2572,broker
pemex,3,4,#d62728,0.015887688845396,24,6,18,0,70.0,94.0,0.0,0.00038,0.0,0.3043,0.0,0.7882,2.3385,broker
petrolero,3,4,#d62728,0.0129609210416674,11,4,7,0,56.0,28.0,0.0,0.000208,0.0,0.3091,0.0,0.6446,1.4031,broker
rescate,3,5,#d62728,0.0079555911943316,7,1,6,0,23.0,35.0,0.0,0.000135,0.0,0.7619,0.0,0.6122,-0.812,broker
secundaria,3,0,#d62728,0.0040078596211969,7,6,1,0,74.0,4.0,0.0,0.000133,0.0,0.8095,0.0,0.2449,0.2887,periferico
bombero,3,5,#d62728,0.0044025378301739,7,1,6,0,20.0,25.0,0.0,0.000137,0.0,0.4286,0.0,0.6122,0.4547,broker
medida,3,1,#d62728,0.006732958368957,27,3,24,0,35.0,157.0,0.0,0.000423,0.0,0.2991,0.0,0.7901,1.8493,broker
causa,3,1,#d62728,0.0128295328468084,22,7,15,0,59.0,89.0,0.0,0.000287,0.0,0.4113,0.0,0.7727,1.1836,broker
poza,3,7,#d62728,0.0023087612353265,4,1,3,0,17.0,13.0,0.0,0.000114,0.0,0.3333,0.0,0.75,-0.6934,broker
rica,3,7,#d62728,0.0084001338109374,3,1,2,0,17.0,12.0,0.0,0.000113,0.0,0.6667,0.0,0.6667,-0.6934,broker
crear,3,2,#d62728,0.004111798480153,22,4,18,0,44.0,108.0,0.0,0.000298,0.0,0.3463,0.0,0.8388,0.038,broker
deseo,3,8,#d62728,0.0049002645537257,6,1,5,0,17.0,27.0,0.0,0.000127,0.0,0.4,0.0,0.7778,-1.4142,broker
enviar,3,8,#d62728,0.0112191615626215,14,3,11,0,31.0,65.0,0.0,0.000229,0.0,0.3736,0.0,0.8265,1.4142,broker
visita,3,5,#d62728,0.0090502928942441,15,2,12,1,14.0,76.0,55.0,0.000201,0.0,0.419,0.0,0.8267,0.4547,broker
comida,3,2,#d62728,0.0053663896396756,22,6,16,0,65.0,82.0,0.0,0.000298,0.0,0.4156,0.0,0.7975,1.2925,broker
asistente,3,3,#d62728,0.0133111272007226,11,2,9,0,27.0,50.0,0.0,0.000141,0.0,0.7091,0.0,0.7603,-0.1715,broker
castillo,3,8,#d62728,0.0088359517976641,8,2,6,0,24.0,47.0,0.0,0.000168,0.0,0.5714,0.0,0.6562,0.0,broker
pepe,3,8,#d62728,0.0024623647332191,2,2,0,0,22.0,0.0,0.0,8.1e-05,0.0,1.0,0.0,0.0,0.0,periferico
arrancar,3,4,#d62728,0.0154936565086245,6,2,4,0,21.0,19.0,0.0,0.000105,0.0,0.6667,0.0,0.6667,-0.4677,broker
impacto,3,1,#d62728,0.0140476040542125,19,3,16,0,29.0,90.0,0.0,0.000257,0.0,0.3567,0.0,0.7645,0.5178,broker
estacion,3,1,#d62728,0.0156977567821741,13,2,11,0,22.0,62.0,0.0,0.000222,0.0,0.2564,0.0,0.7337,0.1849,broker
refineria,3,4,#d62728,0.0087684569880366,7,1,6,0,14.0,27.0,0.0,0.000143,0.0,0.3333,0.0,0.6939,0.0,broker
marzo,3,4,#d62728,0.0156188365072011,23,2,20,1,18.0,118.0,53.0,0.000313,0.0,0.3478,0.0,0.8431,1.4031,broker
compania,3,7,#d62728,0.0028814789839088,13,1,12,0,14.0,67.0,0.0,0.000236,0.0,0.2692,0.0,0.8166,2.2188,broker
extranjero,3,7,#d62728,0.0050430349074304,27,2,25,0,20.0,142.0,0.0,0.000353,0.0,0.3305,0.0,0.8395,0.2774,broker
automovil,3,1,#d62728,0.0075532002374529,7,2,5,0,19.0,27.0,0.0,0.000113,0.0,0.619,0.0,0.6939,-0.4808,broker
medicina,3,2,#d62728,0.0047524967230856,11,1,10,0,7.0,57.0,0.0,0.000136,0.0,0.4909,0.0,0.6777,0.038,broker
determinar,3,1,#d62728,0.0052145030349493,9,3,6,0,26.0,28.0,0.0,0.000126,0.0,0.5833,0.0,0.642,0.1849,broker
heroico,3,5,#d62728,0.0014343812363222,1,1,0,0,12.0,0.0,0.0,5.6e-05,0.0,0.0,0.0,0.0,-0.812,periferico
produccion,3,4,#d62728,0.0140461781993508,11,2,9,0,17.0,53.0,0.0,0.000168,0.0,0.3636,0.0,0.7438,0.4677,broker
corporacion,3,1,#d62728,0.009593634866178,10,3,7,0,24.0,38.0,0.0,0.000143,0.0,0.5333,0.0,0.7,-0.1479,broker
revision,3,1,#d62728,0.0072047756984829,13,4,9,0,31.0,46.0,0.0,0.000175,0.0,0.5,0.0,0.5799,1.1836,broker
division,3,5,#d62728,0.0130317592993378,6,2,4,0,19.0,21.0,0.0,9.9e-05,0.0,0.7333,0.0,0.7778,-0.3897,broker
coordinador,3,5,#d62728,0.008554077707231,8,2,6,0,13.0,35.0,0.0,0.000114,0.0,0.5,0.0,0.75,0.0325,broker
magia,3,3,#d62728,0.0022238283418118,8,2,6,0,13.0,29.0,0.0,0.0001,0.0,0.5,0.0,0.75,-0.1715,broker
mecanico,3,3,#d62728,0.0040871747769415,5,2,3,0,16.0,17.0,0.0,8.4e-05,0.0,0.5,0.0,0.64,-0.6002,broker
gratis,3,2,#d62728,0.003827855689451,13,5,8,0,41.0,35.0,0.0,0.000206,0.0,0.4615,0.0,0.6509,0.8743,broker
navidena,3,3,#d62728,0.0017944441642612,5,2,3,0,16.0,15.0,0.0,7.9e-05,0.0,0.7,0.0,0.56,-0.1715,broker
cuidir,3,2,#d62728,0.0022564951796084,10,1,9,0,8.0,42.0,0.0,0.000127,0.0,0.5111,0.0,0.82,-0.7983,broker
millonario,3,4,#d62728,0.0054952804930508,9,1,8,0,8.0,38.0,0.0,0.00013,0.0,0.4167,0.0,0.6914,-0.4677,broker
dulce,3,4,#d62728,0.0084470193833112,8,0,8,0,0.0,41.0,0.0,0.000101,0.0,0.6786,0.0,0.7812,-0.4677,broker
pantalla,3,2,#d62728,0.0076131909154355,6,1,5,0,8.0,22.0,0.0,8.9e-05,0.0,0.5333,0.0,0.6667,-0.7983,broker
torres,3,5,#d62728,0.0075242649763822,8,3,5,0,20.0,27.0,0.0,0.00011,0.0,0.4286,0.0,0.6562,0.4547,broker
sindicato,3,4,#d62728,0.0102844554930925,9,2,7,0,14.0,31.0,0.0,0.000125,0.0,0.3333,0.0,0.7654,0.0,broker
precisar,3,1,#d62728,0.0046675624325871,12,2,10,0,13.0,51.0,0.0,0.000134,0.0,0.5758,0.0,0.7917,-0.4808,broker
corresponder,3,1,#d62728,0.0048587024211883,17,2,15,0,13.0,71.0,0.0,0.000191,0.0,0.3897,0.0,0.7197,1.1836,broker
instante,3,5,#d62728,0.003045329125598,3,1,2,0,7.0,8.0,0.0,6.1e-05,0.0,0.6667,0.0,0.6667,-0.812,broker
activar,3,7,#d62728,0.0032589870970696,6,1,5,0,6.0,26.0,0.0,9.5e-05,0.0,0.6667,0.0,0.7222,0.2774,broker
maniobra,3,6,#d62728,0.0072847292758524,5,1,4,0,6.0,20.0,0.0,7.9e-05,0.0,1.0,0.0,0.64,0.2462,broker
publicado,3,1,#d62728,0.0063311923295259,3,0,3,0,0.0,16.0,0.0,6.5e-05,0.0,1.0,0.0,0.4444,-0.8137,periferico
seguido,3,1,#d62728,0.0033671436831355,3,1,2,0,7.0,9.0,0.0,7e-05,0.0,0.6667,0.0,0.0,-0.4808,periferico
estacionamiento,3,3,#d62728,0.003842458827421,4,2,2,0,12.0,9.0,0.0,6.7e-05,0.0,0.8333,0.0,0.625,-0.6002,broker
york,3,4,#d62728,0.0022902921773493,4,0,4,0,0.0,19.0,0.0,6.8e-05,0.0,0.6667,0.0,0.75,-0.9354,broker
fresco,3,2,#d62728,0.0082945395261049,4,0,4,0,0.0,22.0,0.0,6.9e-05,0.0,1.0,0.0,0.5,-1.2165,broker
sentencia,3,1,#d62728,0.0050981263630092,4,2,2,0,12.0,9.0,0.0,8.1e-05,0.0,0.3333,0.0,0.375,-0.4808,periferico
