palabra,tema_id,sub_id,participation,z_within_degree,grado_total,rol
tampico,3,0,0.9843,2.3238,294,broker
gobierno,11,0,0.97,1.0,150,broker
seguir,21,0,0.9694,2.401,142,broker
gracias,33,6,0.9683,1.6977,129,broker
dia,33,14,0.9602,1.4142,117,broker
querer,14,0,0.9588,-1.0,138,broker
ano,2,0,0.9587,2.8642,146,conector_provincial
pasar,24,0,0.9579,1.2247,132,broker
vida,13,3,0.9576,2.1573,141,broker
familia,33,9,0.9567,2.0,109,broker
mexico,26,2,0.9564,2.0656,115,broker
pais,11,0,0.9541,1.0,114,broker
presidenta,27,-1,0.954,1.2247,142,broker
ciudad,32,4,0.9536,2.7627,138,conector_provincial
gente,14,0,0.9535,1.0,111,broker
hablar,24,-1,0.953,0.0,109,broker
creer,24,21,0.9526,1.4142,114,broker
unico,24,15,0.9521,1.4142,79,broker
andar,24,10,0.9506,1.2247,90,broker
puro,24,16,0.9502,0.0,98,broker
dejar,13,1,0.9498,1.2247,137,broker
pueblo,11,0,0.9498,0.0,107,broker
mal,24,-1,0.9498,0.0,109,broker
parecer,24,18,0.9496,0.0,91,broker
alguien,24,-1,0.9495,0.0,79,broker
problema,24,6,0.9491,0.6614,82,broker
madre,13,0,0.9489,1.1547,114,broker
buscar,24,4,0.9489,2.2923,86,broker
traer,24,10,0.9489,1.2247,63,broker
caso,24,1,0.9487,1.8631,78,broker
