posicion_id,tema_id,rank,usuario,plataforma,fecha,texto,engagement
T00_P1,0,1,Twitter::Tougi_mahjong,Twitter,2025-10-30T00:27:32Z,"Fui invitada al evento del Día de Muertos🌼, organizado por ドンキ y la Embajada de México🇲🇽 Quiero participar también en eventos de otras embajadas de Latinoamérica y España, así que por favor, ¡ayúdenme a difundirlo!🫶🏻 #今夜はドンキで死者の日 🇯🇵❤️🇲🇽",4668
T00_P1,0,2,Twitter::rmapalacios,Twitter,2024-12-10T02:58:17Z,"Dos problemas. 1. En campaña ofreció 10,000 motos el primer año, las que tendrían un impacto en la lucha contra el crimen. Le faltan 6,000 y el plazo se venció hace un año. 2. Lo más grave es el impacto de este gasto en el bienestar de la ciudad. Hay depósitos con motos sin usar por falta de personal. Se compra sin planificar. Que no se diga que no se advirtió en campaña. Se explicó varias veces.",1266
T00_P1,0,3,Twitter::ClubDIquique,Twitter,2025-01-19T15:46:12Z,"🐲🙏🏼🙌🏻 La sorpresa del Tierra de Campeones al grupo Calichal y la “Reina del Tamarugal” Al cumplirse 40 años de la canción ganadora en el Festival de Viña en 1985 y que se ha convertido en un himno de la Fiesta de La Tirana, ayer homenajeamos junto a @collahuasiCL y UNAP al grupo Calichal, entonando la Banda del Dragón y todo el Tierra de Campeones la “Reina del Tamarugal”. Disfruten de este emotivo momento 🤍🤎",1098
T00_P1,0,4,Twitter::tauruus9,Twitter,2024-11-26T19:14:36Z,No sé si somos conscientes de que MONCAYO es la segunda canción del juanjodisco y probablemente sea LA CANCIÓN. Tenemos que superar el predebut y el debut de Mis Tías para que Juanjo vea que un año después seguimos aquí apoyándole. 💖🫂✨ Tardamos literalmente 4 segundos en guardarnos las PLAYLISTS que nos corresponden y todavía nos falta el doble de guardados 💔 Predebut España: https://open.spotify.com/playlist/5hiBo9W,1055
T00_P2,0,1,Twitter::JuIiantinaNews,Twitter,2024-11-19T01:33:57Z,Un día como hoy pero de hace seis años se conocían por primera vez los Personajes de Juliana @barbara_lopez21 y Valentina @macabeso La historia de amor que llegó a nivel mundial. 💖 Siendo premiada a nivel internacional por su gran shippeo #Juliantina,830
T00_P2,0,2,Twitter::RaulParedesP,Twitter,2025-10-27T13:59:38Z,"🏗️ Otro piso… de impunidad 📍 Horacio 724, Polanco. Entre los árboles se asoma un nivel más de los permitidos. Así se camufla la corrupción panista: silenciosa, disfrazada, pero visible. 📄 La zonificación lo deja claro: Solo 4 niveles. Y permitieron 5… y nadie los detiene. 🔴 ¿Cuántos pisos ilegales más hay escondidos? 🔴 ¿Cuántos moches por cada nivel extra? ¡Así operan @mauriciotabe y @cesar_m_garrido! #TabeTolera #Ca",627
T00_P2,0,3,Twitter::mxcharts,Twitter,2025-04-01T02:38:44Z,“MONA LISA” es la entrada más alta de #jhope en los charts Globales de Billboard Billboard Global 200 #14 MONA LISA 🆕 Billboard Global Excl. U.S. #9 MONA LISA 🆕 En estos charts impactan nuestras compras y reproducciones ARMY México #jhope #제이홉 #jhope_MONALISA,296
T00_P2,0,4,Twitter::@jlaram12,Twitter,2026-06-16T16:29:49Z,"Rayados es una gran equipo a nivel INSTITUCIONAL porque cuenta con el respaldo de la mejor empresa regiomontana: FEMSA. Pero a nivel deportivo es un equipo muy POBRE. No se trata de dinero, muchas veces se trata de mistica, estirpe ganadora y Monterrey no la tiene.",19
T01_P1,1,1,Twitter::8DiPaula,Twitter,2025-06-20T19:15:21Z,MÔNICA SUPER HEROINA MÔNICA SUPER HEROINA MÔNICA SUPER HEROINA,12111
T01_P1,1,2,Twitter::thisdracarys,Twitter,2025-11-02T21:36:03Z,"pessoal ajudem a monica aqui ela perdeu os móveis na enchente que teve e está tentando mobiliar a casa novamente do mesmo jeito que fizemos mutirão pro tweet da antena parabólica chegar a 1M podemos ajudar ela a bater a meta, quem puder compartilha e ajuda com qualquer quantia",10946
