palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
tamaulipas,3,0,broker,0.9043,0.7746,62
tampico,3,0,broker,0.9843,2.3238,294
madero,3,-1,broker,0.6848,0.0,21
altamira,3,-1,broker,0.815,0.0,20
cdvictoria,3,-1,broker,0.7449,0.0,14
reynosa,3,1,broker,0.7543,1.0,17
matamoros,3,1,broker,0.7556,1.0,15
nuevolaredo,3,1,broker,0.7574,0.0,13
cdmadero,3,-1,broker,0.74,0.0,10
leer,3,3,conector_provincial,0.7059,3.3184,17
monterrey,3,3,broker,0.7289,2.1229,15
ganador,3,3,broker,0.6531,0.3298,7
beca,3,0,broker,0.64,-0.2582,5
nld,3,1,broker,0.642,0.0,9
cesar,3,0,broker,0.625,-0.2582,4
registrado,3,0,periferico,0.0,-0.2582,2
agencia,3,1,broker,0.5,-2.0,4
leal,3,3,broker,0.5714,1.5252,7
toluca,3,3,broker,0.625,-0.2679,4
laredo,3,3,broker,0.7188,-0.2679,8
nuevoleon,3,1,broker,0.6914,0.0,9
cafe,3,3,periferico,0.0,-0.8657,1
convocatoria,3,3,broker,0.5,-0.8657,4
aficion,3,3,broker,0.5,-0.8657,4
ideal,3,0,broker,0.5,-0.7746,2
sorprender,3,3,periferico,0.4444,0.3298,3
gabriela,3,3,broker,0.5,0.3298,4
capitulo,3,3,broker,0.5,0.3298,4
infancia,3,3,periferico,0.4444,0.3298,3
himno,3,3,broker,0.6111,0.9275,6
esencia,3,0,periferico,0.0,-0.7746,1
biblioteca,3,3,periferico,0.4444,0.3298,3
directiva,3,3,periferico,0.0,-0.8657,1
hernan,3,3,periferico,0.0,-0.8657,2
castaneda,3,3,periferico,0.4444,-0.8657,3
rojas,3,3,periferico,0.0,-0.8657,2
imaginacion,3,3,periferico,0.375,0.9275,4
acompanenme,3,0,periferico,0.0,-0.7746,1
enfermera,3,3,periferico,0.0,-0.8657,1
patriota,3,3,broker,0.625,0.3298,4
extorsionar,3,3,broker,0.5,-0.8657,2
captar,3,3,periferico,0.0,-0.8657,1
democratico,3,3,periferico,0.4444,-0.2679,3
casar,3,3,broker,0.5,-0.2679,2
poseer,3,3,periferico,0.4444,-0.8657,3
tirania,3,3,periferico,0.0,-0.2679,1
manipulacion,3,3,periferico,0.0,-0.2679,1
salir,17,7,broker,0.9471,2.2361,143
venir,17,-1,broker,0.944,0.0,114
pensar,17,3,conector_provincial,0.9404,2.8297,87
entrar,17,-1,broker,0.9372,0.0,60
preguntar,17,7,broker,0.9336,-0.4472,50
noticia,17,8,broker,0.9432,2.4736,76
senor,17,16,broker,0.9412,1.5689,92
pena,17,-1,broker,0.9439,0.0,71
valer,17,-1,broker,0.9292,0.0,53
matar,17,0,conector_provincial,0.9397,2.9145,80
culpa,17,9,broker,0.9379,2.0821,61
criminal,17,12,broker,0.9431,1.4142,66
pequeno,17,10,conector_provincial,0.927,2.5065,43
ciencia,17,6,broker,0.56,1.2247,5
cientifico,17,6,broker,0.6667,1.2247,6
forma,17,20,broker,0.9382,1.4142,58
precio,17,2,conector_provincial,0.9238,2.9145,49
justo,17,5,broker,0.9264,2.4768,45
aprender,17,4,broker,0.9082,0.378,32
espanol,17,4,broker,0.8696,1.1339,23
ingles,17,4,broker,0.8587,1.1339,19
wow,17,3,broker,0.9236,0.2572,24
supuesto,17,13,broker,0.9191,0.7638,27
asta,17,17,broker,0.9296,1.8708,49
realmente,17,4,broker,0.932,0.378,42
rato,17,16,broker,0.9184,0.5883,28
tonto,17,12,broker,0.9227,0.0,29
jaja,17,1,conector_provincial,0.9206,2.6019,42
papel,17,5,broker,0.9203,0.34,29
perfecto,17,3,broker,0.9028,-0.6002,12
texas,17,3,broker,0.9161,0.2572,21
vendido,17,12,broker,0.7812,0.0,8
comentar,17,1,broker,0.9082,1.5851,28
mover,17,3,broker,0.9216,-0.1715,25
obvio,17,18,broker,0.9132,0.6155,29
tienda,17,2,broker,0.9161,0.1534,21
vista,17,4,broker,0.8944,0.378,27
aparecer,17,8,broker,0.9091,-0.1302,22
