node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,postura,postura_etiqueta,postura_score,coincidencias_positivas,coincidencias_negativas,peso_coincidente
T00,tema,Apoyo y aprobación pública · mundial,,0.0,,positiva,0.9794,apoyo_defensa,Apoyo/defensa,0.9794,1152.0,12.0,1164.0
T01,tema,Movilidad e infraestructura urbana · permanecer,Basura,1.0,Basura | Delitos | Corrupcion,negativa,-0.92,critica_oposicion,Crítica/oposición,-0.92,3.0,72.0,112.0
T02,tema,"Comunidad, familia y vida cotidiana · zona",Prevencion,0.9215,Prevencion | Obras,positiva,0.4688,apoyo_defensa,Apoyo/defensa,0.4688,47.0,17.0,150.0
T03,tema,"Bienestar, salud y educación · temporada",Obras,0.6577,Obras,positiva,0.4828,apoyo_defensa,Apoyo/defensa,0.4828,43.0,15.0,58.0
T04,tema,Medios y conversación digital · incremento,Delitos,0.6882,Delitos,negativa,-0.6296,critica_oposicion,Crítica/oposición,-0.6296,20.0,88.0,110.0
T05,tema,Medios y conversación digital · hora,Obras,0.7098,Obras | Prevencion | Delitos | Corrupcion,negativa,-0.8462,critica_oposicion,Crítica/oposición,-0.8462,2.0,24.0,34.0
T06,tema,"Identidad local, cultura y entretenimiento · evento",,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0
T07,tema,Medios y conversación digital · paz,,0.0,,positiva,0.2759,apoyo_defensa,Apoyo/defensa,0.2759,37.0,21.0,58.0
T08,tema,"Responder, concierto, internet",Agua,0.7274,Agua,negativa,-0.6538,critica_oposicion,Crítica/oposición,-0.6538,9.0,43.0,52.0
T09,tema,Gobierno y disputa política · carretera,Morena,1.0,Morena | Vialidad,positiva,0.3846,apoyo_defensa,Apoyo/defensa,0.3846,9.0,4.0,881.0
T10,tema,México y asuntos nacionales · respetar,Morena,0.7653,Morena,mixta,-0.164,mixta_disputa,Mixta/disputa,-0.164,372.0,518.0,940.0
T11,tema,"Seguridad, violencia y justicia · laredo",Morena,0.9435,Morena | Corrupcion | Delitos,mixta,-0.1594,mixta_disputa,Mixta/disputa,-0.1594,29.0,40.0,69.0
T12,tema,"Comunidad, familia y vida cotidiana · violencia",Delitos,1.0,Delitos,positiva,0.7879,apoyo_defensa,Apoyo/defensa,0.7879,59.0,7.0,105.0
T13,tema,Gestión municipal y servicios públicos · tamaulipas,,0.0,,neutral,0.0,sin_postura,Sin postura,0.0,0.0,0.0,0.0
T14,tema,"Comunidad, familia y vida cotidiana · nino",,0.0,,positiva,0.7143,apoyo_defensa,Apoyo/defensa,0.7143,96.0,16.0,112.0
T15,tema,"Agua, territorio y medio ambiente · caso",,0.0,,negativa,-0.4194,critica_oposicion,Crítica/oposición,-0.4194,18.0,44.0,62.0
T16,tema,"Economía, trabajo y costo de vida · millon",Morena,0.7663,Morena | Obras,mixta,0.0833,mixta_disputa,Mixta/disputa,0.0833,13.0,11.0,62.0
T17,tema,Movilidad e infraestructura urbana · agua,Vialidad,1.0,Vialidad | Agua | Obras,negativa,-0.7143,critica_oposicion,Crítica/oposición,-0.7143,3.0,18.0,251.0
T18,tema,"Comunidad, familia y vida cotidiana · amor",Vialidad,0.9208,Vialidad,positiva,0.4462,apoyo_defensa,Apoyo/defensa,0.4462,316.0,121.0,485.0
T19,tema,"Identidad local, cultura y entretenimiento · esperar",,0.0,,positiva,0.7067,apoyo_defensa,Apoyo/defensa,0.7067,64.0,11.0,75.0
T20,tema,Movilidad e infraestructura urbana · listo,Obras,0.9156,Obras,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,8.0,8.0,27.0
T21,tema,"Protesta, derechos y participación · maria",,0.0,,positiva,0.9062,apoyo_defensa,Apoyo/defensa,0.9062,183.0,9.0,192.0
T22,tema,"Agua, territorio y medio ambiente · registro",Corrupcion,0.8919,Corrupcion | Prevencion | Basura,mixta,-0.1628,mixta_disputa,Mixta/disputa,-0.1628,18.0,25.0,43.0
T23,tema,"Identidad local, cultura y entretenimiento · desarrollo",Obras,1.0,Obras | Prevencion,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,59.0,0.0,107.0
T24,tema,"Agua, territorio y medio ambiente · abril",,0.0,,negativa,-0.3684,critica_oposicion,Crítica/oposición,-0.3684,12.0,26.0,38.0
T25,tema,"Agua, territorio y medio ambiente · sol",Delitos,0.9905,Delitos,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,7.0,230.0
T26,tema,"Columna, informativo, domingo",Vialidad,0.7127,Vialidad,negativa,-0.7391,critica_oposicion,Crítica/oposición,-0.7391,3.0,20.0,25.0
T27,tema,México y asuntos nacionales · ciento,Morena,0.7627,Morena | Basura,positiva,0.6744,apoyo_defensa,Apoyo/defensa,0.6744,108.0,21.0,178.0
T28,tema,"Hermoso, cierre, gustar",,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,150.0,0.0,150.0
T29,tema,"Exposicion, energia, ambiental",Delitos,0.7038,Delitos,positiva,0.9231,apoyo_defensa,Apoyo/defensa,0.9231,25.0,1.0,26.0
T30,tema,"Comunidad, familia y vida cotidiana · quedar",Alumbrado,0.9984,Alumbrado | Corrupcion,positiva,0.8647,apoyo_defensa,Apoyo/defensa,0.8647,441.0,32.0,533.0
T31,tema,"Seguridad, violencia y justicia · estatal",Prevencion,1.0,Prevencion,positiva,0.5152,apoyo_defensa,Apoyo/defensa,0.5152,75.0,24.0,160.0
T32,tema,Gobierno y disputa política · horario,Corrupcion,0.788,Corrupcion | Delitos,negativa,-0.9877,critica_oposicion,Crítica/oposición,-0.9877,1.0,162.0,163.0
T33,tema,"Comunidad, familia y vida cotidiana · pensar",,0.0,,mixta,0.0233,mixta_disputa,Mixta/disputa,0.0233,264.0,252.0,516.0
T34,tema,Gestión municipal y servicios públicos · hernandez,Corrupcion,0.8343,Corrupcion | Delitos | Morena,positiva,0.9355,apoyo_defensa,Apoyo/defensa,0.9355,30.0,1.0,31.0
T35,tema,"Julio, semana, mandar",Morena,0.7152,Morena | Corrupcion,positiva,0.9355,apoyo_defensa,Apoyo/defensa,0.9355,30.0,1.0,38.0
T36,tema,Gobierno y disputa política · viva,Morena,0.9712,Morena | Corrupcion | Delitos,negativa,-0.3361,critica_oposicion,Crítica/oposición,-0.3361,79.0,159.0,468.0
T37,tema,"Identidad local, cultura y entretenimiento · gobernador",Americo,0.9252,Americo,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,4.0,0.0,13.0
T38,tema,México y asuntos nacionales · veracruz,,0.0,,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,7.0,7.0
T39,tema,"Bienestar, salud y educación · jose",,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,35.0,0.0,35.0
T40,tema,"Calor, guadalupe, golfo",,0.0,,mixta,0.147,mixta_disputa,Mixta/disputa,0.147,160.0,119.0,279.0
T41,tema,"Ano, mes, comenzar",Corrupcion,0.8998,Corrupcion | Prevencion,negativa,-0.6,critica_oposicion,Crítica/oposición,-0.6,87.0,348.0,537.0
T42,tema,"Comunidad, familia y vida cotidiana · querer",Corrupcion,0.8591,Corrupcion | Obras,positiva,0.4596,apoyo_defensa,Apoyo/defensa,0.4596,1383.0,512.0,1971.0
T43,tema,"San, ruta, pedro",,0.0,,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,8.0,8.0
T44,tema,"Economía, trabajo y costo de vida · junio",Delitos,0.9535,Delitos | Corrupcion,negativa,-0.3913,critica_oposicion,Crítica/oposición,-0.3913,7.0,16.0,88.0
T45,tema,"Bienestar, salud y educación · atencion",,0.0,,positiva,0.8342,apoyo_defensa,Apoyo/defensa,0.8342,177.0,16.0,193.0
T46,tema,"Identidad local, cultura y entretenimiento · reducir",,0.0,,negativa,-0.3636,critica_oposicion,Crítica/oposición,-0.3636,14.0,30.0,44.0
T47,tema,Gestión municipal y servicios públicos · presidenta,Americo,0.9807,Americo | Morena | Obras,positiva,0.9881,apoyo_defensa,Apoyo/defensa,0.9881,1004.0,6.0,2019.0
T48,tema,"Resumen, real, asociacion",,0.0,,positiva,0.7391,apoyo_defensa,Apoyo/defensa,0.7391,20.0,3.0,23.0
T49,tema,"Economía, trabajo y costo de vida · gobierno",Corrupcion,1.0,Corrupcion | Delitos | Morena,negativa,-0.3565,critica_oposicion,Crítica/oposición,-0.3565,742.0,1564.0,2744.0
T00_P1,posicion,"Enfoque: feliz, bendicion, querido, abrazo",,0.0,,positiva,0.9662,apoyo_defensa,Apoyo/defensa,0.9662,699.0,12.0,711.0
T00_P2,posicion,"Apoyo/defensa: felicidad, felicidades, feliz, bendigar",,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,276.0,0.0,276.0
T00_P3,posicion,"Enfoque: dia, feliz, bendicion, abrazo",,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,177.0,0.0,177.0
T01_P1,posicion,"Enfoque: desaparecer, avisar, urgente, cita",Delitos,0.7636,Delitos | Corrupcion,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,22.0,37.0
T01_P2,posicion,"Enfoque: basura, camion, recoleccion, contenedor",Basura,1.0,Basura,negativa,-0.8868,critica_oposicion,Crítica/oposición,-0.8868,3.0,50.0,75.0
T02_P1,posicion,"Enfoque: zona, minimo, policia, trabajador",Prevencion,0.9215,Prevencion | Obras,positiva,0.5636,apoyo_defensa,Apoyo/defensa,0.5636,43.0,12.0,133.0
T02_P2,posicion,"Enfoque: persona, policia, labor, situacion",Prevencion,0.9157,Prevencion,mixta,-0.1111,mixta_disputa,Mixta/disputa,-0.1111,4.0,5.0,17.0
T03_P1,posicion,"Enfoque: comida, petrolero, top, cuerpo",,0.0,,positiva,0.3125,apoyo_defensa,Apoyo/defensa,0.3125,21.0,11.0,32.0
T03_P2,posicion,"Enfoque: educacion, alumno, educativo, maestro",Obras,0.6577,Obras,positiva,0.6923,apoyo_defensa,Apoyo/defensa,0.6923,22.0,4.0,26.0
T04_P1,posicion,"Enfoque: ojala, peor, empezar, santa",,0.0,,negativa,-0.6042,critica_oposicion,Crítica/oposición,-0.6042,19.0,77.0,96.0
T04_P2,posicion,"Enfoque: cualquiera, buenisimo, factura, peor",Delitos,0.6882,Delitos,negativa,-0.8333,critica_oposicion,Crítica/oposición,-0.8333,1.0,11.0,14.0
T05_P1,posicion,"Enfoque: voto, red, social, entrar",Obras,0.7098,Obras | Prevencion,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,23.0,31.0
T05_P2,posicion,"Enfoque: hora, medio, entrar, celular",Delitos,0.8329,Delitos | Corrupcion,positiva,0.3333,apoyo_defensa,Apoyo/defensa,0.3333,2.0,1.0,3.0
T06_P1,posicion,"Enfoque: blanca, espacio, evento, orozco",,0.0,,neutral,0.0,sin_postura,Sin postura,0.0,0.0,0.0,0.0
T06_P2,posicion,"Enfoque: vivir, especial, unir, experiencia",,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0
T07_P1,posicion,"Enfoque: comentario, esunhonorestarconclaudiahoy, foto, avila",,0.0,,negativa,-0.5,critica_oposicion,Crítica/oposición,-0.5,4.0,12.0,16.0
T07_P2,posicion,"Enfoque: paz, descansar, triste, comentario",,0.0,,positiva,0.5714,apoyo_defensa,Apoyo/defensa,0.5714,33.0,9.0,42.0
T08_P1,posicion,"Enfoque: regla, luis, misil, ovni",Agua,0.7274,Agua,negativa,-0.6863,critica_oposicion,Crítica/oposición,-0.6863,8.0,43.0,51.0
T08_P2,posicion,"Enfoque: people, per, texas, come",,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0
T09_P1,posicion,"Enfoque: claudia, sheinbaum, pardo, mexicanos",Morena,1.0,Morena,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,9.0,0.0,649.0
