usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
Facebook::Tampico Gob,T00_P1,0,1,826,12.8,279,6459,Facebook,T03,T03_S0
Twitter::@Reporteroszona,T00_P1,0,2,45,15.5,27,290,Twitter,T00,T00_S1
Facebook::Toño Marín,T00_P1,0,3,20,27.0,18,74,Facebook,T02,T02_S1
Facebook::Shirley Villegas de Vazquez,T00_P1,0,4,14,29.2,6,48,Facebook,T00,T00_S0
Twitter::@PCTamaulipas,T00_P1,0,5,11,44.0,2,25,Twitter,T00,T00_S3
Facebook::Dirección de Protección Civil Tampico,T00_P1,0,6,9,20.0,1,45,Facebook,T02,T02_S2
Facebook::Angelica Tinajero,T00_P1,0,7,9,90.0,1,10,Facebook,T00,T00_S5
Facebook::Eduardo Morales,T00_P1,0,8,6,30.0,5,20,Facebook,T00,T00_S0
Twitter::@EHTamaulipas,T00_P1,0,9,5,27.8,2,18,Twitter,T00,T07_S2
Facebook::Esar PA,T00_P1,0,10,4,57.1,1,7,Facebook,T00,T00_S1
Twitter::@nmasmonterrey,T00_P1,0,11,4,44.4,1,9,Twitter,T00,T00_S0
YouTube::@MarcoGarcía-j9p,T00_P1,0,12,4,19.0,1,21,YouTube,T11,T10_S4
YouTube::@abracadabra13-z2u,T00_P1,0,13,4,14.3,1,28,YouTube,T12,T12_S3
Facebook::Secretaría de Obras Públicas Tampico,T00_P1,0,14,3,14.3,1,21,Facebook,T02,T02_S2
Facebook::Gabriel Alexander Montoya,T00_P1,0,15,3,13.6,1,22,Facebook,T11,T11_S5
Twitter::@CFEmx,T00_P2,0,1,13,44.8,1,29,Twitter,T00,T00_S1
Facebook::Castro Loida,T00_P2,0,2,9,12.9,1,70,Facebook,T14,T00_S1
Facebook::Dirección de Salud Tampico,T00_P2,0,3,8,14.3,1,56,Facebook,T03,T03_S1
Facebook::Ernesto Morales Guerrero,T00_P2,0,4,7,58.3,1,12,Facebook,T00,T00_S4
Twitter::@ConsEspMty,T00_P2,0,5,7,21.9,3,32,Twitter,T00,T03_S0
Twitter::@TampicososTV,T00_P2,0,6,6,12.0,5,50,Twitter,T10,T10_S5
Twitter::@ExpresoPress,T00_P2,0,7,5,18.5,2,27,Twitter,T00,T00_S1
Twitter::@TamaulipasDirec,T00_P2,0,8,5,21.7,1,23,Twitter,T00,T03_S0
Facebook::Edith Moreno,T00_P2,0,9,5,14.3,14,35,Facebook,T02,T02_S1
Facebook::Carolina Jones,T00_P2,0,10,4,13.8,1,29,Facebook,T07,T07_S4
Facebook::Ami Grand Robert,T00_P2,0,11,4,30.8,2,13,Facebook,T00,T00_S1
Facebook::Ricardo Márquez,T00_P2,0,12,4,22.2,1,18,Facebook,T00,T00_S1
YouTube::@reservoirdogs00,T00_P2,0,13,4,30.8,1,13,YouTube,T00,T00_S1
Twitter::@varancib,T00_P2,0,14,4,12.5,2,32,Twitter,T11,T06_S2
Twitter::@GPL59323899,T00_P2,0,15,4,25.0,3,16,Twitter,T00,T12_S3
Facebook::Evelyn Padilla,T00_P2,0,16,3,21.4,1,14,Facebook,T03,T00_S1
Facebook::Veronica Adriana,T00_P2,0,17,3,12.0,1,25,Facebook,T04,T04_S0
Facebook::Lety HR,T00_P2,0,18,3,12.0,9,25,Facebook,T02,T02_S1
Twitter::@SosaMrquez,T00_P2,0,19,3,42.9,1,7,Twitter,T00,T00_S4
YouTube::@ramonortigozaperez7116,T00_P2,0,20,3,18.8,2,16,YouTube,T12,T00_S4
Facebook::Tampico Gob,T01_P1,1,1,909,14.1,279,6459,Facebook,T03,T03_S0
Facebook::Mónica Villarreal,T01_P1,1,2,809,14.6,202,5529,Facebook,T02,T02_S0
Facebook::Dirección de Desarrollo Económico Tampico,T01_P1,1,3,55,31.4,5,175,Facebook,T01,T01_S2
Twitter::@TampicoGob,T01_P1,1,4,45,14.3,19,315,Twitter,T02,T01_S0
Facebook::Delicias Mamam,T01_P1,1,5,18,13.0,53,138,Facebook,T02,T02_S1
Facebook::Francisco Gomez,T01_P1,1,6,14,18.7,7,75,Facebook,T13,T08_S0
Facebook::Instituto de la Juventud Tampico,T01_P1,1,7,13,19.7,2,66,Facebook,T13,T13_S0
Facebook::Aj Segovia,T01_P1,1,8,10,14.5,24,69,Facebook,T08,T04_S0
Facebook::DIF Tampico,T01_P1,1,9,10,26.3,1,38,Facebook,T01,T01_S0
Twitter::@smumexico,T01_P1,1,10,10,29.4,2,34,Twitter,T01,T01_S2
Facebook::Jesus Ramirez,T01_P1,1,11,9,19.6,11,46,Facebook,T02,T02_S1
Twitter::@JuanPizanaMtz,T01_P1,1,12,9,13.2,6,68,Twitter,T08,T08_S1
