posicion_id,tema_id,rank,usuario,plataforma,fecha,texto,engagement
T00_P1,0,1,Twitter::@Garcimonero,Twitter,2026-05-04T06:29:45Z,"Hay que hacer el pase de lista de los presuntos narcos de Morena, hay mucho más de 43. 1. López Obrador 2.Rocha Moya 3. Américo Villarreal 4. Ricardo Monreal 5. Adán Augusto López 6. Evelyn Salgado 7. Salgado Macedonio 8. Alfonso Durazo 9. Abelina López 10. Andy 11. Hernán Bermúdez 12. María del Pilar Ávila 13. Diego Rivera 14. Cuauhtemoc Blanco 15. Epigmenio 16. Alfredo Ramírez Bedolla 17. Pedro Haces 18. Alfonso Ro",12250
T00_P1,0,2,Facebook::Tampico Gob,Facebook,2026-03-30T18:01:21Z,"Durante muchos años, las y los vecinos de la colonia Santo Niño se sintieron olvidados. Hoy, eso ya cambió.

Un compromiso que por fin se hace realidad, la pavimentación de sus calles.

Escuchar, atender y resolver es nuestra responsabilidad, seguiremos trabajando todos los días para llevar bienestar a las familias tampiqueñas.

#TampicoVaconTodos
#TampicoteCuida",1036
T00_P1,0,3,Facebook::Tampico Gob,Facebook,2026-03-31T17:09:07Z,"Sostuvimos una reunión más para dar seguimiento y brindar atención puntual a los programas y proyectos prioritarios que beneficiarán a las y los tampiqueños.

#TampicoVaconTodos
#TampicoteCuida",814
T00_P1,0,4,Facebook::Tampico Gob,Facebook,2026-04-04T17:31:20Z,"🔵 *AVISO METEOROLÓGICO – TAMPICO Y ZONA SUR*

📅 *Mañana Domingo 05 de abril*

👉 Se informa que se prevé el ingreso del *Frente Frío No. 43*, el cual podría generar las siguientes condiciones en la región:

🌬️ *Evento de “Norte”* moderado:
Se prevén rachas de viento de *35 a 55 km/h*, así como velocidades de 55 a 75 km/h en el Golfo de México, además de un ligero pero notorio descenso de temperatura.

🌧️ *Lluvias:*
Se",809
T00_P2,0,1,Twitter::@porktendencia,Twitter,2026-05-07T00:14:08Z,"""Palacio Nacional"": Porque BTS apareció junto a Claudia Sheinbaum en el balcón principal de Palacio Nacional",3028
T00_P2,0,2,Twitter::@YosoyPedrero,Twitter,2026-05-05T23:23:21Z,"OJO: SALINAS PLIEGO AFIRMA QUE EL GOBIERNO DE LA 4T TIENE UNA BASE MILITAR RUSA ESCONDIDA EN MÉXICO El usurero de Ricardo Salinas Pliego volvió al centro del debate luego de que en espacios informativos de TV Azteca se difundieran versiones sobre una supuesta alerta por “espías rusos” en México. La narrativa generó cuestionamientos en redes sociales y entre analistas, quienes pidieron mayor sustento y verificación de",1766
T00_P2,0,3,Twitter::@ONVentura,Twitter,2026-06-02T15:33:20Z,"LA PATRIA LO DEMANDA En lo que me es personal, el Hyundaigate ya le quitó toda credibilidad al presidente y su equipo. Podrán intentar dar mil explicaciones, pero es obvio que la falta de inteligencia para manejar la crisis ya lo ha convertido en lo que los americanos llaman un ""pato rengo"". Por otra parte, llevar adelante 3 años y medio más de gobierno teniendo en contra a la oposición y a una parte más o menos cons",979
T00_P2,0,4,Twitter::@CarlosCornejoA,Twitter,2026-05-06T03:26:35Z,Un gobierno de Keiko (FP) o un gobierno de Sánchez (JPP) ¿En cuál de ellos confiar para que se encargue de encontrar a los 22 mil desaparecidos de los años de la violencia? #QueNoSeTeOlvide @larepublica_pe https://youtube.com/watch?v=ihrr-azlyHY…,849
T01_P1,1,1,Facebook::Mónica Villarreal,Facebook,2026-04-02T07:40:54Z,"Damos un paso importante para mejorar nuestros servicios: incorporamos una nueva canastilla de 15 metros que fortalecerá el trabajo en alumbrado público 💡

Con ella iniciamos la modernización en avenidas principales con luminarias de 150 watts, mejorando la visibilidad y seguridad. Las actuales se reubicarán en calles secundarias para optimizar recursos.

También podremos dar mantenimiento a los postes, incluyendo su",3754
T01_P1,1,2,Facebook::Mónica Villarreal,Facebook,2026-05-31T14:01:09Z,"Quiero felicitar a nuestra Presidenta, la Dra. Claudia Sheinbaum Pardo, quien hoy presentó su rendición de cuentas al pueblo Mexicano a dos años del triunfo. 

Enhorabuena presidenta, Tampico la respalda y que siga la transformación.",2773
