posicion_id,tema_id,rank,palabra,conteo
T00_P1,0,1,maria,251
T00_P1,0,2,corina,235
T00_P1,0,3,machado,197
T00_P1,0,4,venezuela,86
T00_P1,0,5,maduro,61
T00_P1,0,6,venezolano,57
T00_P1,0,7,regimen,51
T00_P1,0,8,edmundo,36
T00_P1,0,9,libertad,35
T00_P1,0,10,gonzalez,29
T00_P1,0,11,lucha,27
T00_P1,0,12,hora,18
T00_P2,0,1,venezuela,72
T00_P2,0,2,hora,43
T00_P2,0,3,libertad,42
T00_P2,0,4,maduro,42
T00_P2,0,5,regimen,42
T00_P2,0,6,mcm,38
T00_P2,0,7,internacional,22
T00_P2,0,8,colombia,21
T00_P2,0,9,maria,20
T00_P2,0,10,fuerza,19
T00_P2,0,11,lucha,18
T00_P2,0,12,milei,17
T01_P1,1,1,cosa,96
T01_P1,1,2,delincuente,73
T01_P1,1,3,loco,45
T01_P1,1,4,bajar,44
T01_P1,1,5,tommavi,35
T01_P1,1,6,inocente,32
T01_P1,1,7,che,32
T01_P1,1,8,cara,31
T01_P1,1,9,pendejo,30
T01_P1,1,10,carcel,30
T01_P1,1,11,quitar,30
T01_P1,1,12,juan,29
T01_P2,1,1,corrupto,130
T01_P2,1,2,bola,36
T01_P2,1,3,ratero,29
T01_P2,1,4,carcel,25
T01_P2,1,5,cinico,25
T01_P2,1,6,delincuente,21
T01_P2,1,7,mentiroso,18
T01_P2,1,8,prianista,17
T01_P2,1,9,hipocrita,17
T01_P2,1,10,moren,13
T01_P2,1,11,quitar,11
T01_P2,1,12,ignorante,8
T01_P3,1,1,jajaja,120
T01_P3,1,2,miedo,17
T01_P3,1,3,cosa,13
T01_P3,1,4,estupido,5
T01_P3,1,5,camisa,4
T01_P3,1,6,pendejo,4
T01_P3,1,7,cara,3
T01_P3,1,8,ratero,3
T01_P3,1,9,ridiculo,3
T01_P3,1,10,corrupto,3
T01_P3,1,11,capaz,3
T01_P3,1,12,aguantar,3
T02_P1,2,1,ano,76
T02_P1,2,2,votar,38
T02_P1,2,3,tratar,34
T02_P1,2,4,muerte,31
T02_P1,2,5,sufrir,30
T02_P1,2,6,recibir,28
T02_P1,2,7,recordar,26
T02_P1,2,8,joven,25
T02_P1,2,9,victima,22
T02_P1,2,10,cuerpo,22
T02_P1,2,11,blanco,19
T02_P1,2,12,detener,18
T02_P2,2,1,ano,185
T02_P2,2,2,hija,30
T02_P2,2,3,igualmente,8
T02_P2,2,4,recordar,6
T02_P2,2,5,gustavo,6
T02_P2,2,6,recibir,5
T02_P2,2,7,detener,4
T02_P2,2,8,sufrir,4
T02_P2,2,9,comenzar,4
T02_P2,2,10,muerto,4
T02_P2,2,11,numero,4
T02_P2,2,12,joven,3
T03_P1,3,1,tampico,507
T03_P1,3,2,tamaulipas,363
T03_P1,3,3,altamira,282
T03_P1,3,4,cdvictoria,233
T03_P1,3,5,reynosa,195
T03_P1,3,6,matamoros,183
T03_P1,3,7,madero,169
T03_P1,3,8,nuevolaredo,135
T03_P1,3,9,cdmadero,96
T03_P1,3,10,leer,55
T03_P1,3,11,monterrey,55
T03_P1,3,12,nuevoleon,32
T03_P2,3,1,tampico,964
T03_P2,3,2,tamaulipas,383
T03_P2,3,3,altamira,37
T03_P2,3,4,madero,24
T03_P2,3,5,matamoros,14
T03_P2,3,6,reynosa,14
T03_P2,3,7,nuevolaredo,9
T03_P2,3,8,cdvictoria,5
T03_P2,3,9,registrado,3
T03_P2,3,10,beca,3
T03_P2,3,11,cdmadero,2
T03_P2,3,12,gabriela,2
T04_P1,4,1,mami,60
T04_P1,4,2,tierra,42
T04_P1,4,3,senora,31
T04_P1,4,4,vicky,19
T04_P1,4,5,lider,17
T04_P1,4,6,semana,17
T04_P1,4,7,santa,17
T04_P1,4,8,davila,15
T04_P1,4,9,chico,13
T04_P1,4,10,talla,12
T04_P1,4,11,banda,11
T04_P1,4,12,llamado,11
T04_P2,4,1,virgen,81
T04_P2,4,2,santo,45
T04_P2,4,3,guadalupe,37
T04_P2,4,4,regalar,34
T04_P2,4,5,manto,34
T04_P2,4,6,camino,28
T04_P2,4,7,senora,22
T04_P2,4,8,santa,13
T04_P2,4,9,contigo,10
T04_P2,4,10,templo,5
T04_P2,4,11,cruz,5
T04_P2,4,12,semana,5
T05_P1,5,1,canal,31
T05_P1,5,2,cualquiera,24
T05_P1,5,3,rio,22
T05_P1,5,4,caer,21
T05_P1,5,5,bloqueo,21
T05_P1,5,6,foto,20
T05_P1,5,7,huracan,20
T05_P1,5,8,veracruz,18
T05_P1,5,9,afectado,12
T05_P1,5,10,dominguez,12
T05_P1,5,11,lluvia,11
T05_P1,5,12,frente,11
T05_P2,5,1,calle,69
T05_P2,5,2,zona,66
T05_P2,5,3,norte,32
T05_P2,5,4,vecino,30
T05_P2,5,5,col,21
T05_P2,5,6,centro,15
T05_P2,5,7,veracruz,10
T05_P2,5,8,canal,8
