id_global,tema_id,sub_id,nombre_subtema,resumen_subtema,top_terminos,n_palabras,n_aristas,densidad,peso_total
T00_S00,0,0,"Mundial, deportivo, torneo, brava","Subtema T00.S00 centrado en mundial, deportivo, torneo, brava, profesional, copa; conecta tambien competencia, deportiva, corona, inauguracion, atleta, hector.","mundial, deportivo, torneo, brava, profesional, copa, competencia, deportiva, corona, inauguracion, atleta, hector",20,125,0.658,973.0
T00_S01,0,1,"Esfuerzo, tampiqueno, reconocer, agradecer","Subtema T00.S01 centrado en esfuerzo, tampiqueno, reconocer, agradecer, reconocimiento, dedicacion; conecta tambien liderazgo, felicitar, fomentar, vocacion, invitacion, distinguir.","esfuerzo, tampiqueno, reconocer, agradecer, reconocimiento, dedicacion, liderazgo, felicitar, fomentar, vocacion, invitacion, distinguir",19,128,0.749,966.0
T00_S02,0,2,"Felicidad, felicidades, exito, logro","Subtema T00.S02 centrado en felicidad, felicidades, exito, logro, enhorabuena, sigar; conecta tambien merecido, certidumbre.","felicidad, felicidades, exito, logro, enhorabuena, sigar, merecido, certidumbre",8,22,0.786,776.0
T00_S03,0,3,"Feliz, bendicion, querido, abrazo","Subtema T00.S03 centrado en feliz, bendicion, querido, abrazo, cumpleanos, bendigar; conecta tambien orgulloso, bendecido, prosperidad.","feliz, bendicion, querido, abrazo, cumpleanos, bendigar, orgulloso, bendecido, prosperidad",9,36,1.0,774.0
T00_S04,0,4,"Dia, celebrar, especialmente, detalle","Subtema T00.S04 centrado en dia, celebrar, especialmente, detalle, invitado, fest; conecta tambien honrar, estrecho, cuestionar, mty.","dia, celebrar, especialmente, detalle, invitado, fest, honrar, estrecho, cuestionar, mty",10,24,0.533,481.0
T00_S05,0,5,"Orgullo, talento, llenar, emocion","Subtema T00.S05 centrado en orgullo, talento, llenar, emocion, posicionar, ortega; conecta tambien joan.","orgullo, talento, llenar, emocion, posicionar, ortega, joan",7,16,0.762,186.0
T00_S06,0,6,"Lleno, alegria, espiritu","Subtema T00.S06 centrado en lleno, alegria, espiritu.","lleno, alegria, espiritu",3,3,1.0,142.0
T00_S07,0,7,"Grande, gusto, temblar, ingenieria","Subtema T00.S07 centrado en grande, gusto, temblar, ingenieria, trejo, amelia.","grande, gusto, temblar, ingenieria, trejo, amelia",6,9,0.6,70.0
T01_S00,1,0,"Basura, camion, limpieza, recoleccion","Subtema T01.S00 centrado en basura, camion, limpieza, recoleccion, contenedor, cuadrilla; conecta tambien proyectos.","basura, camion, limpieza, recoleccion, contenedor, cuadrilla, proyectos",7,18,0.857,388.0
T01_S01,1,1,"Secuestro, cantar, detras, extorsion","Subtema T01.S01 centrado en secuestro, cantar, detras, extorsion, quemar, intencion; conecta tambien narcoestado, palo, fabrica, chism, center, reponer.","secuestro, cantar, detras, extorsion, quemar, intencion, narcoestado, palo, fabrica, chism, center, reponer",14,52,0.571,127.0
T01_S02,1,2,"Desaparecer, urgente, avisar, vestir","Subtema T01.S02 centrado en desaparecer, urgente, avisar, vestir, provincia, zapatilla; conecta tambien perico, calladito.","desaparecer, urgente, avisar, vestir, provincia, zapatilla, perico, calladito",8,23,0.821,104.0
T01_S03,1,3,"Capital, riqueza, rincon, ideal","Subtema T01.S03 centrado en capital, riqueza, rincon, ideal, huastecas, torno; conecta tambien leticia, acosta, miel, conquistar, brillir, altamirano.","capital, riqueza, rincon, ideal, huastecas, torno, leticia, acosta, miel, conquistar, brillir, altamirano",16,42,0.35,86.0
T01_S04,1,4,"Aire, contratar, sierra, adquirir","Subtema T01.S04 centrado en aire, contratar, sierra, adquirir, bala, ventana; conecta tambien ten, llenir, planeado, grandeza, autoritario, bicicleta.","aire, contratar, sierra, adquirir, bala, ventana, ten, llenir, planeado, grandeza, autoritario, bicicleta",19,51,0.298,78.0
T01_S05,1,5,"Decidir, permanecer, consejo, democratico","Subtema T01.S05 centrado en decidir, permanecer, consejo, democratico, concentrar, foro; conecta tambien ocampo, escalar, ajedrez, tablero, arranca.","decidir, permanecer, consejo, democratico, concentrar, foro, ocampo, escalar, ajedrez, tablero, arranca",11,25,0.455,76.0
T01_S06,1,6,"Evidencia, bulevar, fidel, predio","Subtema T01.S06 centrado en evidencia, bulevar, fidel, predio, perimetral, yahaira; conecta tambien republicano, sarahi, mitigar, danino.","evidencia, bulevar, fidel, predio, perimetral, yahaira, republicano, sarahi, mitigar, danino",10,21,0.467,55.0
T01_S07,1,7,"Cita, nefasto, priista, contestar","Subtema T01.S07 centrado en cita, nefasto, priista, contestar, rodilla, pecho; conecta tambien manchar, inflado.","cita, nefasto, priista, contestar, rodilla, pecho, manchar, inflado",8,15,0.536,31.0
T02_S00,2,0,"Zona, norte, temperatura, minimo","Subtema T02.S00 centrado en zona, norte, temperatura, minimo, viernes, cercano; conecta tambien acompanado, delegacion, pronostico, posibilidad, alex.","zona, norte, temperatura, minimo, viernes, cercano, acompanado, delegacion, pronostico, posibilidad, alex",11,49,0.891,1365.0
T02_S01,2,1,"Elemento, operativo, guardia, dependencia","Subtema T02.S01 centrado en elemento, operativo, guardia, dependencia, vigilancia, permanente; conecta tambien flores, localizar, saldo.","elemento, operativo, guardia, dependencia, vigilancia, permanente, flores, localizar, saldo",9,33,0.917,574.0
T02_S02,2,2,"Transito, direccion, vialidad, conductor","Subtema T02.S02 centrado en transito, direccion, vialidad, conductor, agente, cruzar; conecta tambien electronico, ministerio, crucero, dominguez, archivo, multimedios.","transito, direccion, vialidad, conductor, agente, cruzar, electronico, ministerio, crucero, dominguez, archivo, multimedios",12,36,0.545,403.0
T02_S03,2,3,"Persona, situacion, acudir, garza","Subtema T02.S03 centrado en persona, situacion, acudir, garza, boleto, alimentacion; conecta tambien finalmente, padron, ofender, andy, mortal, alimentario.","persona, situacion, acudir, garza, boleto, alimentacion, finalmente, padron, ofender, andy, mortal, alimentario",12,38,0.576,354.0
T02_S04,2,4,"Personal, labor, emergencia, bomberos","Subtema T02.S04 centrado en personal, labor, emergencia, bomberos, fuego, elementos.","personal, labor, emergencia, bomberos, fuego, elementos",6,15,1.0,218.0
T02_S05,2,5,"Acuerdo, mantener, alcanzar","Subtema T02.S05 centrado en acuerdo, mantener, alcanzar.","acuerdo, mantener, alcanzar",3,3,1.0,169.0
T02_S06,2,6,"Trabajador, afectar, laboral, mitad","Subtema T02.S06 centrado en trabajador, afectar, laboral, mitad, opcion, canasta; conecta tambien datos, first.","trabajador, afectar, laboral, mitad, opcion, canasta, datos, first",8,24,0.857,164.0
