id_global,tema_id,sub_id,hex_color,n_palabras,n_aristas,densidad,peso_total
T00_S00,0,0,#1f77b4,23,104,0.411,1315.0
T00_S01,0,1,#1f77b4,35,185,0.311,452.0
T00_S02,0,2,#1f77b4,51,239,0.187,407.0
T00_S03,0,3,#1f77b4,28,118,0.312,334.0
T00_S04,0,4,#1f77b4,33,109,0.206,249.0
T01_S00,1,0,#ff7f0e,52,680,0.513,2887.0
T01_S01,1,1,#ff7f0e,43,355,0.393,1186.0
T01_S02,1,2,#ff7f0e,29,157,0.387,610.0
T01_S03,1,3,#ff7f0e,17,78,0.574,510.0
T01_S04,1,4,#ff7f0e,21,101,0.481,296.0
T01_S05,1,5,#ff7f0e,12,37,0.561,119.0
T01_S06,1,6,#ff7f0e,8,24,0.857,111.0
T02_S00,2,0,#2ca02c,18,85,0.556,1357.0
T02_S01,2,1,#2ca02c,75,438,0.158,746.0
T02_S02,2,2,#2ca02c,37,245,0.368,685.0
T02_S03,2,3,#2ca02c,19,83,0.485,288.0
T02_S04,2,4,#2ca02c,10,31,0.689,213.0
T02_S05,2,5,#2ca02c,14,42,0.462,128.0
T03_S00,3,0,#d62728,52,423,0.319,1099.0
T03_S01,3,1,#d62728,43,320,0.354,796.0
T03_S02,3,2,#d62728,50,319,0.26,685.0
T03_S03,3,3,#d62728,28,120,0.317,311.0
T03_S04,3,4,#d62728,11,28,0.509,96.0
T03_S05,3,5,#d62728,9,17,0.472,49.0
T03_S07,3,7,#d62728,5,6,0.6,22.0
T04_S00,4,0,#9467bd,43,272,0.301,1484.0
T04_S01,4,1,#9467bd,53,615,0.446,1383.0
T04_S02,4,2,#9467bd,61,533,0.291,1099.0
T04_S03,4,3,#9467bd,16,55,0.458,453.0
T04_S04,4,4,#9467bd,11,31,0.564,175.0
T04_S05,4,5,#9467bd,16,49,0.408,155.0
