tema_id,n_palabras,n_nodos_grafo,n_aristas_grafo,n_subclusters
0,130,130,3048,14
1,82,82,1368,8
2,169,169,2265,10
3,86,86,1457,8
4,169,169,4532,18
5,124,124,2781,13
6,118,118,3145,12
7,136,136,1980,12
8,163,163,5524,23
9,126,126,3561,13
10,160,160,3763,14
11,77,77,1356,9
12,132,132,2979,12
13,57,57,687,7
14,122,122,3007,12
15,114,114,3225,14
16,131,131,5416,18
17,145,145,3083,13
18,111,111,2443,12
19,148,148,2407,13
20,131,131,1776,14
21,126,126,2134,14
22,117,117,4134,10
23,131,131,2913,14
24,150,150,3393,14
25,130,130,1428,10
26,85,85,706,8
27,120,120,3201,16
28,141,141,2689,13
29,113,113,2118,13
30,125,125,3101,14
31,113,113,4945,15
32,153,153,4596,18
33,136,136,5508,20
34,104,104,1928,12
