tema_id,n_terminos,top_20_terminos
0,177,"deporte(0.016), ciudad(0.014), invitar(0.014), cultura(0.013), deportivo(0.013), historia(0.012), maria(0.012), disfrutar(0.012), actividad(0.012), orgullo(0.011), domingo(0.010), plaza(0.010), cultural(0.010), exposicion(0.009), musica(0.009), celebrar(0.008), medalla(0.008), arte(0.008), talento(0.007), atleta(0.007)"
1,182,"madre(0.017), mujer(0.011), hijo(0.011), cartel(0.007), mama(0.006), policia(0.006), salir(0.006), justicia(0.006), volver(0.006), nombre(0.005), hija(0.005), encontrar(0.005), huachicol(0.005), llamar(0.005), juan(0.005), morir(0.004), paz(0.004), hombre(0.004), muerte(0.004), senor(0.004)"
2,230,"ganar(0.024), love(0.013), like(0.012), comentario(0.012), campeon(0.012), extorsion(0.012), pareja(0.012), tecnica(0.011), real(0.010), santiago(0.009), vos(0.009), time(0.009), escapar(0.008), suficiente(0.007), pase(0.007), see(0.007), donald(0.007), cancion(0.007), terapia(0.007), ing(0.006)"
3,207,"pesos(0.016), ayuda(0.013), necesitar(0.012), estudio(0.011), mercado(0.011), contar(0.011), dirigido(0.011), cientifico(0.011), mante(0.010), tarjeta(0.009), ahorro(0.009), castillo(0.009), enlace(0.009), andy(0.009), recibir(0.009), omar(0.008), mami(0.008), com(0.008), inclusion(0.008), nao(0.008)"
4,222,"animal(0.024), adan(0.019), simulacro(0.018), impacto(0.017), denuncia(0.016), rapido(0.015), par(0.015), lagunario(0.013), patrimonio(0.012), bache(0.011), augusto(0.011), ordenado(0.010), hermana(0.010), desazolve(0.010), personaje(0.009), descacharrizacion(0.009), abril(0.008), info(0.008), secuestro(0.008), cifra(0.008)"
5,170,"calle(0.034), zona(0.022), colonia(0.019), agua(0.018), basura(0.017), norte(0.017), casa(0.012), seleccion(0.011), lluvia(0.010), avenida(0.010), col(0.009), vecino(0.009), rio(0.009), guerrero(0.008), camion(0.008), riesgo(0.007), limpio(0.007), centro(0.006), limpieza(0.006), viernes(0.006)"
6,176,"desarrollo(0.017), impulsar(0.017), laguna(0.014), obra(0.014), junio(0.010), carpintero(0.010), proyecto(0.010), espacio(0.010), local(0.010), economico(0.009), internacional(0.009), oportunidad(0.009), nacional(0.008), urbano(0.006), region(0.006), liderazgo(0.006), historico(0.006), turismo(0.006), transformar(0.006), permanente(0.005)"
7,142,"monica(0.030), villarreal(0.029), presidenta(0.019), seguir(0.016), municipal(0.016), bienestar(0.014), accion(0.013), gobierno(0.012), tampicotecuida(0.012), fortalecer(0.012), alcaldesa(0.011), anaya(0.010), tampicovacontodo(0.009), compromiso(0.009), salud(0.008), tampiqueno(0.007), seguridad(0.006), programa(0.006), jornada(0.006), publico(0.006)"
8,132,"gracias(0.033), dia(0.025), familia(0.023), felicidad(0.019), felicidades(0.017), excelente(0.017), vida(0.014), hermoso(0.014), ano(0.013), feliz(0.013), nino(0.013), vivir(0.013), bonito(0.011), bendicion(0.009), pasion(0.009), corazon(0.008), lleno(0.008), nina(0.008), apoyar(0.008), querido(0.008)"
9,152,"tampico(0.079), tamaulipas(0.058), mexico(0.036), altamira(0.030), cdvictoria(0.028), futbol(0.028), mundial(0.026), matamoros(0.025), nota(0.024), reynosa(0.024), madero(0.022), nuevolaredo(0.015), cdmadero(0.014), monterrey(0.011), partido(0.010), cdmx(0.009), mundialista(0.009), equipo(0.008), estadio(0.007), panuco(0.007)"
10,236,"riobravo(0.019), vallehermoso(0.011), estudiante(0.011), servir(0.011), coahuila(0.010), torre(0.009), uat(0.009), vivar(0.009), directo(0.009), reparacion(0.008), superior(0.008), dignidad(0.007), alfredo(0.007), beca(0.007), central(0.007), costo(0.007), vocacion(0.006), sostuve(0.006), fuente(0.006), telefono(0.006)"
11,149,"deber(0.014), pais(0.012), pueblo(0.011), pagar(0.009), pasar(0.008), mal(0.008), mexicano(0.008), puro(0.008), claudia(0.007), dinero(0.007), hablar(0.006), narco(0.006), presidente(0.006), politico(0.006), robar(0.005), corrupto(0.005), sacar(0.005), ley(0.005), jajaja(0.004), verguenza(0.004)"
12,198,"lopez(0.026), morena(0.024), destruir(0.013), millon(0.012), investigacion(0.011), judicial(0.011), unidos(0.010), votar(0.010), ejercito(0.009), obrador(0.009), voto(0.009), crimen(0.008), empresario(0.008), gobernadora(0.008), tormenta(0.008), pan(0.008), granhermano(0.007), gobernar(0.007), fiscal(0.007), gobernador(0.007)"
13,227,"mundo(0.012), perder(0.008), persona(0.008), venir(0.007), dejar(0.007), alma(0.007), arbol(0.007), mes(0.006), semana(0.006), dato(0.006), tocar(0.006), carretera(0.006), fuerte(0.006), sufrir(0.006), tonto(0.005), verde(0.005), empezar(0.005), camino(0.005), cafe(0.004), resultar(0.004)"
14,195,"gente(0.024), querer(0.019), gustar(0.016), pensar(0.013), favor(0.010), video(0.010), luz(0.010), creer(0.010), alguien(0.010), andar(0.010), fan(0.009), esperar(0.009), ojala(0.008), rico(0.008), donde(0.008), amar(0.008), cosa(0.008), importar(0.007), gracia(0.007), hola(0.007)"
