usuario,n_msgs,ejemplo_texto
Facebook::Adrian Paez,1,
Facebook::Alberto Yepez,1,
Facebook::Aleex Castillo,1,
Facebook::Alfredo Vivas Gonzales,1,
Facebook::Ana Lilia Barrios Salazar,1,
Facebook::Antonio Alvarado,1,
Facebook::Arely Pineyro Alatorre,1,
Facebook::Ariadnee Jácome,1,
Facebook::Ariana Garza,1,
Facebook::Arturo Briseño,1,
Facebook::Aurora Ávalos,1,
Facebook::Awais Shahid,1,
Facebook::Betty Jaime,1,
Facebook::Betty Mendiola,1,
Facebook::Blanca Pulido,1,
Facebook::Bony Garcia,3,
Facebook::Brayan Servin,1,
Facebook::Carina CadenaHdz,1,
Facebook::Carlos Esparza,1,
Facebook::Carlos Garcia Porres,1,
Facebook::Carmen Zapata,1,
Facebook::Clau LO Ferra,2,
Facebook::Claudia Trinidad Meza Baez,1,
Facebook::Concepcion Chavez,1,
Facebook::Crystel García,1,
Facebook::Dely Da,1,
Facebook::Dora Martinez Ramos,1,
Facebook::Ellie Saucedo,1,
Facebook::Esme Cordova,1,
Facebook::Faby Gonzalez,1,
Facebook::Fernando Velazquez Hernandez,1,
Facebook::Gabina Hernandez,1,
Facebook::Giovanna Castillo Cocuccelli,1,
Facebook::Greky Torres,1,
Facebook::Hilarion Castillo,1,
Facebook::Irma Cortez,1,
Facebook::Iselaa Maldonado,1,
Facebook::Ivan Perez,1,
Facebook::Jesus Sobrevilla,1,
Facebook::Joaquin Jerez Cruz,1,
Facebook::Joshep Servin,2,
Facebook::Juan Pablo Escobar,1,
Facebook::Juanita Aguilar,1,
Facebook::Jureimy Cisneros,1,
Facebook::Karen Alvarz,1,
Facebook::Karina Alvarez,2,
Facebook::Karol Ruiz,2,
Facebook::Kelly Ro,1,
Facebook::Keyli R'e,1,
Facebook::Laila Espinosa,2,
Facebook::Leonor Estrada,1,
Facebook::Lucia Vents,1,
Facebook::Luis Alberto Nery,1,
Facebook::Luis Gerardo Sánchez,1,
Facebook::Mar Pesca Golf,1,
Facebook::Marco Antonio Casados Ruiz,1,
Facebook::Maria Beatriz Zavala Chanez,1,
Facebook::Maria D J Sanchez Stgo,1,
Facebook::Maribel Pacheco Muñoz,1,
Facebook::Mariel Herrera,1,
Facebook::Martha Irery Santiago Galvan,1,
Facebook::Mary Zuñiga,1,
Facebook::Maury Cedillo,2,
Facebook::Meche Gordillo Gordillo,1,
Facebook::Mich Jimenez,2,
Facebook::Miguel Jasso,1,
Facebook::Momo Ayase,1,
Facebook::Monica Garza,1,
Facebook::Monica Medina,1,
Facebook::Monii Sosa,1,
Facebook::Moxha Guedes,1,
Facebook::Natfer Meia,1,
Facebook::Norma Tejeda,1,
Facebook::Olvera T Jesus,3,
Facebook::Osmar Garza,1,
Facebook::Ovet Gonzalez,1,
Facebook::Rafa Botello,2,
Facebook::Rafael Garza R,1,
Facebook::Rafael Medina de Gandiaga,8,
Facebook::Raphael Gam dela Rosa,1,
Facebook::Raúl Pérez,1,
Facebook::Roux Mar,1,
Facebook::Roxanna Luna,1,
Facebook::Sandra Garcia,1,
Facebook::Sarai Castro,1,
Facebook::Sau Art,1,
Facebook::Sergiofederico Alvaflores,1,
Facebook::Shivis Del Angel,1,
Facebook::Teresa Lopez,1,
Facebook::Uriel Barrios,1,
Facebook::Vanessa De Luna,1,
Facebook::Velas Lindo Detalle,1,
Facebook::Veronica Guerrero,1,
Facebook::Vicka Sanchez,1,
Facebook::Viianey Ramirez,1,
Facebook::Virginia Mendoza,1,
Facebook::Zezadeal Zaze,1,
Twitter::@49erCarlos,1,
Twitter::@8EightPillars,2,
Twitter::@ADarleAtomos,1,
Twitter::@AleBarcnas,1,
Twitter::@AlejandroMalo10,1,
Twitter::@AlexCulon69,1,
Twitter::@Angel26614849,1,
Twitter::@Angel9_game,1,
Twitter::@Azul52934466,1,
Twitter::@Beto82824468,1,
Twitter::@CAD3COMIN,3,
Twitter::@CRUZONTIVEROS11,1,
Twitter::@ChsLamueveGamer,1,
Twitter::@DSFatim,1,
Twitter::@Darly2903,1,
Twitter::@Dideva3D,2,
Twitter::@DoctorCaos,1,
Twitter::@EContre17,7,
Twitter::@FIFAWorldCup,1,
Twitter::@GaldAntonio,1,
Twitter::@GovPressOffice,1,
Twitter::@JDogerty16130,1,
Twitter::@JMhuhhh,2,
Twitter::@Jess34026405,1,
Twitter::@JesusDeLaCruzG,2,
Twitter::@Jonaxxthebest,1,
Twitter::@Jorgee_alcala,1,
Twitter::@Josr99fodao,4,
Twitter::@JoueursSN,1,
Twitter::@KattyYaye,1,
Twitter::@LuisyMelissa56,1,
Twitter::@M_Brawl,1,
Twitter::@Mane_Galaz,1,
Twitter::@Monica55dzrh,1,
Twitter::@Ndeye__Penda,1,
Twitter::@Noticias_Tams,1,
Twitter::@Por_Ferraez,1,
Twitter::@Raeeethaabaeee,1,
Twitter::@Ramonen54925378,1,
Twitter::@SignosNoreste,1,
Twitter::@SoulXRs,1,
Twitter::@ThingsRockoSays,1,
Twitter::@TraceyD14636729,1,
Twitter::@Trollimer,1,
Twitter::@TulichNora,1,
Twitter::@Ultimate_Lance,1,
Twitter::@ViviPerdomo23,1,
Twitter::@alien77_sw,1,
Twitter::@andy_friass,1,
Twitter::@anelehfue,1,
Twitter::@arturosalazari,1,
Twitter::@athendoflight,1,
Twitter::@atrevidostam,1,
Twitter::@carlosber1392,1,
Twitter::@cesar6218,1,
Twitter::@clauum22,1,
Twitter::@comunicaalberto,1,
Twitter::@dee_teee,3,
Twitter::@denosauuur,1,
Twitter::@eduardo_lsxd,1,
Twitter::@fpadilla64,1,
Twitter::@kamp_ye,1,
Twitter::@karla0129299317,1,
Twitter::@kumxem,1,
Twitter::@l1f9a0f2,1,
Twitter::@lexrey,1,
Twitter::@loquitos2008,1,
Twitter::@lupitap95463675,1,
Twitter::@perroflaaaan,1,
Twitter::@sarahmori_,1,
Twitter::@softtail65,1,
Twitter::@ssolbesmarin,1,
Twitter::@sttingz,1,
Twitter::@vlog_veronica,2,
Twitter::@zafirotorres16,2,
YouTube::@8JAA,1,
YouTube::@ATI_Kzal,1,
YouTube::@AleksWalksDrives,1,
YouTube::@AmadoMorales-n5l2m,1,
YouTube::@AmandoHectorysugrupo-ds2xh,1,
YouTube::@AnaRud,1,
YouTube::@Andres-m3h,1,
YouTube::@AndresRodriguez-le7ng,1,
YouTube::@AngelGuzman-g3e,1,
YouTube::@AngelHernandez-y8l5z,1,
YouTube::@AngelPadilla-n7l,1,
YouTube::@AntonioRocha-p6b,1,
YouTube::@ArgentinoenUSA,1,
YouTube::@BenShaLo-wm3lq,1,
YouTube::@BrisselPerez-e3b,1,
YouTube::@C4RLOS4DRI4N,1,
YouTube::@CarlosLópez-w5p2h,1,
YouTube::@CarlosSalvador-ge6rg,1,
YouTube::@ClaudiaJiménez-u4m,1,
YouTube::@ClaudipOntiveros,1,
YouTube::@CristalRomero-w1z,1,
YouTube::@Cruzbarreras-o4j,1,
YouTube::@EduVil-vh6rq,1,
YouTube::@EduardoJiménezNava-g5d4d,1,
YouTube::@Egt3z,1,
YouTube::@EmilioMartinez-r4d,1,
YouTube::@EnriqueMartinez-nm4zm,1,
YouTube::@EpaAmma-k5l6r,1,
YouTube::@EstebanDiaz-h4d,1,
YouTube::@FabricioMontoyaRobles,1,
YouTube::@FelixBarrios-h6c,1,
YouTube::@FranciscoTejas-p8c,1,
YouTube::@Gabriel-Batres16217,1,
YouTube::@GeneraciónAMLO,1,
YouTube::@GonzaloRamirez-h8e,1,
YouTube::@GuillermoSantillanaMárquez,1,
YouTube::@Hadouken.,1,
YouTube::@HugoLopez-fn1we,1,
YouTube::@IsmaelPerez-p9w,1,
YouTube::@IvánColín-e5r,1,
YouTube::@JaimeRamirez-j9x,1,
YouTube::@JavierRojas-p3d,1,
YouTube::@JesusPerezPeña-o5j,2,
YouTube::@Johnny-c5p,1,
YouTube::@JorgeMartlnez,1,
YouTube::@JorgeRodriguez-l4t,1,
YouTube::@JuanAlvaroPelayoJuarez,1,
YouTube::@JuanFlores-q9i,1,
YouTube::@JuanMuro-f7f,1,
YouTube::@Juan_Pablo_Glez_Vengas,1,
YouTube::@JulioHernandez-zs5pb,1,
YouTube::@LJACKXXI,1,
YouTube::@LOSTD34D,1,
YouTube::@LaloGuzman-d2p,1,
YouTube::@Leonidas-x6g,1,
YouTube::@Lmiles11,1,
YouTube::@Luffymugiwara,1,
YouTube::@LupecoColin,1,
YouTube::@MadelynMartinez-d2b,4,
YouTube::@MadhaHebs,1,
YouTube::@MagdaDuran-r7l,1,
YouTube::@Mariaelva-m1u7q,1,
YouTube::@MarianoCano-c7w,1,
YouTube::@MiguelAngelRoblesRamos-s9y9i,1,
YouTube::@MiguelRodriguez-je6ct,1,
YouTube::@MrLegarcia,1,
YouTube::@MustafaMont,1,
YouTube::@NathanielGomez-t1k,1,
YouTube::@NelsonTellez-bk8if,1,
YouTube::@NetoSanchez-r1b,1,
YouTube::@NonDNA-py5gr,1,
YouTube::@Nose9301,1,
YouTube::@OtonielGarcia-ei7ng,1,
YouTube::@OttoAguilar-e8s,1,
YouTube::@PajaraPelicano,1,
YouTube::@PatriciaE.Esquivel,1,
YouTube::@Piedras.663,1,
YouTube::@RBnett1,1,
YouTube::@REGIASURF,1,
YouTube::@ReneVerdugo-d2q,1,
YouTube::@Samuelrepartidor,1,
YouTube::@SandraEscobarRamos,1,
YouTube::@TTESTHER8117,1,
YouTube::@TessEstrada-xe4qp,1,
YouTube::@The-Axxtro,1,
YouTube::@TheYanuz,1,
YouTube::@VIOLETARIOS-st7vb,1,
YouTube::@VictorManuelRuizEscobar,1,
YouTube::@VidalRojas-w6t,1,
YouTube::@WalksandSuch,1,
YouTube::@adolfoginezgarcia6343,1,
YouTube::@adrianalara4344,1,
YouTube::@adriangonzalez8141,1,
YouTube::@aidagamez4881,1,
YouTube::@albertoacevedo328,1,
YouTube::@albertomata9975,1,
YouTube::@aldovalerio1067,1,
YouTube::@aldoventura9859,2,
YouTube::@alejandrofogle534,1,
YouTube::@alexwilder1421,1,
YouTube::@alfredogutierrez-r8m,1,
YouTube::@aliciacastillo9917,1,
YouTube::@aliciarodriguezesparza850,1,
YouTube::@ananikis4841,1,
YouTube::@andrespaz8661,1,
YouTube::@angelazzul2722,1,
YouTube::@antoniosi1847,1,
YouTube::@aperez9602,1,
YouTube::@aracelicastro2430,1,
YouTube::@armandomagana,1,
YouTube::@armandonunez5709,1,
YouTube::@armandosaldana9675,1,
YouTube::@arturoramirezserrano-e7p,1,
YouTube::@beatrizaliciaruizramirez2178,1,
YouTube::@betogama6942,1,
YouTube::@blancagonzalez9768,1,
YouTube::@camegomez6018,1,
YouTube::@carlosmoreno6215,1,
YouTube::@chelameza9261,1,
YouTube::@chuychavez5718,1,
YouTube::@claraauroralopezmoreno6723,1,
YouTube::@claritalove177,1,
YouTube::@claudiaceciliasotohernande1556,1,
YouTube::@crikodev,1,
YouTube::@danielramosviana7451,1,
YouTube::@dariocruz-g8j,1,
YouTube::@davidarteaga2241,1,
YouTube::@deliacardenasaguilar78,1,
YouTube::@denguario,1,
YouTube::@dianaleal4107,1,
YouTube::@edgarcorona3317,1,
YouTube::@eduardoe-o8g,1,
YouTube::@elamotorista8776,1,
YouTube::@elperrochistoso1,1,
YouTube::@eltecolotebarrera2091,1,
YouTube::@elterribleabraham3333,1,
YouTube::@emilo7295,1,
YouTube::@enriquemendozamendoza493,1,
YouTube::@erikaromero7911,1,
YouTube::@ernestoarmandoordonezlopez4235,1,
YouTube::@estebanmorales7824,1,
YouTube::@facepotato5288,1,
YouTube::@ferchoa,1,
YouTube::@fledowlopez4606,1,
YouTube::@gladisibarra,1,
YouTube::@gloriarosales6860,1,
YouTube::@guillerios3734,1,
YouTube::@hazloquetienes,1,
YouTube::@hectormorales5974,1,
YouTube::@hectorplascenciaramirez5588,1,
YouTube::@hilariofuentes1120,1,
YouTube::@hugovanegas9200,1,
YouTube::@humbertomarquezperez3554,1,
YouTube::@ildaveliaibarrasaldana3102,1,
YouTube::@ilepor8770,1,
YouTube::@ing.miguelangeloronavaltie1322,1,
YouTube::@irisbocardo6903,1,
YouTube::@iskazola5457,1,
YouTube::@ivan0oze886,1,
YouTube::@j.c.espindola5747,1,
YouTube::@jaellc3453,1,
YouTube::@jessyrobles9444,1,
YouTube::@jesusgalanvera9405,1,
YouTube::@jkarlosmz,1,
YouTube::@jonathanalexisgordillo2887,1,
YouTube::@jorgea6694,1,
YouTube::@jorgeflores281,1,
YouTube::@jorgepool6519,1,
YouTube::@josealexismartinezmejia8305,1,
YouTube::@josedavidmelladoazotlla3901,1,
YouTube::@joserodrigueztrejo7730,1,
YouTube::@juancarlosangelguerra9183,1,
YouTube::@juancarlosfloreslopez5357,1,
YouTube::@juancarloslataban4564,1,
YouTube::@juancarlossanchez2792,1,
YouTube::@juanluisramireztello6805,1,
YouTube::@julioramirez5552,1,
YouTube::@labarbacoa5805,1,
YouTube::@lauraelenalanda8899,1,
YouTube::@laurasilviaaguilar7551,1,
YouTube::@luisbadillo5691,1,
YouTube::@luiscordovaleyva4459,1,
YouTube::@luishernandez4485,1,
YouTube::@luisricardomartinezsosa-sr8fd,1,
YouTube::@magiscosina6879,1,
YouTube::@marcoslopez1870,1,
YouTube::@marcushernandez9018,1,
YouTube::@mariadiaz8882,2,
YouTube::@mariaguadalupedima2905,1,
YouTube::@mariasotogarcia761,1,
YouTube::@mariodejesusgonzalezrojas,1,
YouTube::@mariomedel7724,1,
YouTube::@mariposa-bo7gi,1,
YouTube::@martinlozano7511,1,
YouTube::@marvinmendoza908,1,
YouTube::@mauflores3235,1,
YouTube::@mauriciorosales8774,1,
YouTube::@mauricioruiz7362,1,
YouTube::@miguelarciniega9700,1,
YouTube::@mister.sverdlovsk,1,
YouTube::@mochilazocultural,1,
YouTube::@nicuyomesukura608,1,
YouTube::@nietop257,1,
YouTube::@oliviagarcia962,1,
YouTube::@oscarbecerra6301,1,
YouTube::@oscargerman6079,1,
YouTube::@pablobaltodano1982,1,
YouTube::@pablopriego7739,1,
YouTube::@pabloruiz3375,1,
YouTube::@papatoiglesias9857,1,
YouTube::@pillisypollis2013,1,
YouTube::@rafaelnunez742,1,
YouTube::@rainke,1,
YouTube::@ramiroromo122,1,
YouTube::@rastreohercules3785,1,
YouTube::@raul05salazar,1,
YouTube::@reynoex7158,1,
YouTube::@ricardosanz1524,1,
YouTube::@rogeliooctavioibarraharrig1172,1,
YouTube::@rolfmeyer8273,1,
YouTube::@rovi3261,1,
YouTube::@rubenmarquezgomez7742,1,
YouTube::@rubenrodriguez2186,1,
YouTube::@salvadorespinosa7558,1,
YouTube::@samirsierras4281,1,
YouTube::@sandroramirez1287,1,
YouTube::@santoslennon,1,
YouTube::@saraibanez2519,1,
YouTube::@saturninoflores9016,1,
YouTube::@sergiogarcia7719,1,
YouTube::@skskkdnsk,1,
YouTube::@sr.lobo-1992,1,
YouTube::@tonyromo3184,1,
YouTube::@totooti,1,
YouTube::@tuliocardonabenavides9544,1,
YouTube::@usuario123V,1,
YouTube::@vamperzzi,1,
YouTube::@verocastro6933,1,
YouTube::@vidal3632,1,
YouTube::@volcom612infectedterran,1,
YouTube::@wimbell,1,
YouTube::@yeyelvab9666,1,
YouTube::@zandybelle,1,
YouTube::@СергейЛяпунов-ч4я,9,
