usuario,palabra,conteo,tema,sub,plataforma
Facebook::Aaron De Jesus Ramirez,excelente,1,47,5,Facebook
Facebook::Aaron De Jesus Ramirez,grupo,1,24,4,Facebook
Facebook::Aaron De Jesus Ramirez,cuadrilla,1,1,0,Facebook
Facebook::Aaron De Jesus Ramirez,fuerte,1,22,2,Facebook
Facebook::Aaron De Jesus Ramirez,lograr,1,18,4,Facebook
Facebook::Aaron De Jesus Ramirez,grande,1,0,7,Facebook
Facebook::Aaron De Jesus Ramirez,resultado,1,31,7,Facebook
Facebook::Aaron De Jesus Ramirez,union,1,6,6,Facebook
Facebook::Agustin Torres Rios,rodolfo,2,48,0,Facebook
Facebook::Agustin Torres Rios,torre,2,4,5,Facebook
Facebook::Agustin Torres Rios,hospital,1,45,2,Facebook
Facebook::Agustin Torres Rios,piedra,1,5,9,Facebook
Facebook::Agustin Torres Rios,participacion,1,31,7,Facebook
Facebook::Agustin Torres Rios,recuerdo,1,18,12,Facebook
Facebook::Agustin Torres Rios,memoria,1,46,0,Facebook
Facebook::Aj Segovia,tampicotecuida,4,47,-1,Facebook
Facebook::Aj Segovia,evento,4,6,4,Facebook
Facebook::Aj Segovia,tampico,3,13,0,Facebook
Facebook::Aj Segovia,gente,2,42,0,Facebook
Facebook::Aj Segovia,convivir,2,14,0,Facebook
Facebook::Aj Segovia,felicidades,2,0,2,Facebook
Facebook::Aj Segovia,padrisimo,2,14,8,Facebook
Facebook::Aj Segovia,sembrar,2,14,6,Facebook
Facebook::Aj Segovia,avanzar,2,23,2,Facebook
Facebook::Aj Segovia,presidenta,2,47,3,Facebook
Facebook::Aj Segovia,transformacion,2,47,1,Facebook
Facebook::Aj Segovia,labor,1,2,4,Facebook
Facebook::Aj Segovia,constar,1,36,12,Facebook
Facebook::Aj Segovia,andar,1,49,7,Facebook
Facebook::Aj Segovia,manos,1,36,9,Facebook
Facebook::Aj Segovia,obra,1,17,3,Facebook
Facebook::Aj Segovia,bello,1,28,0,Facebook
Facebook::Aj Segovia,espacio,1,6,8,Facebook
Facebook::Aj Segovia,aprender,1,14,10,Facebook
Facebook::Aj Segovia,disfrutar,1,19,1,Facebook
Facebook::Aj Segovia,conectar,1,38,2,Facebook
Facebook::Aj Segovia,entorno,1,14,5,Facebook
Facebook::Aj Segovia,natural,1,32,2,Facebook
Facebook::Aj Segovia,padre,1,14,1,Facebook
Facebook::Aj Segovia,convivencia,1,14,5,Facebook
Facebook::Aj Segovia,felicidad,1,0,2,Facebook
Facebook::Aj Segovia,significativo,1,24,9,Facebook
Facebook::Aj Segovia,plaza,1,6,7,Facebook
Facebook::Aj Segovia,quedar,1,30,0,Facebook
Facebook::Aj Segovia,bonito,1,28,0,Facebook
Facebook::Aj Segovia,esperanza,1,18,0,Facebook
Facebook::Aj Segovia,futuro,1,14,6,Facebook
Facebook::Aj Segovia,prevenir,1,31,2,Facebook
Facebook::Aj Segovia,salud,1,47,2,Facebook
Facebook::Aj Segovia,festejo,1,31,9,Facebook
Facebook::Aj Segovia,presente,1,14,6,Facebook
Facebook::Aj Segovia,dia,1,0,4,Facebook
Facebook::Aj Segovia,historia,1,39,3,Facebook
Facebook::Aj Segovia,paz,1,7,1,Facebook
Facebook::Aj Segovia,construir,1,47,1,Facebook
Facebook::Aj Segovia,cercania,1,24,2,Facebook
Facebook::Aj Segovia,bienestar,1,47,2,Facebook
Facebook::Aj Segovia,oportunidad,1,23,5,Facebook
Facebook::Aj Segovia,gracias,1,30,1,Facebook
Facebook::Aj Segovia,ambiental,1,29,5,Facebook
Facebook::Aj Segovia,amor,1,18,0,Facebook
Facebook::Aj Segovia,tierra,1,18,9,Facebook
Facebook::Aj Segovia,detener,1,8,9,Facebook
Facebook::Aj Segovia,amar,1,33,2,Facebook
Facebook::Aj Segovia,cuidar,1,47,2,Facebook
Facebook::Aj Segovia,inauguracion,1,0,0,Facebook
Facebook::Aj Segovia,mundial,1,0,0,Facebook
Facebook::Aj Segovia,triunfo,1,25,2,Facebook
Facebook::Aj Segovia,querido,1,0,3,Facebook
Facebook::Aj Segovia,seleccion,1,37,1,Facebook
Facebook::Aj Segovia,apoyar,1,42,0,Facebook
Facebook::Aj Segovia,celebrar,1,0,4,Facebook
Facebook::Aj Segovia,mexico,1,27,0,Facebook
Facebook::Aj Segovia,resultado,1,31,7,Facebook
Facebook::Aj Segovia,supervision,1,23,2,Facebook
Facebook::Aj Segovia,coordinacion,1,31,0,Facebook
Facebook::Aj Segovia,autoridad,1,15,1,Facebook
Facebook::Aj Segovia,fuerza,1,18,6,Facebook
Facebook::Aj Segovia,orden,1,11,6,Facebook
Facebook::Aj Segovia,felicitaciones,1,12,6,Facebook
Facebook::Aj Segovia,alcaldesa,1,47,0,Facebook
Facebook::Aj Segovia,madrina,1,29,1,Facebook
Facebook::Aj Segovia,lujo,1,34,2,Facebook
Facebook::Aket Osbecode,lampara,1,43,7,Facebook
Facebook::Aket Osbecode,reparar,1,45,4,Facebook
Facebook::Aket Osbecode,secretaria,1,31,6,Facebook
Facebook::Aket Osbecode,servicios,1,47,6,Facebook
Facebook::Aket Osbecode,publicos,1,47,6,Facebook
Facebook::Aket Osbecode,tampico,1,13,0,Facebook
Facebook::Aket Osbecode,monica,1,47,0,Facebook
Facebook::Aket Osbecode,villarreal,1,47,0,Facebook
Facebook::Aket Osbecode,ano,1,41,1,Facebook
Facebook::Aket Osbecode,funcionar,1,33,6,Facebook
Facebook::Alcocer Manuelita Susy,encuentro,2,6,5,Facebook
Facebook::Alcocer Manuelita Susy,hernan,1,25,2,Facebook
Facebook::Alcocer Manuelita Susy,bendiga,1,36,0,Facebook
Facebook::Alcocer Manuelita Susy,salida,1,12,5,Facebook
Facebook::Alcocer Manuelita Susy,entrada,1,19,6,Facebook
Facebook::Alcocer Manuelita Susy,deportista,1,19,3,Facebook
Facebook::Alcocer Manuelita Susy,compartir,1,30,1,Facebook
Facebook::Alcocer Manuelita Susy,red,1,5,0,Facebook
Facebook::Alcocer Manuelita Susy,deportivo,1,0,0,Facebook
Facebook::Alcocer Manuelita Susy,dema,1,20,1,Facebook
Facebook::Alcocer Manuelita Susy,tamaulipas,1,13,0,Facebook
Facebook::Alcocer Manuelita Susy,tampico,1,13,0,Facebook
Facebook::Alcocer Manuelita Susy,gob,1,47,0,Facebook
Facebook::Alejandra Sanchez,accion,1,31,2,Facebook
Facebook::Alejandra Sanchez,beneficio,1,47,8,Facebook
Facebook::Alejandra Sanchez,ciudadania,1,47,8,Facebook
Facebook::Alejandra Sanchez,ano,1,41,1,Facebook
Facebook::Alejandra Sanchez,maravillosa,1,29,1,Facebook
Facebook::Alejandra Sanchez,exposicion,1,29,4,Facebook
Facebook::Alex Moxa,felicidad,8,0,2,Facebook
Facebook::Alex Moxa,presidentar,5,47,5,Facebook
Facebook::Alex Moxa,presidenta,3,47,3,Facebook
Facebook::Alex Moxa,felicidades,3,0,2,Facebook
Facebook::Alex Moxa,bonito,2,28,0,Facebook
Facebook::Alex Moxa,iniciativa,1,23,5,Facebook
Facebook::Alex Moxa,gracias,1,30,1,Facebook
Facebook::Alex Moxa,impulsar,1,23,5,Facebook
Facebook::Alex Moxa,deporte,1,6,4,Facebook
Facebook::Alex Moxa,cancha,1,42,4,Facebook
Facebook::Alex Moxa,super,1,28,2,Facebook
Facebook::Alex Moxa,tampico,1,13,0,Facebook
Facebook::Alex Moxa,seguir,1,47,1,Facebook
Facebook::Alex Moxa,progresar,1,33,4,Facebook
Facebook::Alex Moxa,padre,1,14,1,Facebook
Facebook::Alex Moxa,ala,1,36,9,Facebook
Facebook::Alex Moxa,apollo,1,39,5,Facebook
Facebook::Alex Moxa,programa,1,48,0,Facebook
Facebook::Alex Moxa,pensar,1,33,7,Facebook
Facebook::Alex Moxa,apollar,1,39,5,Facebook
Facebook::Alex Moxa,vien,1,36,4,Facebook
