documento_id,plataforma,usuario,tipo_registro,lemas
da7ceb79884a8114397f,Instagram,juanpizanamtz,mencion,tampico jugar corazon inclusion vivir detalle convivencia diario asamblea ciudadano loteria juego espacio excepcion increible ciudadana agudeza chispa demostrar falta disfrutar plenamente vida entusiasmo contagioso recordar importante construir tampico oportunidad gracias familia proyecto encabezar companera dra claudia sheinbaum nivel nacional companero americo tamaulipas companera presidenta monica villarreal tampico apuntar partida tampicoincluyente somostampico regidor comunidad loteriamexicana
15498bd6154eb92e6126,Medios,Milenio,articulo,sur tamaulipas volver llamar atencion nivel nacional puerta firma pacto encabezado canaco nacional autoridad tampico evento cualquiera medida atribuir gestion eduardo manzur atraer encuentro relevancia motivo empresario pais decidir visitar sur tamaulipas decision presidente canaco nacional octavio torre steffano identificar puerto jaibo ciudad consolidado materia comercio seguridad considerar secretaria economia gobierno tamaulipas ninfa cantu perfil tomar rumbo prospecta morena sucesion prueba fuego superar aduana politico partido verde abrir registro aspirir coordinar partidista municipio mensaje buscar fortalecer posicion frente morena eventual negociacion alianza querer aliado partido peso suficiente influir definicion decision final seguir dirigencia nacional jose brana mojica anunciar solicitar licencia buscar oportunidad electoral cabe recordar llegar camara diputados
f23cbe44d672fc1a9c60,Facebook,Tampico Gob,publicacion_institucional,ciclo escolar instruccion presidenta municipal tampico monica zacil villarreal anaya programa prevencion violencias entorno escolar direccion prevencion delito escuela beneficiar estudiante gracias plantel abrirnos puerta cuerpo directivo docente escuela mil estudiante impartir conferencia desear divertido vacacion ciclo escolar seguir construir tampico paz tampico tampico tampicovacontodos escuela vacacion
fb83ac7842fa53146e8f,Facebook,Mónica Villarreal,publicacion_institucional,manana reuni afiliado cmic tamaulipas compartir avance lograr area importante seguir transformar tampico presentar actual inversion programa obra publica sumar millon pesos inversion municipal millon pesos gestionado gobierno millon pesos destinado desarrollo ciudad agradecer cmic entrega cheque dif tampico fortalecer labor favor necesitar entrega cheque municipio elaboracion proyecto ejecutivo permitir seguir impulsar obra estrategico crecimiento tampico seguir mano sector construir tampico desarrollo oportunidad resultado reflejar calidad vida tampiqueno
7f1c75cd37063b399512,Medios,Milenio,articulo,corredor industrial sur tamaulipas concentrar actividad economico representar oportunidad diversificar economia elevar competitividad ano concluir estudio comision economica america latina caribe cepal analisis organismo naciones unidas identificar complejo petroquimico asentado altamira plataforma etapa desarrollo industrial entidad ecosistema solido region concentrar producto interno bruto estatal generar albergar complejo petroquimico importante america latina cuyo exportacion llegar pais reconocer autor estudio nahuel oddone federico stezano diversificacion economico principal reto tamaulipas cepal advertir liderazgo garantizar crecimiento sostenido desafio consistir convertir fortaleza industria petroquimico motor diversificacion capaz desarrollar cadena integrar proveedor local incorporar micro pequeno mediano empresa impulsar innovacion eje permanente desarrollo productivo analisis formar estudio iniciativa articulacion productiva territorial iapt entidad pais concl
1383ac8a54ab33f7570b,Facebook,Mónica Villarreal,publicacion_institucional,manana reuni afiliado cmic tamaulipas compartir avance lograr tampico contar inversion millon pesos obra publico resultado suma recurso municipal gobierno agradecer cmic entrega cheque dif tampico fortalecer labor social municipio elaboracion proyecto ejecutivo impulsar desarrollo tampico tampicovacontodo tampicotecuida
6b7023721e6792808dae,Medios,Milenio,articulo,inversion comision nacional agua conagua deber obligatorio ley entidad tamaulipas acuerdo cobro objetivo sacar proyecto anti inundacion pendiente decada presidente camara nacional comercio canaco tampico eduardo manzur asegurar deber forma etiquetar recurso cuenca pais deber obligacion ley regresar obra servicio beneficio cuenca administrar obras inundacion seguir pendiente sur tamaulipas insistir empresario tampiqueno serie proyecto pendiente ano obra inundacion tampico madero altamira proyecto buscar contencion agua frente sequia quedar tintero reclamo sociedad civil sector empresarial cobro conagua extraccion explotacion manto acuifero administrar nulo retorno inversion sentido disposicion generar recurso recalcar obra tampico hidrotunel ejercito mexicano dren martock decada pendiente obra anti inundacion madero dren evitar problema
75d73d18c79949136951,Facebook,Mónica Villarreal,publicacion_institucional,gracias maestra tere docente madre padre familia escuela primaria vicente guerrero colonia lopez portillo calido recibimiento hermoso detalle seguir atender gestion pronto barda quedar completamente rehabilitado
74a630bd9eab2761ed23,Medios,Milenio,articulo,partido politico registro tamaulipas reducido financiamiento publico recibir semestre ano incorporacion fuerza politica nacional paz mexico derecho prerrogativa estatal obtener acreditacion entidad ietam ajustar prerrogativa morena pan verde pri presidente instituto electoral tamaulipas ietam juan jose ramos charre informar ajuste financiamiento pendiente ministrar morena pan verde pri restar cuyo remanente agosto diciembre ascender millon pesos paz mexico recibir financiamiento estatal explicar redistribucion comenzar previsiblemente quincena julio cifra aumentar monto definitivo depender fecha partido concluir proceso acreditacion organismo electoral martes unicamente paz presentar solicitud acreditacion ietam mexico iniciar tramite distribucion recurso permanecer pendiente partido derecho prerrogativa pendiente sesion comision prerrogativas partidos asociaciones politicas
aed9d7ad8a238dc347e0,Medios,Milenio,articulo,tamaulipas posicionar entidad pais cuyo poblacion mostrar nivel satisfaccion vida acuerdo resultado encuesta nacional bienestar autorreportado enbiare difundido inegi nivel satisfaccion vida tamaulipas promedio superar coahuila ubicar durango sinaloa baja california sur completar grupo entidad nivel bienestar subjetivo habitante mujer tamaulipas destacar nivel nacional compartir sonora calificacion promedio unicamente debajo baja california sur reflejar percepcion positivo calidad vida factor social economico personal nivel nacional enbiare revelar persona ano experimentar evento negativo mes perdida ingreso desempleo rechazo laboral enfermedad accidente reportar vivir acontecimiento positivo enfermedad grave contraer matrimonio adquirir propiedad resolver conflicto personal legal encuesta encontrar poblacion sufrir situacion discriminacion ano manifestar dificu
7e2e0ce72f9003d2de98,Medios,Milenio,articulo,construccion vivienda tamaulipas presente ano estancar empresarios sector afirmar factor costo insumo baja terreno caro impactar animo inversionista ejecutar proyecto residencia situacion similar rubro industrial enfatizar banco mexico banxico capital privado destinado aprovechar condicion ofrecido desarrollar torre departamental nave industrial mes inhibir intencion explicar encuesta sector privado ubicado norte republica mexicana estacion reflejar chihuahua baja california banxico reportar caida desarrollo habitacional informe publicado banco central autonomo explicar segmento vivienda directivo informar inversion desarrollo disminuir desempeno atribuir factor observado trimestre previo menor dinamismo formal encarecimiento suelo urbano aumento costo construccion limitar demanda especialmente segmento medio residencial mencionar vivienda social mantener impulso programa federal situacion oponer rubro hogar sector popular social gobierno federal programa viviendas dell bienestar impulsar edificacion
5cc6205249df57c9a33d,Medios,Milenio,articulo,laguna carpintero atractivo turistico excelencia tampico cabo batalla silencioso atencion dominio ecosistema cocodrilos guerra cocodrilo joven alcanzar metro protagonista historia final feliz referir terminar exilio tragico significar terminar vida fauz cocodrilo alpha mayo julio ano documentar muerte cocodrilo macho menor tamano aparecer muerto dano herida raspon diverso cuerpo partido mitad encontrar recientemente autoridad ambiental oceanologo marcelo rene garcia explicar joven perder batalla rey laguna macho dominante especie dominante territorial existir posibilidad acercar demasiado nido tratar comportamiento normal cocodrilo grande dominant buscar considerar competencia especie territorial nacimiento explicar experto medio ambiente detallar ecosistema medio efervescencia importante epoca anidacion generar especimen pequeno buscar nido
