termino_interno,termino_externo,weight
hora,tamaulipas,10
recurso,tampico,9
humano,exposicion,8
hora,tampico,7
marina,academia,6
marina,militarizada,6
marina,doenitz,6
humano,bodies,6
dejar,tamaulipas,6
cuerpo,tampico,6
cuerpo,exposicion,6
continuar,tamaulipas,6
marina,nina,6
hora,temperatura,6
marina,tamaulipas,5
marina,luis,5
recurso,obra,5
invitar,tampico,5
mundo,pais,5
sitio,tampico,5
participacion,medalla,5
participacion,plata,5
clase,familia,5
humano,tampico,5
participacion,empresa,5
participacion,pedir,5
calle,arbol,5
dejar,ocurrir,5
generacion,tampico,5
marina,familia,5
marina,menor,5
continuar,tampico,4
marina,dafne,4
marina,justicia,4
marina,director,4
marina,ponce,4
cuerpo,escuela,4
mundo,experiencia,4
conocimiento,salud,4
invitar,exposicion,4
participacion,abrir,4
humano,llegar,4
hora,ciudad,4
participacion,autoridad,4
participacion,ingemar,4
cuerpo,experiencia,4
cuerpo,bodies,4
recurso,provenir,4
recurso,reciente,4
recurso,recuperacion,4
clase,tamaulipas,4
operar,ano,4
marina,pasar,4
marina,huachicol,4
marina,escuela,4
dejar,cosa,4
dejar,familia,4
marina,mexico,4
mundo,mexico,4
cuerpo,entrada,4
humano,entrada,4
continuar,temperatura,4
calle,limpieza,4
hora,kilometro,4
dejar,vivir,3
reflejar,vida,3
reflejar,desarrollo,3
invitar,espacio,3
marina,mama,3
marina,hija,3
marina,ciudad,3
marina,madero,3
recurso,inversion,3
recurso,camara,3
recurso,pendiente,3
invitar,extraordinario,3
humano,inaugurar,3
humano,muestra,3
mundo,exposicion,3
mundo,bodies,3
mundo,visitante,3
recorrer,exposicion,3
recorrer,bodies,3
recorrer,pais,3
recorrer,turismo,3
conocimiento,tampico,3
viajar,cerro,3
viajar,azul,3
dejar,persona,3
hora,registrar,3
hora,ocurrir,3
cuerpo,llegar,3
marina,secretaria,3
participacion,tampico,3
participacion,prueba,3
recorrer,tampico,3
dejar,ciento,3
dejar,falta,3
recurso,escuela,3
hora,dia,3
humano,dia,3
participacion,situacion,3
participacion,ayudar,3
participacion,investigar,3
participacion,hidrocarburo,3
mundo,tampico,3
humano,experiencia,3
dejar,justicia,3
recurso,concesion,3
recurso,estacionamiento,3
recurso,subterraneo,3
recurso,maria,3
recurso,macias,3
clase,academia,3
cuerpo,julio,3
cuerpo,martes,3
cuerpo,domingo,3
humano,julio,3
humano,domingo,3
recurso,agua,3
dejar,querer,3
dejar,deber,3
dejar,empezar,3
sentir,fallecimiento,3
dejar,dafne,3
marina,militar,3
marina,comunicacion,3
marina,investigacion,3
marina,enfrentar,3
marina,funcionar,3
marina,tren,3
cuerpo,golpear,3
marina,caso,3
marina,resultado,3
operar,medico,3
operar,soler,3
dejar,ningun,3
dejar,golpe,3
dejar,nino,3
cuerpo,familia,3
continuar,zona,3
puerto,seguir,3
puerto,vocacion,3
operar,dafne,3
dejar,chica,3
dejar,hijo,3
dejar,madre,3
marina,fiscal,3
marina,muerto,3
marina,descarrilamiento,3
cuerpo,video,3
cuerpo,ciudad,3
continuar,municipio,3
necesitar,joven,3
hora,dafne,3
mundo,vivir,3
hora,casa,3
hora,joven,3
calle,canal,3
calle,panteon,3
calle,municipal,3
calle,grande,3
calle,formar,3
calle,recorrido,3
calle,desarrollar,3
calle,viernes,3
calle,oseguera,3
marina,reforzar,3
sitio,octubre,3
continuar,comunidad,2
continuar,ciudad,2
continuar,centro,2
sitio,descubrir,2
sitio,ciudad,2
dejar,valer,2
dejar,ciudad,2
dejar,historia,2
puerto,ciudad,2
puerto,tampico,2
puerto,comercio,2
continuar,monica,2
continuar,villarreal,2
continuar,espacio,2
reflejar,artistico,2
reflejar,arte,2
invitar,experiencia,2
marina,quintos,2
marina,responsable,2
marina,jorge,2
puerto,tamaulipas,2
cuerpo,escolar,2
cuerpo,estudiante,2
cuerpo,gracias,2
cuerpo,plantel,2
necesitar,entrega,2
necesitar,cheque,2
reflejar,tampico,2
reflejar,seguir,2
reflejar,sector,2
reflejar,calidad,2
