source,target,weight
sur,tamaulipas,37
nacional,tamaulipas,23
final,tamaulipas,11
nacional,sur,11
norte,tamaulipas,11
nacional,partido,10
cerrar,tamaulipas,9
morena,tamaulipas,8
partido,tamaulipas,7
morena,partido,6
final,partido,6
norte,sur,6
empresario,sur,5
empresario,tamaulipas,5
morena,nacional,5
civil,tamaulipas,5
civil,nacional,5
junio,mayo,5
final,nacional,4
medida,nacional,4
empresario,nacional,4
superar,tamaulipas,4
electoral,nacional,4
electoral,partido,4
civil,litro,4
anunciar,tamaulipas,4
empresario,mayo,4
nacional,superar,3
civil,sur,3
electoral,tamaulipas,3
electoral,morena,3
destacar,tamaulipas,3
partido,sur,3
cerrar,sur,3
anunciar,sur,3
anunciar,cerrar,3
anunciar,mensaje,3
final,sur,3
junio,tamaulipas,3
medida,tamaulipas,2
morena,superar,2
mensaje,morena,2
partido,superar,2
mensaje,partido,2
final,mensaje,2
superar,sur,2
destacar,superar,2
destacar,sur,2
destacar,nacional,2
cerrar,nacional,2
litro,sur,2
litro,norte,2
civil,norte,2
litro,nacional,2
litro,medida,2
cerrar,norte,2
mensaje,tamaulipas,2
junio,morena,2
junio,norte,2
mayo,norte,2
civil,medida,2
mayo,tamaulipas,2
cerrar,mayo,2
empresario,medida,1
medida,sur,1
mensaje,superar,1
final,morena,1
anunciar,partido,1
anunciar,final,1
electoral,final,1
anunciar,nacional,1
anunciar,electoral,1
civil,empresario,1
final,mayo,1
mayo,partido,1
cerrar,civil,1
nacional,norte,1
cerrar,destacar,1
empresario,partido,1
empresario,mensaje,1
destacar,empresario,1
destacar,mensaje,1
cerrar,medida,1
cerrar,litro,1
mensaje,nacional,1
cerrar,mensaje,1
mensaje,sur,1
destacar,final,1
final,superar,1
mayo,morena,1
morena,norte,1
junio,mensaje,1
anunciar,junio,1
cerrar,morena,1
empresario,junio,1
cerrar,junio,1
anunciar,mayo,1
anunciar,norte,1
junio,sur,1
junio,partido,1
