de_tema,a_tema,termino_interno,termino_externo,weight
0,1,camara,contar,4
0,1,hijo,vivir,3
0,1,nino,tampicotecuida,3
0,2,nino,tampico,8
0,2,nina,tampico,6
0,2,pais,tampico,5
0,3,derecho,mexico,3
0,3,pais,mexico,3
0,3,pais,cuyo,2
0,4,pais,nacional,5
0,4,pais,tamaulipas,4
0,4,camara,nacional,4
0,5,pais,visitante,3
0,5,pais,formar,2
0,6,investigar,ruffo,5
0,6,camara,industria,4
0,6,investigar,empresa,4
0,7,hijo,pasar,8
0,7,pais,justicia,6
0,7,investigar,justicia,6
0,8,camara,zona,3
0,8,pais,politico,3
0,8,delegacion,zona,3
0,9,nina,marina,6
0,9,pais,mundo,5
0,9,cosa,dejar,4
0,10,nino,menor,5
0,10,nina,madre,5
0,10,nino,militar,4
0,11,nina,ano,5
0,11,nino,ano,5
0,11,pais,ano,3
0,12,pais,recibir,4
0,12,camara,pedir,4
0,12,nina,militarizado,3
0,13,mujer,hombre,5
0,13,investigar,deber,5
0,13,hijo,deber,5
0,14,pais,millon,6
0,14,camara,proyecto,4
0,14,investigar,federal,3
0,15,nina,caso,5
0,15,nino,familia,4
0,15,nina,familia,4
0,16,nina,servicio,3
0,17,muerto,persona,4
0,17,camara,publico,4
0,17,nina,inmediato,4
0,18,nina,seguir,5
0,20,investigar,escuela,9
0,20,nina,escuela,6
0,20,hijo,escuela,6
0,21,nino,vacacion,4
0,21,camara,entregar,4
0,21,hijo,plantel,3
0,22,hijo,llamado,3
0,23,pais,exposicion,5
0,23,pais,bodies,3
0,23,hijo,dia,3
0,24,muerto,muerte,3
0,24,investigar,muerte,3
0,24,mujer,academia,3
0,25,cosa,quedar,3
0,25,hijo,casa,3
1,0,contar,camara,4
1,0,vivir,hijo,3
1,0,tampicotecuida,nino,3
1,2,experiencia,tampico,11
1,2,vivir,tampico,9
1,2,unico,tampico,9
1,3,historia,mexico,3
1,3,contar,detener,3
1,3,vivir,mexico,2
1,4,contar,tamaulipas,4
1,4,social,sur,3
1,4,contar,sur,3
1,5,experiencia,visitante,3
1,5,privado,desarrollar,3
