tema_id,sub_id,comunidad_cod,n_palabras,n_aristas,densidad,grado_medio,grado_max,asortatividad_peso,color
0,1,1,3,3,1.0,2.0,2,-0.5,#1f77b4
0,2,2,4,2,0.3333,1.0,1,,#1f77b4
0,3,3,3,2,0.6667,1.33,2,-0.961,#1f77b4
0,4,4,3,2,0.6667,1.33,2,-1.0,#1f77b4
0,-1,9999,2,1,1.0,1.0,1,,#1f77b4
1,0,10000,5,6,0.6,2.4,3,-0.001,#ff7f0e
1,1,10001,3,3,1.0,2.0,2,-0.5,#ff7f0e
1,2,10002,4,2,0.3333,1.0,2,-1.0,#ff7f0e
1,3,10003,3,3,1.0,2.0,2,-0.5,#ff7f0e
2,0,20000,6,6,0.4,2.0,4,-0.682,#2ca02c
2,1,20001,3,2,0.6667,1.33,2,-0.818,#2ca02c
2,2,20002,3,3,1.0,2.0,2,-0.5,#2ca02c
2,-1,29999,4,3,0.5,1.5,2,-0.464,#2ca02c
3,0,30000,4,4,0.6667,2.0,3,-0.596,#d62728
3,1,30001,4,4,0.6667,2.0,3,-0.713,#d62728
3,2,30002,4,4,0.6667,2.0,3,-0.705,#d62728
3,3,30003,4,4,0.6667,2.0,3,-0.597,#d62728
3,4,30004,3,2,0.6667,1.33,2,-0.818,#d62728
4,0,40000,3,3,1.0,2.0,2,-0.5,#9467bd
4,1,40001,4,4,0.6667,2.0,3,-0.677,#9467bd
4,2,40002,4,3,0.5,1.5,2,-0.5,#9467bd
4,3,40003,3,2,0.6667,1.33,2,-0.976,#9467bd
4,4,40004,3,2,0.6667,1.33,2,-1.0,#9467bd
4,-1,49999,2,0,0.0,0.0,0,,#9467bd
5,0,50000,7,12,0.5714,3.43,5,-0.434,#8c564b
5,1,50001,5,5,0.5,2.0,4,-0.684,#8c564b
5,2,50002,4,2,0.3333,1.0,2,-0.889,#8c564b
5,3,50003,2,1,1.0,1.0,1,,#8c564b
6,0,60000,8,21,0.75,5.25,7,-0.377,#e377c2
6,1,60001,8,12,0.4286,3.0,5,-0.164,#e377c2
