source,target,weight,tipo,tema_source,tema_target,sub_source,sub_target
mexico,paz,8.0,intra_sub,3,3,1,1
mexico,ciento,8.0,intra_cluster,3,3,1,2
mexico,pan,7.0,intra_sub,3,3,1,1
mexico,noticia,6.0,intra_sub,3,3,1,1
mexico,pesos,5.0,intra_cluster,3,3,1,4
mexico,senalar,5.0,intra_cluster,3,3,1,3
mexico,promedio,5.0,intra_cluster,3,3,1,2
mexico,perdida,5.0,intra_cluster,3,3,1,2
mexico,costo,4.0,intra_cluster,3,3,1,4
mexico,tamaulipas,6.0,extra,3,4,1,0
mexico,ano,6.0,extra,3,11,1,4
mexico,partido,5.0,extra,3,4,1,1
mexico,empresa,4.0,extra,3,6,1,1
mexico,marina,4.0,extra,3,9,1,1
mexico,mundo,4.0,extra,3,9,1,0
paz,pesos,4.0,intra_cluster,3,3,1,4
paz,pan,3.0,intra_cluster,3,3,1,1
paz,detener,3.0,intra_cluster,3,3,1,0
paz,directamente,3.0,intra_cluster,3,3,1,2
paz,tampico,5.0,extra,3,2,1,0
ciento,promedio,8.0,intra_sub,3,3,2,2
ciento,senalar,4.0,intra_cluster,3,3,2,3
ciento,directamente,4.0,intra_cluster,3,3,2,2
ciento,perdida,4.0,intra_cluster,3,3,2,2
ciento,pesos,3.0,intra_cluster,3,3,2,4
ciento,superar,4.0,extra,3,4,2,-1
ciento,proyecto,4.0,extra,3,14,2,1
ciento,partido,4.0,extra,3,4,2,1
promedio,acuerdo,4.0,intra_cluster,3,3,2,3
promedio,perdida,3.0,intra_cluster,3,3,2,2
promedio,senalar,3.0,intra_cluster,3,3,2,3
promedio,nivel,4.0,extra,3,22,2,0
costo,pesos,8.0,intra_sub,3,3,4,4
costo,senalar,3.0,intra_cluster,3,3,4,3
costo,persona,5.0,extra,3,17,4,-1
pesos,cuyo,4.0,intra_cluster,3,3,4,4
pesos,pan,3.0,intra_cluster,3,3,4,1
pesos,acuerdo,3.0,intra_cluster,3,3,4,3
