node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,ambito_estrategico,postura,postura_etiqueta,postura_score,evidencia_postura,mensajes_con_postura,coincidencias_positivas,coincidencias_negativas,peso_coincidente
T00,tema,México y asuntos nacionales · nina,Delitos,0.8049,Delitos,negativa,-0.6,risk,sin_postura,Sin postura,0.0,0.0,0,1.0,4.0,18.0
T01,tema,"Identidad local, cultura y entretenimiento · unico",,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0.0,0.0,0.0
T02,tema,Gestión municipal y servicios públicos · julio,Gobierno municipal,0.82,Gobierno municipal | Prevencion,negativa,-1.0,risk,apoyo_defensa,Apoyo/defensa,0.3333,6.0,6,0.0,1.0,89.0
T03,tema,México y asuntos nacionales · pesos,Delitos,0.8986,Delitos | Obras,mixta,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,1.0,1.0,3.0
T04,tema,Gobierno y disputa política · tamaulipas,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0.0,0.0,0.0
T05,tema,Gestión municipal y servicios públicos · desarrollar,Obras,0.9944,Obras | Gobierno municipal | Mónica Villarreal,positiva,1.0,consolidation,apoyo_defensa,Apoyo/defensa,1.0,1.0,1,1.0,0.0,7.0
T07,tema,"Seguridad, violencia y justicia · hija",Morena,0.9435,Morena | Delitos,mixta,0.1152,opportunity,sin_postura,Sin postura,0.0,0.0,0,92.0,73.0,169.0
T09,tema,México y asuntos nacionales · cuerpo,,0.0,,negativa,-0.2,risk,sin_postura,Sin postura,0.0,0.0,0,2.0,3.0,5.0
T10,tema,"Bienestar, salud y educación · violencia",Delitos,1.0,Delitos,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0.0,3.0,5.0
T11,tema,"Identidad local, cultura y entretenimiento · economico",,0.0,,negativa,-0.2727,risk,apoyo_defensa,Apoyo/defensa,1.0,4.0,3,8.0,14.0,22.0
T12,tema,"Ciudad, dafne, antonio",,0.0,,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0.0,1.0,1.0
T13,tema,"Agua, territorio y medio ambiente · pendiente",Gobierno municipal,0.95,Gobierno municipal | Obras,positiva,0.5385,consolidation,sin_postura,Sin postura,0.0,0.0,0,10.0,3.0,14.0
T14,tema,México y asuntos nacionales · grupo,Obras,1.0,Obras,neutral,0.0,opportunity,apoyo_defensa,Apoyo/defensa,1.0,1.0,1,0.0,0.0,2.0
T15,tema,"Seguridad, violencia y justicia · caso",Prevencion,0.7719,Prevencion | Corrupcion,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0.0,4.0,5.0
T16,tema,Gestión municipal y servicios públicos · prevencion,Mónica Villarreal,1.0,Mónica Villarreal | Americo | Prevencion | Morena,positiva,1.0,consolidation,apoyo_defensa,Apoyo/defensa,1.0,5.0,4,9.0,0.0,43.0
T17,tema,Gestión municipal y servicios públicos · investigacion,Mónica Villarreal,0.9,Mónica Villarreal | Delitos,mixta,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,3.0,3.0,9.0
T18,tema,Apoyo y aprobación pública · situacion,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0.0,0.0,0.0
T20,tema,"Bienestar, salud y educación · metro",Mónica Villarreal,0.9,Mónica Villarreal | Americo,positiva,0.4545,consolidation,apoyo_defensa,Apoyo/defensa,1.0,3.0,2,8.0,3.0,16.0
T21,tema,"Escolar, realidad, convertir",Prevencion,0.9181,Prevencion | Corrupcion,positiva,1.0,consolidation,apoyo_defensa,Apoyo/defensa,1.0,2.0,2,7.0,0.0,9.0
