usuario,n_msgs,ejemplo_texto
Facebook::Armando Chavez,1,
Facebook::Iker Jassiel,1,
Facebook::Lesnamo Narvaez,1,
Facebook::Pedro Sierra,1,
Facebook::Rafael Medina de Gandiaga,1,
Facebook::Raulinho Roman,1,
Instagram::arturo_r_clynes_mogica,1,
Instagram::kukis.toxica,4,
Instagram::luisloaiza21,1,
Instagram::lupitamaria_sanchez,2,
Instagram::mariodallas1862,1,
YouTube::@AlejandraRamirez-f9i,1,
YouTube::@Alejandro-o6v2n,1,
YouTube::@AlexVillal70,1,
YouTube::@AlexanderPereira-y4f,1,
YouTube::@AnaIsabelEsparzaMarín,1,
YouTube::@AngelGomez-kz9su,1,
YouTube::@AntonioFlores-u8d2z,1,
YouTube::@ArturoRosales-d2y,1,
YouTube::@ArturoSolísTorres,1,
YouTube::@AshleyAstrid1,1,
YouTube::@Barret777-k6d,1,
YouTube::@BodegacrysaHuatabampo-i7g,1,
YouTube::@CesarLeal-x1e,1,
YouTube::@Deceivedword-u4z,1,
YouTube::@Dollymollymx,1,
YouTube::@EmmanuelCatalán-t8p3v,1,
YouTube::@IsraelHernández-f4n,1,
YouTube::@JAIRHERNANDEZ-i5k1b,2,
YouTube::@JAMESBOND-ts2gw,1,
YouTube::@JefeDejefes-f8b,2,
YouTube::@LAURACECILIANAFATE,1,
YouTube::@Libelula08345,1,
YouTube::@LilianasaraiCalderonperez,1,
YouTube::@Lordciro2124,1,
YouTube::@LuisHerrera-b3h,1,
YouTube::@LupitaLazaro-n8l,1,
YouTube::@MARIOGA-w8r,1,
YouTube::@MariaConcepcionCampuzano,1,
YouTube::@MariaGonzales777-z3w,1,
YouTube::@MariadelosangelesMartu,1,
YouTube::@NIKKYNAY777,1,
YouTube::@Octubre-u2x,1,
YouTube::@RogelioRosales-v4x,1,
YouTube::@RubenContreras-m8l,1,
YouTube::@SamuelPerez-ct3sr,1,
YouTube::@SantaLuna-r8z,1,
YouTube::@SilviaSedeño-p2p,1,
YouTube::@Simongarcia-v8t,1,
YouTube::@TeresaGonzalezRomo,1,
YouTube::@Tikitikyjwrry-crist,1,
YouTube::@Tj0708,1,
YouTube::@VivianaLopez-nw7yq,1,
YouTube::@Xiomara-b7h4g,2,
YouTube::@YoselinMarianEnsigniaHernandez,1,
YouTube::@YovaniCortes-e3r,1,
YouTube::@abiare,1,
YouTube::@alprado8533,1,
YouTube::@anapeca2930,1,
YouTube::@anatopete6591,1,
YouTube::@andresdz6548,1,
YouTube::@angelrosas2556,1,
YouTube::@aracelivarguez9407,1,
YouTube::@ark253,1,
YouTube::@arturomares7007,1,
YouTube::@brayantoledo6112,1,
YouTube::@carlosaguiar3129,1,
YouTube::@dafneanelyaris3519,1,
YouTube::@danielcasangoespinosa160,1,
YouTube::@elenamonteagudo9855,1,
YouTube::@emilomoronescasiano495,1,
YouTube::@estefanyanayuscangasalomon6524,1,
YouTube::@evelyngranadosles,1,
YouTube::@exceldrop3386,1,
YouTube::@ez1Z5706,1,
YouTube::@gadielmata1804,1,
YouTube::@gatitogloton9190,1,
YouTube::@griseldaquezada7685,1,
YouTube::@helobsidiana5138,1,
YouTube::@irmareyes2608,1,
YouTube::@jessieflores2153,1,
YouTube::@josemarin1819,1,
YouTube::@juancaz1z,1,
YouTube::@juandiaz2155,1,
YouTube::@kovoz7918,1,
YouTube::@liznunez9364,2,
YouTube::@luisfavela5709,1,
YouTube::@marcopolozuniga7298,1,
YouTube::@maricruzquijas,1,
YouTube::@marinaperez8785,1,
YouTube::@marioalbertolopezsegura9555,1,
YouTube::@marita6697,1,
YouTube::@marleneherediahidalgo8847,1,
YouTube::@marthaflores3364,1,
YouTube::@mauriciovaldes9007,1,
YouTube::@orlandohernansacacajancko4624,1,
YouTube::@oscarneri2647,1,
YouTube::@paolarodas7417,1,
YouTube::@rafaraflex2305,2,
YouTube::@researchera1654,1,
YouTube::@rocioa6081,1,
YouTube::@rogeliolopez5651,1,
YouTube::@señor-minuto,1,
YouTube::@storres1368,1,
YouTube::@superspeeddraw,1,
YouTube::@thefrankkogames2868,1,
YouTube::@valentinaanselmocuellar354,1,
YouTube::@valeriabecerra1682,1,
YouTube::@weirdscience-s3l,1,
YouTube::@yolandamurillo4369,1,
