source,target,weight
construir,presidenta,19
politico,presidenta,15
mano,presidenta,12
politico,presidente,10
padre,senora,9
medico,presidenta,9
presidenta,servir,9
padre,presidenta,8
depender,presidenta,8
grande,presidenta,8
defender,presidenta,8
funcionar,presidenta,8
construir,politico,8
grande,politico,8
medico,permiso,8
presidenta,senora,7
construir,necesitar,7
padre,semana,7
presidente,servir,7
defender,presidente,7
necesitar,presidenta,6
presidenta,presidente,6
presidenta,semana,6
senora,verguenza,6
ejercito,presidenta,6
importar,padre,6
construir,servir,6
doctor,presion,6
necesitar,servir,6
personal,presidenta,6
permiso,senora,6
mano,politico,6
mano,senora,6
grande,presidente,6
alumna,padre,6
mano,padre,6
construir,ejercito,5
construir,padre,5
corresponder,presidenta,5
construir,dano,5
particular,presidenta,5
particular,presidente,5
presidente,tortura,5
basura,presidente,5
senora,viejo,5
particular,permiso,5
personal,presidente,5
dueno,presidenta,5
presidenta,tortura,5
importar,presidenta,5
ejercito,politico,5
mano,presidente,5
medico,personal,5
pagar,servir,5
doctor,servir,5
defender,verguenza,5
defender,faltar,5
defender,politico,5
defender,necesitar,5
padre,presidentar,5
basura,defender,5
corresponder,politico,5
grande,mano,5
presidente,senora,5
personal,requerir,5
padre,servir,5
ayudar,mano,5
faltar,presidenta,5
politico,vaca,5
medico,requerir,5
necesitar,requerir,5
depender,senora,4
construir,semana,4
necesitar,semana,4
construir,presidente,4
andar,presidente,4
diputado,presidente,4
presidenta,valer,4
basura,presidenta,4
andar,necesitar,4
ayudar,necesitar,4
verguenza,viejo,4
pinche,senora,4
permiso,presidenta,4
corresponder,permiso,4
basura,mano,4
grande,personal,4
medico,politico,4
construir,personal,4
nacion,politico,4
necesitar,presion,4
presidente,totalmente,4
faltar,verguenza,4
defender,manejar,4
construir,defender,4
senora,tortura,4
guardar,mano,4
mano,servir,4
faltar,politico,4
diputado,politico,4
necesitar,padre,4
ejercito,presidente,4
periodista,servir,4
conocimiento,presidenta,4
necesitar,personal,4
clima,personal,4
cdmadero,semana,4
ejercito,faltar,3
faltar,padre,3
corresponder,padre,3
corresponder,senora,3
presidente,semana,3
tortura,verguenza,3
dano,particular,3
dano,tortura,3
presidente,valer,3
ayudar,viejo,3
valer,viejo,3
senora,valer,3
presidenta,viejo,3
complejo,semana,3
ganancia,presidenta,3
importar,valer,3
depender,politico,3
depender,valer,3
doctor,presidenta,3
doctor,particular,3
permiso,presidente,3
importar,presidente,3
politico,servir,3
pagar,politico,3
pagar,presidenta,3
presion,servir,3
presion,valer,3
defender,pagar,3
construir,dueno,3
inmediatamente,presidenta,3
presidenta,presidentar,3
padre,totalmente,3
andar,padre,3
permiso,tortura,3
depender,tortura,3
depender,mano,3
mano,pagar,3
politico,presion,3
funcionar,politico,3
faltar,pinche,3
politico,senora,3
depender,verguenza,3
presidente,verguenza,3
construir,importar,3
complejo,presidenta,3
complejo,medico,3
construir,grande,3
palabra,presidente,3
doctor,medico,3
padre,palabra,3
medico,viejo,3
padre,peligro,3
andar,mano,3
ayudar,faltar,3
faltar,semana,3
servir,vaca,3
presidente,vaca,3
ejercito,periodista,3
construir,periodista,3
conocimiento,servir,3
politico,totalmente,3
faltar,guardar,3
guardar,padre,3
politico,semana,3
dano,politico,3
faltar,vaca,3
asta,presidente,3
diputado,palabra,3
necesitar,presidente,3
faltar,senora,3
alumna,ayudar,3
presidenta,requerir,3
requerir,servir,3
medico,necesitar,3
clima,necesitar,3
clima,construir,3
construir,depender,2
depender,faltar,2
corresponder,faltar,2
dano,semana,2
medico,semana,2
particular,verguenza,2
dano,presidente,2
tortura,valer,2
andar,valer,2
basura,corresponder,2
andar,corresponder,2
necesitar,viejo,2
valer,verguenza,2
presidentar,valer,2
dedicar,presidenta,2
pinche,presidenta,2
pinche,viejo,2
presidenta,verguenza,2
funcionar,mano,2
defender,mano,2
ganancia,importar,2
andar,importar,2
palabra,valer,2
palabra,politico,2
politico,valer,2
ayudar,valer,2
ayudar,importar,2
ejercito,importar,2
doctor,padre,2
grande,medico,2
personal,politico,2
particular,servir,2
personal,servir,2
particular,personal,2
doctor,personal,2
doctor,necesitar,2
doctor,valer,2
personal,valer,2
defender,senora,2
pagar,verguenza,2
faltar,pagar,2
manejar,presidente,2
defender,dueno,2
dueno,necesitar,2
padre,permiso,2
andar,senora,2
asta,presidenta,2
asta,mano,2
mano,peligro,2
peligro,servir,2
pagar,peligro,2
dueno,pagar,2
dueno,peligro,2
conocimiento,dueno,2
dueno,manejar,2
manejar,presidenta,2
presidenta,presion,2
corresponder,mano,2
ejercito,mano,2
faltar,importar,2
pinche,politico,2
mano,pinche,2
importar,mano,2
importar,senora,2
grande,senora,2
grande,tortura,2
dano,grande,2
basura,verguenza,2
ejercito,medico,2
dedicar,defender,2
defender,palabra,2
ejercito,servir,2
importar,servir,2
dano,dueno,2
diputado,presidenta,2
politico,publicar,2
depender,medico,2
inmediatamente,padre,2
inmediatamente,pagar,2
padre,pagar,2
andar,grande,2
ayudar,basura,2
faltar,mano,2
raro,vaca,2
servir,viejo,2
grande,padre,2
conocimiento,padre,2
grande,vaca,2
conocimiento,construir,2
conocimiento,presidente,2
ejercito,ganancia,2
conocimiento,pinche,2
servir,totalmente,2
asta,raro,2
contratar,politico,2
asta,politico,2
periodista,politico,2
conocimiento,semana,2
contratar,faltar,2
padre,politico,2
dano,padre,2
mano,permiso,2
medico,senora,2
grande,semana,2
pagar,semana,2
padre,personal,2
contratar,personal,2
contratar,necesitar,2
diputado,totalmente,2
ayudar,defender,2
guardar,vaca,2
defender,vaca,2
asta,servir,2
defender,periodista,2
dueno,periodista,2
necesitar,palabra,2
palabra,verguenza,2
padre,tortura,2
alumna,viejo,2
alumna,nacion,2
padre,verguenza,2
personal,senora,2
nacion,presidente,2
faltar,presidente,2
particular,senora,2
necesitar,politico,2
andar,defender,2
periodista,senora,2
publicar,senora,2
palabra,presidenta,2
mano,medico,2
importar,necesitar,2
depender,importar,2
depender,requerir,2
dueno,presidente,2
dueno,vaca,2
faltar,medico,2
contratar,medico,2
depender,ejercito,1
construir,faltar,1
depender,padre,1
corresponder,depender,1
construir,senora,1
dano,presidenta,1
dano,necesitar,1
construir,medico,1
medico,padre,1
dano,verguenza,1
particular,tortura,1
dano,valer,1
basura,tortura,1
basura,valer,1
andar,basura,1
andar,presidenta,1
corresponder,necesitar,1
corresponder,grande,1
ayudar,corresponder,1
grande,necesitar,1
ayudar,grande,1
grande,viejo,1
grande,verguenza,1
ayudar,verguenza,1
ayudar,presidentar,1
presidentar,viejo,1
presidentar,verguenza,1
dedicar,verguenza,1
dedicar,presidentar,1
presidentar,senora,1
dedicar,valer,1
dedicar,senora,1
dedicar,pinche,1
pinche,verguenza,1
corresponder,verguenza,1
corresponder,particular,1
ganancia,semana,1
complejo,ganancia,1
defender,ejercito,1
dueno,mano,1
dueno,funcionar,1
defender,funcionar,1
defender,tortura,1
importar,tortura,1
ganancia,tortura,1
andar,tortura,1
andar,ganancia,1
ganancia,valer,1
andar,palabra,1
importar,palabra,1
importar,presidentar,1
palabra,presidentar,1
depender,palabra,1
ayudar,depender,1
ayudar,palabra,1
ejercito,palabra,1
ejercito,valer,1
ayudar,ejercito,1
ayudar,presidenta,1
padre,particular,1
padre,publicar,1
doctor,publicar,1
doctor,permiso,1
particular,publicar,1
permiso,publicar,1
presidente,publicar,1
importar,publicar,1
importar,permiso,1
corresponder,presidente,1
corresponder,importar,1
grande,quintana,1
medico,quintana,1
personal,quintana,1
grande,nacion,1
medico,nacion,1
nacion,personal,1
construir,nacion,1
nacion,servir,1
construir,pagar,1
pagar,presidente,1
particular,presion,1
personal,presion,1
pagar,viejo,1
faltar,viejo,1
dedicar,politico,1
dedicar,presidente,1
dedicar,manejar,1
manejar,politico,1
manejar,necesitar,1
funcionar,inmediatamente,1
funcionar,presidentar,1
funcionar,padre,1
presidentar,totalmente,1
andar,presidentar,1
andar,totalmente,1
corresponder,totalmente,1
andar,permiso,1
asta,tortura,1
asta,depender,1
guardar,presidenta,1
guardar,servir,1
guardar,pagar,1
conocimiento,peligro,1
conocimiento,pagar,1
manejar,pagar,1
basura,dueno,1
conocimiento,manejar,1
basura,conocimiento,1
conocimiento,defender,1
basura,manejar,1
basura,presion,1
defender,presion,1
funcionar,presion,1
mano,presion,1
corresponder,funcionar,1
ejercito,funcionar,1
corresponder,ejercito,1
corresponder,pagar,1
ejercito,pagar,1
ejercito,pinche,1
pagar,pinche,1
importar,pagar,1
importar,pinche,1
importar,politico,1
dano,permiso,1
dano,senora,1
palabra,requerir,1
palabra,personal,1
complejo,ejercito,1
depender,grande,1
complejo,particular,1
dedicar,viejo,1
palabra,viejo,1
defender,viejo,1
dedicar,palabra,1
ejercito,padre,1
senora,servir,1
clima,semana,1
presidenta,publicar,1
grande,palabra,1
alumna,palabra,1
depender,viejo,1
corresponder,peligro,1
manejar,senora,1
alumna,inmediatamente,1
alumna,pagar,1
alumna,necesitar,1
necesitar,pagar,1
pagar,presion,1
padre,presion,1
andar,presion,1
andar,ayudar,1
basura,faltar,1
basura,pinche,1
defender,pinche,1
pinche,semana,1
defender,semana,1
defender,raro,1
faltar,raro,1
raro,semana,1
ayudar,semana,1
semana,valer,1
ayudar,raro,1
raro,valer,1
ayudar,vaca,1
ayudar,manejar,1
vaca,valer,1
manejar,valer,1
manejar,vaca,1
vaca,viejo,1
manejar,viejo,1
manejar,servir,1
defender,inmediatamente,1
complejo,inmediatamente,1
complejo,defender,1
complejo,padre,1
complejo,permiso,1
grande,permiso,1
conocimiento,permiso,1
construir,permiso,1
conocimiento,grande,1
conocimiento,vaca,1
construir,vaca,1
ejercito,vaca,1
periodista,presidente,1
construir,ganancia,1
ganancia,presidente,1
conocimiento,ganancia,1
ganancia,totalmente,1
conocimiento,totalmente,1
pinche,totalmente,1
pinche,servir,1
conocimiento,politico,1
conocimiento,personal,1
presidenta,vaca,1
grande,servir,1
personal,vaca,1
personal,raro,1
contratar,vaca,1
grande,raro,1
contratar,grande,1
ganancia,grande,1
contratar,raro,1
ganancia,raro,1
contratar,ganancia,1
asta,contratar,1
asta,ganancia,1
ganancia,politico,1
ganancia,periodista,1
asta,periodista,1
asta,ejercito,1
guardar,semana,1
presion,semana,1
conocimiento,presion,1
contratar,semana,1
padre,presidente,1
padre,valer,1
construir,valer,1
pagar,permiso,1
doctor,semana,1
doctor,grande,1
complejo,pagar,1
asta,construir,1
personal,semana,1
contratar,padre,1
depender,personal,1
ayudar,presidente,1
funcionar,totalmente,1
funcionar,nacion,1
nacion,totalmente,1
presidenta,totalmente,1
nacion,presidenta,1
ejercito,nacion,1
ganancia,nacion,1
ejercito,guardar,1
faltar,ganancia,1
ganancia,guardar,1
ganancia,vaca,1
defender,guardar,1
mano,vaca,1
construir,mano,1
construir,peligro,1
peligro,presidente,1
dueno,servir,1
asta,peligro,1
peligro,raro,1
asta,dueno,1
asta,manejar,1
dueno,raro,1
manejar,raro,1
presidenta,raro,1
particular,raro,1
manejar,particular,1
defender,particular,1
dedicar,particular,1
dueno,particular,1
dedicar,dueno,1
dedicar,periodista,1
construir,dedicar,1
necesitar,periodista,1
construir,totalmente,1
necesitar,totalmente,1
defender,totalmente,1
palabra,totalmente,1
totalmente,verguenza,1
diputado,verguenza,1
diputado,necesitar,1
corresponder,viejo,1
basura,viejo,1
periodista,vaca,1
alumna,tortura,1
alumna,importar,1
guardar,importar,1
ayudar,guardar,1
guardar,senora,1
alumna,faltar,1
ayudar,senora,1
alumna,senora,1
nacion,senora,1
nacion,viejo,1
ayudar,nacion,1
nacion,padre,1
ayudar,padre,1
mano,verguenza,1
mano,personal,1
permiso,personal,1
personal,viejo,1
presidente,viejo,1
nacion,tortura,1
nacion,pagar,1
senora,vaca,1
faltar,particular,1
particular,politico,1
andar,politico,1
andar,particular,1
necesitar,particular,1
faltar,grande,1
construir,viejo,1
diputado,guardar,1
guardar,presidente,1
publicar,valer,1
pinche,valer,1
padre,pinche,1
pinche,raro,1
padre,viejo,1
raro,viejo,1
padre,raro,1
raro,tortura,1
mano,semana,1
depender,funcionar,1
funcionar,palabra,1
diputado,funcionar,1
mano,viejo,1
ejercito,viejo,1
peligro,semana,1
inmediatamente,peligro,1
inmediatamente,semana,1
conocimiento,inmediatamente,1
depender,necesitar,1
importar,requerir,1
requerir,semana,1
dueno,padre,1
ayudar,servir,1
corresponder,personal,1
grande,periodista,1
dueno,grande,1
periodista,semana,1
periodista,presidenta,1
dueno,semana,1
dueno,faltar,1
conocimiento,faltar,1
conocimiento,senora,1
conocimiento,verguenza,1
conocimiento,necesitar,1
necesitar,senora,1
funcionar,senora,1
necesitar,verguenza,1
funcionar,verguenza,1
requerir,verguenza,1
funcionar,necesitar,1
funcionar,requerir,1
funcionar,presidente,1
funcionar,servir,1
presidente,requerir,1
requerir,totalmente,1
asta,totalmente,1
grande,totalmente,1
asta,grande,1
faltar,personal,1
faltar,requerir,1
contratar,requerir,1
mano,presidentar,1
presidentar,servir,1
quintana,valer,1
andar,cdmadero,1
cdmadero,mano,1
cdmadero,padre,1
dedicar,mano,1
mano,necesitar,1
ayudar,dedicar,1
dedicar,necesitar,1
dedicar,importar,1
depender,particular,1
construir,palabra,1
construir,corresponder,1
inmediatamente,publicar,1
clima,inmediatamente,1
inmediatamente,necesitar,1
clima,publicar,1
necesitar,publicar,1
construir,publicar,1
construir,inmediatamente,1
inmediatamente,personal,1
inmediatamente,politico,1
grande,inmediatamente,1
diputado,faltar,1
cdmadero,faltar,1
cdmadero,diputado,1
alumna,semana,1
permiso,politico,1
ejercito,senora,1
cdmadero,personal,1
