,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25
T0,0,432,75,55,49,26,64,154,50,86,774,297,217,94,146,53,113,43,325,72,203,33,344,576,77,73
T1,548,0,91,12,10,188,0,0,0,38,495,89,56,29,70,0,62,43,84,31,31,54,62,146,828,431
T2,199,193,0,34,9,138,33,25,28,50,219,35,80,18,63,80,48,13,69,32,49,49,42,97,67,105
T3,317,100,52,0,0,35,0,10,6,29,147,23,43,22,86,0,33,17,27,15,18,56,99,134,62,61
T4,231,55,40,0,0,77,5,9,32,47,264,14,59,27,10,18,32,29,12,34,28,17,18,109,73,40
T5,339,310,144,8,22,0,0,22,0,85,116,7,59,0,105,10,34,27,7,24,0,51,99,56,82,97
T6,234,87,47,0,5,5,0,36,5,44,222,16,59,20,43,24,72,41,80,11,21,10,26,130,41,21
T7,332,38,45,10,5,27,36,0,72,17,177,6,6,33,65,0,16,65,62,14,70,12,41,194,39,17
T8,233,51,56,6,32,25,5,77,0,65,195,73,72,22,36,6,58,28,103,19,53,19,5,54,26,40
T9,372,95,62,7,35,91,19,0,33,0,167,37,50,58,70,54,24,37,39,33,105,23,37,112,175,101
T10,829,459,86,52,66,82,118,64,101,87,0,86,176,22,102,30,163,124,186,56,74,102,58,246,313,213
T11,609,143,64,18,6,12,6,6,63,57,183,0,27,34,56,28,41,10,69,31,24,11,63,139,55,19
T12,343,125,86,38,49,59,39,6,57,56,267,22,0,16,109,20,127,24,62,20,8,131,39,119,51,97
T13,440,122,18,12,23,0,0,28,12,58,146,34,16,0,46,6,59,29,42,29,138,14,37,230,40,13
T14,287,131,63,61,0,123,13,59,25,76,180,56,109,41,0,21,96,43,23,20,12,134,127,175,28,37
T15,255,15,106,4,18,26,24,19,10,78,90,33,39,15,50,0,20,4,46,16,27,10,34,123,60,47
T16,271,165,48,33,16,34,51,16,33,24,229,13,103,54,78,0,0,45,54,7,27,48,31,173,104,64
T17,198,141,24,12,25,49,36,65,28,53,226,10,35,34,54,0,50,0,46,12,21,0,16,118,50,83
T18,541,175,69,16,7,7,54,51,34,33,246,57,56,31,17,20,42,14,0,51,133,7,22,154,224,103
T19,371,81,48,15,34,51,11,14,19,97,158,31,30,39,20,11,12,12,61,0,49,22,23,86,57,23
T20,511,73,55,13,18,0,6,55,48,105,138,14,8,138,12,12,27,6,139,39,0,13,30,211,18,48
T21,182,184,54,51,17,89,5,7,19,23,174,6,161,14,149,0,65,0,31,17,13,0,84,53,123,146
T22,470,123,57,79,13,146,17,31,0,42,167,63,39,42,127,11,42,11,28,13,35,84,0,143,20,70
T23,971,155,48,60,21,12,28,80,0,63,274,40,30,101,104,39,64,28,114,37,96,13,93,0,30,29
T24,162,885,35,9,46,8,10,0,8,127,365,31,44,0,8,15,57,0,165,29,0,82,0,38,0,556
T25,140,501,99,20,8,79,0,0,29,87,272,13,78,0,37,0,44,38,90,18,24,84,46,37,615,0
