de_tema,a_tema,termino_interno,termino_externo,weight
0,1,villarreal,americo,113
0,1,villarreal,gobernador,76
0,1,tampico,familia,46
0,2,tampico,mexico,28
0,2,tampico,servicio,17
0,2,villarreal,mexico,15
0,3,tampico,economico,15
0,3,tampico,mujer,14
0,3,tampico,iniciativa,13
0,4,tampico,buscar,20
0,4,tampico,empresa,16
0,4,tampico,casa,13
0,5,viva,morena,13
0,5,tampico,pais,13
0,6,tampico,orgullo,19
0,6,tampico,resultado,16
0,6,tampico,representar,15
0,7,tampico,atencion,23
0,7,tampico,pesos,19
0,7,monica,inaugurar,15
0,8,tampico,mantener,18
0,8,tampico,sur,16
0,8,tampico,mes,16
0,9,tampico,ano,44
0,9,villarreal,ano,24
0,9,monica,ano,18
0,10,tampico,tamaulipas,165
0,10,villarreal,tamaulipas,94
0,10,tampico,altamira,46
0,11,villarreal,anaya,86
0,11,monica,anaya,38
0,11,tampico,anaya,35
0,12,tampico,nacional,52
0,12,villarreal,nacional,25
0,12,festival,nacional,18
0,13,tampico,continuar,21
0,13,tampico,local,20
0,13,tampico,entrega,19
0,14,tampico,gobierno,36
0,14,villarreal,gobierno,30
0,14,municipal,gobierno,30
0,15,tampico,agosto,26
0,15,tampico,nivel,14
0,15,tampico,mexicano,13
0,16,tampico,cuidar,21
0,16,tampico,seguridad,20
0,16,villarreal,destacar,15
0,17,tampico,region,16
0,17,tampico,contemplar,14
0,17,villarreal,mante,13
0,18,tampico,ciudad,85
0,18,tampico,madero,43
0,18,villarreal,ciudad,38
0,19,tampico,dia,31
0,19,seguir,dia,15
0,19,tampico,encontrar,13
0,20,tampico,zona,38
0,20,tampico,colonia,21
0,20,tampico,laguna,21
0,21,tampico,reforestacion,19
0,21,tampico,gente,14
0,22,tampico,presidenta,51
0,22,villarreal,presidenta,48
0,22,monica,presidenta,44
0,23,tampico,fortalecer,47
0,23,tampico,bienestar,35
0,23,tampico,espacio,35
0,24,tampico,persona,17
0,24,nino,joven,17
0,24,tampico,puente,16
0,25,tampico,caso,17
0,25,centro,caso,15
0,25,tampico,hora,14
1,0,americo,villarreal,113
1,0,gobernador,villarreal,76
1,0,familia,tampico,46
1,2,justicia,mexico,14
1,2,familia,mexico,12
1,2,familia,servicio,12
1,3,familia,mujer,12
1,4,ley,buscar,10
1,5,justicia,querer,14
1,5,dafne,detener,13
1,5,gobernador,querer,13
1,9,dafne,ano,23
1,9,familia,ano,15
1,10,americo,tamaulipas,74
1,10,gobernador,tamaulipas,70
1,10,dafne,tamaulipas,60
1,11,americo,anaya,40
1,11,gobernador,anaya,39
1,11,dafne,verano,10
1,12,dafne,militarizado,24
1,12,gobernador,nacional,17
1,12,americo,nacional,15
1,13,dafne,continuar,15
1,13,americo,programa,14
1,14,americo,gobierno,16
1,14,gobernador,gobierno,15
1,14,americo,claudia,12
1,16,americo,jaumave,14
1,16,americo,camino,11
1,16,investigacion,delito,10
1,17,americo,mante,12
1,17,dafne,mante,12
1,17,gobernador,estatal,10
1,18,dafne,ciudad,19
1,18,americo,ciudad,16
1,18,dafne,madero,15
1,19,familia,dia,11
1,19,dafne,dia,11
1,19,familia,encontrar,9
1,20,familia,transformar,12
1,20,familia,calle,10
1,20,familia,colonia,9
1,21,dafne,marina,15
1,21,gobernador,sheinbaum,10
1,21,americo,sheinbaum,10
1,22,familia,presidenta,13
1,22,republica,presidenta,10
1,22,apoyo,presidenta,10
