source,target,weight,tipo,tema_source,tema_target,sub_source,sub_target
impulsado,pardo,10.0,intra_sub,3,3,0,0
impulsado,iniciativa,6.0,intra_sub,3,3,0,0
impulsado,mujer,6.0,intra_cluster,3,3,0,6
impulsado,plaza,5.0,intra_cluster,3,3,0,2
impulsado,encuentro,4.0,intra_sub,3,3,0,0
impulsado,presente,3.0,intra_cluster,3,3,0,6
impulsado,federal,3.0,intra_cluster,3,3,0,-1
impulsado,patria,3.0,intra_cluster,3,3,0,0
impulsado,promover,3.0,intra_cluster,3,3,0,7
impulsado,apoyar,2.0,intra_cluster,3,3,0,2
impulsado,venir,2.0,intra_cluster,3,3,0,6
impulsado,sostenible,2.0,intra_cluster,3,3,0,0
impulsado,presidenta,13.0,extra,3,22,0,5
pardo,federal,9.0,intra_cluster,3,3,0,-1
pardo,promover,6.0,intra_cluster,3,3,0,7
pardo,iniciativa,6.0,intra_sub,3,3,0,0
pardo,participacion,5.0,intra_cluster,3,3,0,7
pardo,tierra,3.0,intra_cluster,3,3,0,5
pardo,presente,3.0,intra_cluster,3,3,0,6
pardo,responsable,3.0,intra_cluster,3,3,0,1
pardo,economico,3.0,intra_cluster,3,3,0,8
pardo,venir,3.0,intra_cluster,3,3,0,6
pardo,beneficiar,3.0,intra_cluster,3,3,0,5
pardo,posicion,2.0,intra_cluster,3,3,0,4
pardo,tomar,2.0,intra_cluster,3,3,0,1
pardo,patria,2.0,intra_cluster,3,3,0,0
pardo,mujer,2.0,intra_cluster,3,3,0,6
pardo,mover,2.0,intra_cluster,3,3,0,-1
pardo,sostenible,2.0,intra_cluster,3,3,0,0
pardo,claudia,28.0,extra,3,14,0,0
pardo,sheinbaum,27.0,extra,3,21,0,0
pardo,presidenta,23.0,extra,3,22,0,5
pardo,tamaulipas,11.0,extra,3,10,0,2
federal,participacion,6.0,intra_cluster,3,3,-1,7
federal,responsable,6.0,intra_cluster,3,3,-1,1
federal,garcia,6.0,intra_cluster,3,3,-1,5
federal,energia,5.0,intra_cluster,3,3,-1,2
federal,sosa,5.0,intra_cluster,3,3,-1,3
federal,mover,4.0,intra_cluster,3,3,-1,-1
federal,direccion,4.0,intra_cluster,3,3,-1,2
federal,economico,3.0,intra_cluster,3,3,-1,8
federal,iniciativa,3.0,intra_cluster,3,3,-1,0
federal,posicion,2.0,intra_cluster,3,3,-1,4
federal,apoyar,2.0,intra_cluster,3,3,-1,2
federal,originario,2.0,intra_cluster,3,3,-1,1
federal,senadora,2.0,intra_cluster,3,3,-1,3
federal,decision,2.0,intra_cluster,3,3,-1,1
federal,competitivo,2.0,intra_cluster,3,3,-1,8
federal,apostar,2.0,intra_cluster,3,3,-1,4
federal,lleno,2.0,intra_cluster,3,3,-1,2
federal,diputada,2.0,intra_cluster,3,3,-1,6
federal,tamaulipas,19.0,extra,3,10,-1,2
federal,gobierno,13.0,extra,3,14,-1,0
federal,estatal,12.0,extra,3,17,-1,2
federal,secretaria,11.0,extra,3,16,-1,3
decision,tomar,9.0,intra_sub,3,3,1,1
decision,responsable,8.0,intra_sub,3,3,1,1
decision,mujer,3.0,intra_cluster,3,3,1,6
decision,garcia,3.0,intra_cluster,3,3,1,5
decision,tecnologia,3.0,intra_cluster,3,3,1,1
decision,economico,2.0,intra_cluster,3,3,1,8
decision,originario,2.0,intra_cluster,3,3,1,1
decision,participacion,2.0,intra_cluster,3,3,1,7
tomar,economico,6.0,intra_cluster,3,3,1,8
tomar,responsable,5.0,intra_sub,3,3,1,1
tomar,plaza,3.0,intra_cluster,3,3,1,2
tomar,venir,3.0,intra_cluster,3,3,1,6
tomar,tierra,2.0,intra_cluster,3,3,1,5
tomar,participacion,2.0,intra_cluster,3,3,1,7
tomar,apoyar,2.0,intra_cluster,3,3,1,2
tomar,direccion,2.0,intra_cluster,3,3,1,2
tomar,aprovechar,2.0,intra_cluster,3,3,1,8
tomar,originario,2.0,intra_cluster,3,3,1,1
olga,senadora,8.0,intra_sub,3,3,3,3
