palabra,tema_id,sub_id,participation,z_within_degree,grado_total,rol
tamaulipas,10,2,0.9794,1.8708,172,broker
tampico,0,-1,0.9784,0.0,187,broker
caso,25,0,0.9552,1.5076,87,broker
dafne,1,0,0.9509,1.3333,80,broker
ciudad,18,0,0.9492,0.0,86,broker
villarreal,0,0,0.9481,1.1832,76,broker
ano,9,0,0.9451,2.0927,93,broker
nacional,12,1,0.9434,2.0207,74,broker
presidenta,22,5,0.9429,1.4142,70,broker
fortalecer,23,0,0.9418,1.1282,77,broker
justicia,1,0,0.9369,0.8333,56,broker
americo,1,2,0.9355,0.866,55,broker
familia,1,1,0.9351,1.3405,75,broker
bienestar,23,5,0.9333,2.4749,60,broker
dia,19,5,0.9319,1.4142,51,broker
academia,24,0,0.9318,1.4269,62,broker
madero,18,0,0.9304,0.0,49,broker
mexico,2,3,0.9242,1.9149,76,broker
pais,5,2,0.9242,1.6211,76,broker
querer,5,4,0.9212,1.7321,71,broker
gobernador,1,2,0.9206,0.866,46,broker
monica,0,0,0.9201,1.1832,48,broker
espacio,23,0,0.9193,1.934,59,broker
pasar,5,2,0.9191,1.118,63,broker
deber,5,1,0.9178,2.6622,78,conector_provincial
gobierno,14,0,0.9173,2.9401,75,conector_provincial
escuela,25,0,0.9162,1.5076,43,broker
joven,24,6,0.9144,1.8708,55,broker
investigacion,1,0,0.9132,0.3333,48,broker
proceso,25,2,0.9126,1.206,47,broker
