palabra,tema_id,sub_id,color_tema,peso_lda,grado_total,grado_intra_sub,grado_intra_cluster,grado_extra,peso_intra_sub,peso_intra_cluster,peso_extra,pagerank,betweenness,clustering_coef,eigenvector,participation,z_within_degree,rol
impulsado,3,0,#d62728,0.0066196615807712,13,3,9,1,20.0,29.0,13.0,0.000746,0.0,0.3462,0.002967,0.7574,1.4142,broker
pardo,3,0,#d62728,0.0039429990574717,21,2,15,4,16.0,50.0,89.0,0.001533,0.0,0.2619,0.014362,0.8934,0.3536,broker
federal,3,-1,#d62728,0.0060858153738081,24,0,20,4,0.0,72.0,55.0,0.001485,0.0,0.163,0.014865,0.9062,0.0,broker
decision,3,1,#d62728,0.0039254045113921,9,2,7,0,17.0,17.0,0.0,0.000551,0.0,0.5833,0.000173,0.7407,0.8165,broker
tomar,3,1,#d62728,0.0031477315351366,12,2,10,0,14.0,26.0,0.0,0.000634,0.0,0.3939,0.00018,0.8194,-1.2247,broker
olga,3,3,#d62728,0.0035963109694421,10,2,8,0,15.0,19.0,0.0,0.000465,0.0,0.6,0.000248,0.78,0.8165,broker
senadora,3,3,#d62728,0.0037286744918674,7,2,5,0,16.0,11.0,0.0,0.000368,0.0,0.7619,0.000262,0.7755,0.8165,broker
sosa,3,3,#d62728,0.0026145114097744,12,2,7,3,15.0,19.0,35.0,0.000708,0.0,0.3485,0.009407,0.8472,0.8165,broker
mujer,3,6,#d62728,0.0078094480559229,26,3,20,3,21.0,70.0,37.0,0.001498,0.0,0.2308,0.013319,0.9024,1.7321,broker
responsable,3,1,#d62728,0.005347023718059,20,2,17,1,13.0,57.0,12.0,0.00123,0.0,0.2632,0.002597,0.885,0.8165,broker
presente,3,6,#d62728,0.002491804305464,8,1,7,0,8.0,20.0,0.0,0.000414,0.0,0.4286,0.000289,0.75,-0.5774,broker
venir,3,6,#d62728,0.0021784636192023,11,1,10,0,8.0,24.0,0.0,0.000487,0.0,0.4727,0.000272,0.7934,-0.5774,broker
promover,3,7,#d62728,0.0030322002712637,11,1,10,0,6.0,36.0,0.0,0.000555,0.0,0.4727,0.000467,0.8264,-0.5,broker
