source,target,weight,tipo,tema_source,tema_target,sub_source,sub_target
madre,muerte,42.0,intra_sub,3,3,5,5
madre,doenitz,29.0,intra_cluster,3,3,5,0
madre,video,13.0,intra_cluster,3,3,5,2
madre,presunto,11.0,intra_cluster,3,3,5,0
madre,llamado,11.0,intra_cluster,3,3,5,1
madre,carpeta,11.0,intra_cluster,3,3,5,2
madre,dolor,10.0,intra_cluster,3,3,5,3
madre,exalumno,7.0,intra_cluster,3,3,5,0
madre,actuar,7.0,intra_cluster,3,3,5,3
madre,fisico,6.0,intra_cluster,3,3,5,7
madre,amenaza,6.0,intra_sub,3,3,5,5
madre,gustar,6.0,intra_cluster,3,3,5,1
madre,violencia,5.0,intra_cluster,3,3,5,0
madre,sentir,5.0,intra_cluster,3,3,5,1
madre,suceder,5.0,intra_cluster,3,3,5,3
madre,practicamente,5.0,intra_cluster,3,3,5,6
madre,expresar,5.0,intra_cluster,3,3,5,6
madre,favor,5.0,intra_cluster,3,3,5,3
madre,abrir,5.0,intra_cluster,3,3,5,1
madre,morelos,4.0,intra_sub,3,3,5,5
madre,comentario,4.0,intra_cluster,3,3,5,2
madre,doctor,4.0,intra_cluster,3,3,5,6
madre,cdmx,3.0,intra_cluster,3,3,5,2
madre,voz,3.0,intra_cluster,3,3,5,7
madre,mensaje,3.0,intra_cluster,3,3,5,4
madre,retiro,2.0,intra_cluster,3,3,5,4
madre,miedo,2.0,intra_cluster,3,3,5,3
madre,ocurrido,2.0,intra_cluster,3,3,5,0
madre,describir,2.0,intra_cluster,3,3,5,4
madre,psicologico,2.0,intra_cluster,3,3,5,7
madre,tecnologia,2.0,intra_cluster,3,3,5,1
madre,preparacion,2.0,intra_cluster,3,3,5,1
madre,visita,2.0,intra_cluster,3,3,5,6
madre,aprovechar,2.0,intra_cluster,3,3,5,1
madre,tijuana,2.0,intra_cluster,3,3,5,5
madre,dafne,39.0,extra,3,14,5,1
madre,hija,21.0,extra,3,6,5,12
madre,justicia,17.0,extra,3,9,5,1
madre,caso,17.0,extra,3,14,5,1
madre,alejandra,17.0,extra,3,9,5,2
madre,academia,16.0,extra,3,14,5,2
madre,quintos,15.0,extra,3,9,5,2
madre,escuela,14.0,extra,3,6,5,0
madre,familia,13.0,extra,3,9,5,6
muerte,doenitz,34.0,intra_cluster,3,3,5,0
muerte,presunto,13.0,intra_cluster,3,3,5,0
muerte,violencia,10.0,intra_cluster,3,3,5,0
muerte,ocurrido,10.0,intra_cluster,3,3,5,0
muerte,sentir,7.0,intra_cluster,3,3,5,1
muerte,video,7.0,intra_cluster,3,3,5,2
muerte,miedo,7.0,intra_cluster,3,3,5,3
muerte,suceder,7.0,intra_cluster,3,3,5,3
muerte,llamado,6.0,intra_cluster,3,3,5,1
muerte,amenaza,5.0,intra_sub,3,3,5,5
muerte,expresar,5.0,intra_cluster,3,3,5,6
muerte,garcia,4.0,intra_cluster,3,3,5,2
muerte,fisico,4.0,intra_cluster,3,3,5,7
muerte,carpeta,4.0,intra_cluster,3,3,5,2
muerte,morelos,4.0,intra_sub,3,3,5,5
muerte,acusacion,4.0,intra_cluster,3,3,5,3
muerte,senalamiento,4.0,intra_cluster,3,3,5,0
muerte,practicamente,3.0,intra_cluster,3,3,5,6
muerte,favor,3.0,intra_cluster,3,3,5,3
muerte,profesional,3.0,intra_cluster,3,3,5,4
muerte,abrir,3.0,intra_cluster,3,3,5,1
muerte,doctor,3.0,intra_cluster,3,3,5,6
muerte,mecanismo,3.0,intra_cluster,3,3,5,7
muerte,dolor,3.0,intra_cluster,3,3,5,3
muerte,mensaje,3.0,intra_cluster,3,3,5,4
muerte,agarrar,3.0,intra_cluster,3,3,5,3
muerte,psicologico,3.0,intra_cluster,3,3,5,7
muerte,retiro,2.0,intra_cluster,3,3,5,4
muerte,exalumno,2.0,intra_cluster,3,3,5,0
muerte,voz,2.0,intra_cluster,3,3,5,7
muerte,trayectoria,2.0,intra_cluster,3,3,5,4
muerte,preparacion,2.0,intra_cluster,3,3,5,1
muerte,tecnologia,2.0,intra_cluster,3,3,5,1
muerte,actuar,2.0,intra_cluster,3,3,5,3
muerte,morenista,2.0,intra_cluster,3,3,5,2
muerte,describir,2.0,intra_cluster,3,3,5,4
muerte,agente,2.0,intra_cluster,3,3,5,3
muerte,suspender,2.0,intra_cluster,3,3,5,2
muerte,dafne,58.0,extra,3,14,5,1
muerte,academia,30.0,extra,3,14,5,2
muerte,caso,22.0,extra,3,14,5,1
muerte,tamaulipas,20.0,extra,3,19,5,0
muerte,justicia,20.0,extra,3,9,5,1
muerte,menor,19.0,extra,3,9,5,4
muerte,investigacion,19.0,extra,3,14,5,0
muerte,militarizado,18.0,extra,3,5,5,0
muerte,adolescente,17.0,extra,3,14,5,2
muerte,ano,15.0,extra,3,22,5,7
muerte,ciudad,15.0,extra,3,23,5,0
muerte,militarizada,15.0,extra,3,14,5,2
muerte,julio,13.0,extra,3,15,5,1
doenitz,presunto,21.0,intra_sub,3,3,0,0
doenitz,ocurrido,21.0,intra_sub,3,3,0,0
doenitz,exalumno,13.0,intra_sub,3,3,0,0
doenitz,video,11.0,intra_cluster,3,3,0,2
doenitz,violencia,8.0,intra_sub,3,3,0,0
doenitz,casodafne,7.0,intra_sub,3,3,0,0
doenitz,expresar,6.0,intra_cluster,3,3,0,6
doenitz,llamado,6.0,intra_cluster,3,3,0,1
doenitz,fisico,6.0,intra_cluster,3,3,0,7
doenitz,mensaje,6.0,intra_cluster,3,3,0,4
doenitz,trayectoria,4.0,intra_cluster,3,3,0,4
doenitz,favor,4.0,intra_cluster,3,3,0,3
doenitz,carpeta,4.0,intra_cluster,3,3,0,2
doenitz,comentario,4.0,intra_cluster,3,3,0,2
doenitz,senalamiento,4.0,intra_sub,3,3,0,0
doenitz,doctor,4.0,intra_cluster,3,3,0,6
doenitz,garcia,3.0,intra_cluster,3,3,0,2
doenitz,suceder,3.0,intra_cluster,3,3,0,3
doenitz,recurrir,3.0,intra_cluster,3,3,0,0
doenitz,describir,3.0,intra_cluster,3,3,0,4
doenitz,adelantar,3.0,intra_cluster,3,3,0,6
doenitz,canal,3.0,intra_cluster,3,3,0,6
doenitz,agente,3.0,intra_cluster,3,3,0,3
doenitz,profesional,2.0,intra_cluster,3,3,0,4
doenitz,frente,2.0,intra_cluster,3,3,0,1
doenitz,amenaza,2.0,intra_cluster,3,3,0,5
doenitz,practicamente,2.0,intra_cluster,3,3,0,6
doenitz,dolor,2.0,intra_cluster,3,3,0,3
doenitz,actuar,2.0,intra_cluster,3,3,0,3
doenitz,psicologico,2.0,intra_cluster,3,3,0,7
doenitz,abrir,2.0,intra_cluster,3,3,0,1
doenitz,visita,2.0,intra_cluster,3,3,0,6
doenitz,aprovechar,2.0,intra_cluster,3,3,0,1
doenitz,sentir,2.0,intra_cluster,3,3,0,1
doenitz,academia,79.0,extra,3,14,0,2
doenitz,dafne,63.0,extra,3,14,0,1
doenitz,militarizada,60.0,extra,3,14,0,2
doenitz,madero,28.0,extra,3,23,0,0
doenitz,ciudad,27.0,extra,3,23,0,0
doenitz,caso,27.0,extra,3,14,0,1
doenitz,tamaulipas,24.0,extra,3,19,0,0
doenitz,quintos,23.0,extra,3,9,0,2
doenitz,ano,22.0,extra,3,22,0,7
doenitz,campamento,20.0,extra,3,6,0,7
doenitz,zapata,20.0,extra,3,9,0,2
doenitz,marina,18.0,extra,3,9,0,6
doenitz,justicia,15.0,extra,3,9,0,1
doenitz,defensa,15.0,extra,3,14,0,4
doenitz,verano,14.0,extra,3,12,0,1
doenitz,joven,14.0,extra,3,14,0,5
doenitz,yanina,14.0,extra,3,14,0,3
doenitz,menor,13.0,extra,3,9,0,4
doenitz,escuela,13.0,extra,3,6,0,0
doenitz,morir,13.0,extra,3,14,0,2
doenitz,julio,13.0,extra,3,15,0,1
doenitz,adolescente,13.0,extra,3,14,0,2
presunto,violencia,8.0,intra_sub,3,3,0,0
presunto,video,7.0,intra_cluster,3,3,0,2
presunto,exalumno,7.0,intra_sub,3,3,0,0
presunto,abrir,6.0,intra_cluster,3,3,0,1
presunto,ocurrido,5.0,intra_sub,3,3,0,0
presunto,fisico,4.0,intra_cluster,3,3,0,7
presunto,carpeta,3.0,intra_cluster,3,3,0,2
presunto,llamado,3.0,intra_cluster,3,3,0,1
presunto,senalamiento,3.0,intra_cluster,3,3,0,0
presunto,imss,2.0,intra_cluster,3,3,0,1
presunto,actuar,2.0,intra_cluster,3,3,0,3
presunto,academia,21.0,extra,3,14,0,2
presunto,dafne,17.0,extra,3,14,0,1
presunto,investigacion,13.0,extra,3,14,0,0
