tema_id,sub_id,comunidad_cod,n_palabras,n_aristas,densidad,grado_medio,grado_max,asortatividad_peso,color
0,0,0,8,21,0.75,5.25,7,-0.258,#1f77b4
0,1,1,13,46,0.5897,7.08,11,-0.134,#1f77b4
0,2,2,13,37,0.4744,5.69,9,-0.042,#1f77b4
0,3,3,6,11,0.7333,3.67,5,-0.375,#1f77b4
0,4,4,8,16,0.5714,4.0,5,-0.145,#1f77b4
0,5,5,5,8,0.8,3.2,4,-0.417,#1f77b4
0,-1,9999,2,1,1.0,1.0,1,,#1f77b4
1,0,10000,9,24,0.6667,5.33,8,-0.384,#ff7f0e
1,1,10001,11,35,0.6364,6.36,9,-0.213,#ff7f0e
1,2,10002,7,18,0.8571,5.14,6,-0.235,#ff7f0e
1,3,10003,12,17,0.2576,2.83,8,-0.481,#ff7f0e
1,4,10004,7,9,0.4286,2.57,5,-0.506,#ff7f0e
1,5,10005,5,5,0.5,2.0,4,-0.792,#ff7f0e
1,6,10006,3,3,1.0,2.0,2,-0.5,#ff7f0e
1,7,10007,4,2,0.3333,1.0,2,-0.984,#ff7f0e
1,8,10008,4,4,0.6667,2.0,3,-0.5,#ff7f0e
1,-1,19999,2,1,1.0,1.0,1,,#ff7f0e
2,0,20000,17,37,0.2721,4.35,14,-0.339,#2ca02c
2,1,20001,13,29,0.3718,4.46,10,-0.5,#2ca02c
2,2,20002,9,20,0.5556,4.44,7,-0.227,#2ca02c
2,3,20003,7,10,0.4762,2.86,6,-0.632,#2ca02c
2,4,20004,8,11,0.3929,2.75,7,-0.495,#2ca02c
2,5,20005,8,13,0.4643,3.25,5,-0.253,#2ca02c
2,6,20006,5,6,0.6,2.4,3,-0.333,#2ca02c
2,7,20007,4,3,0.5,1.5,2,-0.5,#2ca02c
3,0,30000,6,11,0.7333,3.67,5,-0.4,#d62728
3,1,30001,5,9,0.9,3.6,4,-0.246,#d62728
3,2,30002,6,10,0.6667,3.33,4,-0.244,#d62728
3,3,30003,5,3,0.3,1.2,2,-0.5,#d62728
3,4,30004,8,10,0.3571,2.5,4,-0.561,#d62728
3,5,30005,5,6,0.6,2.4,4,-0.657,#d62728
3,6,30006,4,3,0.5,1.5,3,-0.98,#d62728
3,7,30007,5,4,0.4,1.6,4,-0.931,#d62728
3,8,30008,4,3,0.5,1.5,3,-0.964,#d62728
3,-1,39999,2,1,1.0,1.0,1,,#d62728
4,0,40000,24,55,0.1993,4.58,12,-0.17,#9467bd
4,1,40001,11,27,0.4909,4.91,8,-0.198,#9467bd
4,2,40002,20,51,0.2684,5.1,16,-0.236,#9467bd
4,3,40003,7,13,0.619,3.71,6,-0.469,#9467bd
4,4,40004,5,9,0.9,3.6,4,-0.351,#9467bd
4,5,40005,6,13,0.8667,4.33,5,-0.383,#9467bd
