tema_id,n_palabras,fuerza_intra,fuerza_extra,fuerza_total,ratio_endogamia,broker_index,hub_local,eigenvector_interno,aislamiento,veredicto
0,55,3565.0,5276.0,8841.0,0.4032,0.7486,-0.0,0.040614,0.0,conector_legitimo
1,64,2653.0,2799.0,5452.0,0.4866,0.6848,-0.0,0.017479,0.4695,conector_legitimo
2,71,1159.0,640.0,1799.0,0.6442,0.5686,0.0,0.002804,0.8787,conector_legitimo
3,50,649.0,310.0,959.0,0.6767,0.6718,-0.0,0.001722,0.9412,conector_legitimo
4,73,1368.0,151.0,1519.0,0.9006,0.4591,0.0,0.000931,0.9714,burbuja_vacia
5,123,3242.0,579.0,3821.0,0.8485,0.7703,0.0,0.00167,0.8903,balanceado
6,54,753.0,230.0,983.0,0.766,0.6112,0.0,0.002158,0.9564,huerfano
7,47,707.0,317.0,1024.0,0.6904,0.52,0.0,0.003088,0.9399,conector_legitimo
8,67,1045.0,309.0,1354.0,0.7718,0.6772,0.0,0.00183,0.9414,conector_legitimo
9,68,1168.0,677.0,1845.0,0.6331,0.5905,0.0,0.003107,0.8717,conector_legitimo
10,55,1910.0,3695.0,5605.0,0.3408,0.6212,0.0,0.024203,0.2997,conector_legitimo
11,55,1035.0,640.0,1675.0,0.6179,0.4591,-0.0,0.005096,0.8787,balanceado
12,54,782.0,972.0,1754.0,0.4458,0.5475,-0.0,0.005115,0.8158,conector_legitimo
13,77,954.0,399.0,1353.0,0.7051,0.5436,0.0,0.001849,0.9244,conector_legitimo
14,62,1125.0,815.0,1940.0,0.5799,0.5395,-0.0,0.00401,0.8455,conector_legitimo
15,55,754.0,199.0,953.0,0.7912,0.5248,0.0,0.00143,0.9623,huerfano
16,45,1051.0,528.0,1579.0,0.6656,0.6888,-0.0,0.00499,0.8999,conector_legitimo
17,61,625.0,271.0,896.0,0.6975,0.5486,0.0,0.002064,0.9486,conector_legitimo
18,72,1088.0,1032.0,2120.0,0.5132,0.643,0.0,0.006095,0.8044,conector_legitimo
19,73,905.0,306.0,1211.0,0.7473,0.6435,-0.0,0.00171,0.942,conector_legitimo
20,66,1355.0,620.0,1975.0,0.6861,0.6802,0.0,0.00416,0.8825,conector_legitimo
21,64,1035.0,537.0,1572.0,0.6584,0.635,0.0,0.00192,0.8982,conector_legitimo
22,58,1101.0,813.0,1914.0,0.5752,0.7245,-0.0,0.004432,0.8459,conector_legitimo
23,76,2640.0,1651.0,4291.0,0.6152,0.753,-0.0,0.009003,0.6871,conector_legitimo
24,70,2641.0,1924.0,4565.0,0.5785,0.7313,-0.0,0.008141,0.6353,conector_legitimo
25,58,1751.0,1386.0,3137.0,0.5582,0.7269,0.0,0.006765,0.7373,conector_legitimo
