posicion_id,tema_id,rank,palabra,conteo
T00_P1,0,1,tampico,194
T00_P1,0,2,villarreal,125
T00_P1,0,3,monica,110
T00_P1,0,4,municipal,43
T00_P1,0,5,alcaldesa,35
T00_P1,0,6,impulsar,32
T00_P1,0,7,seguir,20
T00_P1,0,8,tampicotecuida,18
T00_P1,0,9,centro,16
T00_P1,0,10,historico,16
T00_P1,0,11,turismo,15
T00_P1,0,12,deportivo,14
T00_P1,0,13,oportunidad,12
T00_P1,0,14,deportiva,10
T00_P1,0,15,gracias,8
T00_P1,0,16,entrada,7
T00_P1,0,17,nino,6
T00_P1,0,18,esperar,5
T00_P1,0,19,festival,5
T00_P1,0,20,excelente,4
T00_P1,0,21,equipo,4
T00_P1,0,22,renovar,4
T00_P1,0,23,clase,3
T00_P1,0,24,salud,3
T00_P1,0,25,generar,3
T00_P1,0,26,emprendedor,3
T00_P1,0,27,evento,3
T00_P1,0,28,conductor,2
T00_P1,0,29,duda,2
T00_P1,0,30,modernizacion,2
T00_P1,0,31,gratuito,2
T00_P1,0,32,favor,2
T00_P1,0,33,felicidades,2
T00_P1,0,34,regreso,2
T00_P1,0,35,mil,2
T00_P1,0,36,fomentar,2
T00_P1,0,37,auto,1
T00_P1,0,38,correcto,1
T00_P1,0,39,margarita,1
T00_P1,0,40,pilar,1
T00_P1,0,41,organizacion,1
T00_P2,0,1,tampico,102
T00_P2,0,2,seguir,64
T00_P2,0,3,tampicotecuida,57
T00_P2,0,4,excelente,55
T00_P2,0,5,gracias,27
T00_P2,0,6,oportunidad,25
T00_P2,0,7,impulsar,24
T00_P2,0,8,felicidades,19
T00_P2,0,9,equipo,17
T00_P2,0,10,felicidad,15
T00_P2,0,11,salud,15
T00_P2,0,12,turismo,13
T00_P2,0,13,villarreal,12
T00_P2,0,14,generar,12
T00_P2,0,15,municipal,11
T00_P2,0,16,monica,10
T00_P2,0,17,esperar,9
T00_P2,0,18,evento,9
T00_P2,0,19,nino,8
T00_P2,0,20,alcaldesa,7
T00_P2,0,21,centro,7
T00_P2,0,22,gratuito,7
T00_P2,0,23,historico,6
T00_P2,0,24,favor,6
T00_P2,0,25,duda,6
T00_P2,0,26,fomentar,5
T00_P2,0,27,ruiz,5
T00_P2,0,28,entrada,5
T00_P2,0,29,deportivo,5
T00_P2,0,30,emprendedor,5
T00_P2,0,31,auto,4
T00_P2,0,32,deportiva,4
T00_P2,0,33,mil,4
T00_P2,0,34,viva,4
T00_P2,0,35,derrama,3
T00_P2,0,36,clase,3
T00_P2,0,37,correcto,3
T00_P2,0,38,pilar,3
T00_P2,0,39,organizacion,3
T00_P2,0,40,gracia,3
T00_P2,0,41,regreso,3
T00_P2,0,42,precio,2
T00_P2,0,43,fiesta,2
T00_P2,0,44,festival,2
T00_P2,0,45,vivar,2
T00_P2,0,46,restaurante,2
T00_P2,0,47,modernizacion,1
T00_P2,0,48,renovar,1
T01_P1,1,1,americo,29
T01_P1,1,2,gobernador,29
T01_P1,1,3,justicia,18
T01_P1,1,4,zapata,11
T01_P1,1,5,exigir,10
T01_P1,1,6,abuela,9
T01_P1,1,7,laura,8
T01_P1,1,8,martinez,7
T01_P1,1,9,pedir,5
T01_P1,1,10,ofrecer,5
T01_P1,1,11,voto,4
T01_P1,1,12,mandatario,3
T01_P1,1,13,ingreso,2
T01_P1,1,14,impune,2
T01_P1,1,15,confianza,2
T01_P1,1,16,asegurar,2
T01_P1,1,17,investigacion,2
T01_P1,1,18,familia,2
T01_P1,1,19,fallecer,1
T01_P1,1,20,esclarecer,1
T01_P1,1,21,aplicar,1
T01_P1,1,22,marcha,1
T01_P1,1,23,resolucion,1
T01_P1,1,24,perder,1
T01_P1,1,25,sorgo,1
T01_P1,1,26,respuesta,1
T01_P2,1,1,justicia,13
T01_P2,1,2,familia,10
T01_P2,1,3,investigacion,9
T01_P2,1,4,ley,5
T01_P2,1,5,exigir,4
T01_P2,1,6,gobernador,4
T01_P2,1,7,mama,4
T01_P2,1,8,madre,4
T01_P2,1,9,confianza,4
T01_P2,1,10,americo,4
T01_P2,1,11,alejandra,4
T01_P2,1,12,pedir,4
T01_P2,1,13,aplicar,3
T01_P2,1,14,recibir,3
T01_P2,1,15,voto,3
T01_P2,1,16,respaldar,2
T01_P2,1,17,merecido,2
T01_P2,1,18,marcha,2
T01_P2,1,19,fallecer,2
T01_P2,1,20,zapata,2
T01_P2,1,21,premio,2
T01_P2,1,22,peso,2
T01_P2,1,23,abuela,1
T01_P2,1,24,amor,1
T01_P2,1,25,asegurar,1
T01_P2,1,26,luz,1
