node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,ambito_estrategico,postura,postura_etiqueta,postura_score,evidencia_postura,mensajes_con_postura,coincidencias_positivas,coincidencias_negativas,peso_coincidente
T01,tema,"Economía, trabajo y costo de vida · millon",Obras,1.0,Obras | Prevencion,negativa,-0.3333,risk,sin_postura,Sin postura,0.0,0.0,0,1.0,2.0,9.0
T02,tema,México y asuntos nacionales · puerto,Delitos,0.8329,Delitos | Obras | Corrupcion,positiva,0.3333,consolidation,sin_postura,Sin postura,0.0,0.0,0,10.0,5.0,16.0
T03,tema,"Seguridad, violencia y justicia · cdmx",Delitos,1.0,Delitos | Prevencion,mixta,0.1163,opportunity,sin_postura,Sin postura,0.0,0.0,0,24.0,19.0,56.0
T04,tema,"Seguridad, violencia y justicia · comenzar",Delitos,0.8034,Delitos | Obras | Corrupcion | Prevencion | Vialidad,mixta,0.1429,opportunity,sin_postura,Sin postura,0.0,0.0,0,28.0,21.0,74.0
T05,tema,"Bienestar, salud y educación · secretaria",,0.0,,positiva,1.0,consolidation,apoyo_defensa,Apoyo/defensa,1.0,2.0,2,4.0,0.0,4.0
T06,tema,"Comunidad, familia y vida cotidiana · deber",Delitos,0.8049,Delitos | Prevencion | Corrupcion,negativa,-0.4009,risk,sin_postura,Sin postura,0.0,0.0,0,207.0,484.0,762.0
T07,tema,Gestión municipal y servicios públicos · bienestar,Mónica Villarreal,1.0,Mónica Villarreal | Gobierno municipal | Americo | Morena | Obras,positiva,0.8621,consolidation,apoyo_defensa,Apoyo/defensa,0.9615,52.0,34,54.0,4.0,494.0
T08,tema,Corrupción y rendición de cuentas · americo,Corrupcion,1.0,Corrupcion | Americo | Morena | Prevencion | Alumbrado,mixta,-0.0769,opportunity,sin_postura,Sin postura,0.0,0.0,0,18.0,21.0,51.0
T09,tema,"Comunidad, familia y vida cotidiana · justicia",Morena,0.9435,Morena | Americo | Vialidad | Obras,positiva,0.6404,consolidation,apoyo_defensa,Apoyo/defensa,1.0,8.0,8,73.0,16.0,120.0
T10,tema,México y asuntos nacionales · perro,Prevencion,0.9157,Prevencion | Corrupcion | Delitos | Alumbrado | Agua | Americo | Obras,negativa,-0.2308,risk,sin_postura,Sin postura,0.0,0.0,0,5.0,8.0,20.0
T11,tema,"Identidad local, cultura y entretenimiento · liga",Prevencion,0.8136,Prevencion,mixta,-0.1111,opportunity,sin_postura,Sin postura,0.0,0.0,0,12.0,15.0,36.0
T12,tema,"Agua, territorio y medio ambiente · exposicion",,0.0,,positiva,0.6111,consolidation,apoyo_defensa,Apoyo/defensa,1.0,1.0,1,29.0,7.0,36.0
T13,tema,"Agua, territorio y medio ambiente · temperatura",Obras,0.8917,Obras,positiva,0.6,consolidation,sin_postura,Sin postura,0.0,0.0,0,4.0,1.0,6.0
T14,tema,"Caso, investigacion, academia",Delitos,0.9338,Delitos | Corrupcion | Prevencion | Obras,mixta,0.0,opportunity,apoyo_defensa,Apoyo/defensa,1.0,1.0,1,12.0,12.0,71.0
T15,tema,Opiniones generales y contenido compartido,Agua,0.8716,Agua | Corrupcion,mixta,-0.04,opportunity,sin_postura,Sin postura,0.0,0.0,0,60.0,65.0,132.0
T16,tema,Gestión municipal y servicios públicos · fortalecer,Obras,0.9023,Obras | Gobierno municipal,positiva,0.5814,consolidation,apoyo_defensa,Apoyo/defensa,1.0,14.0,7,34.0,9.0,45.0
T17,tema,"Bienestar, salud y educación · general",Obras,0.8486,Obras,positiva,1.0,consolidation,apoyo_defensa,Apoyo/defensa,1.0,2.0,2,14.0,0.0,22.0
T18,tema,Gestión municipal y servicios públicos · taller,Mónica Villarreal,0.9,Mónica Villarreal | Gobierno municipal | Prevencion | Vialidad,positiva,0.5385,consolidation,apoyo_defensa,Apoyo/defensa,0.9048,21.0,14,20.0,6.0,103.0
T19,tema,"Economía, trabajo y costo de vida · tamaulipas",Alumbrado,0.858,Alumbrado,positiva,0.8,consolidation,apoyo_defensa,Apoyo/defensa,1.0,7.0,4,9.0,1.0,10.0
T20,tema,"Responder, ciento, realidad",Corrupcion,0.945,Corrupcion | Delitos | Prevencion | Basura | Alumbrado,negativa,-0.8571,risk,sin_postura,Sin postura,0.0,0.0,0,1.0,13.0,17.0
T21,tema,Gobierno y disputa política · ernesto,Morena,1.0,Morena | Gobierno municipal | Delitos | Corrupcion | Prevencion,negativa,-0.275,risk,sin_postura,Sin postura,0.0,0.0,0,58.0,102.0,318.0
T22,tema,Apoyo y aprobación pública · colonia,Obras,0.9454,Obras | Delitos | Agua | Corrupcion | Vialidad | Morena,positiva,0.2511,consolidation,apoyo_defensa,Apoyo/defensa,1.0,15.0,10,142.0,85.0,256.0
T23,tema,Gestión municipal y servicios públicos · proteccion,Prevencion,0.9474,Prevencion | Vialidad | Obras | Basura | Agua,mixta,0.1111,opportunity,apoyo_defensa,Apoyo/defensa,1.0,1.0,1,5.0,4.0,15.0
T24,tema,"Identidad local, cultura y entretenimiento · social",Obras,0.4725,Obras | Corrupcion,negativa,-0.4,risk,sin_postura,Sin postura,0.0,0.0,0,3.0,7.0,11.0
T01_P1,posicion,"Perspectiva sobre economía, trabajo y costo de vida · millon, con énfasis en construccion",Obras,1.0,Obras | Prevencion,negativa,-0.3333,risk,sin_postura,Sin postura,0.0,0.0,0,1.0,2.0,9.0
T02_P1,posicion,"Perspectiva sobre méxico y asuntos nacionales · puerto, con énfasis en nacional",Delitos,0.8329,Delitos | Obras | Corrupcion,positiva,0.3333,consolidation,sin_postura,Sin postura,0.0,0.0,0,10.0,5.0,16.0
T03_P1,posicion,"Perspectiva sobre seguridad, violencia y justicia · cdmx, con énfasis en madre",Delitos,1.0,Delitos | Prevencion,mixta,0.1163,opportunity,sin_postura,Sin postura,0.0,0.0,0,24.0,19.0,56.0
T04_P1,posicion,"Perspectiva sobre seguridad, violencia y justicia · comenzar, con énfasis en cabeza",Delitos,0.8034,Delitos | Corrupcion | Obras | Prevencion | Vialidad,negativa,-0.619,risk,sin_postura,Sin postura,0.0,0.0,0,4.0,17.0,41.0
T04_P2,posicion,"Perspectiva sobre seguridad, violencia y justicia · comenzar, con énfasis en pasar",Delitos,0.8034,Delitos | Obras | Prevencion | Corrupcion,positiva,0.7143,consolidation,sin_postura,Sin postura,0.0,0.0,0,24.0,4.0,33.0
T05_P1,posicion,"Perspectiva sobre bienestar, salud y educación · secretaria, con énfasis en medio",,0.0,,positiva,1.0,consolidation,apoyo_defensa,Apoyo/defensa,1.0,2.0,2,4.0,0.0,4.0
T06_P1,posicion,"Familia, cuidados y vida comunitaria",Corrupcion,0.9123,Corrupcion | Prevencion | Delitos,negativa,-0.3927,risk,sin_postura,Sin postura,0.0,0.0,0,133.0,305.0,470.0
