posicion_id,tema_id,rank,palabra,conteo
T00_P1,0,1,tampico,208
T00_P1,0,2,villarreal,138
T00_P1,0,3,monica,123
T00_P1,0,4,municipal,53
T00_P1,0,5,alcaldesa,38
T00_P1,0,6,impulsar,37
T00_P1,0,7,seguir,20
T00_P1,0,8,centro,19
T00_P1,0,9,deportivo,19
T00_P1,0,10,tampicotecuida,18
T00_P1,0,11,turismo,17
T00_P1,0,12,deporte,16
T00_P2,0,1,tampico,102
T00_P2,0,2,seguir,64
T00_P2,0,3,tampicotecuida,57
T00_P2,0,4,excelente,55
T00_P2,0,5,gracias,27
T00_P2,0,6,oportunidad,25
T00_P2,0,7,impulsar,24
T00_P2,0,8,felicidades,19
T00_P2,0,9,equipo,17
T00_P2,0,10,salud,15
T00_P2,0,11,felicidad,15
T00_P2,0,12,deporte,13
T01_P1,1,1,dafne,33
T01_P1,1,2,gobernador,33
T01_P1,1,3,americo,32
T01_P1,1,4,justicia,24
T01_P1,1,5,zapata,19
T01_P1,1,6,exigir,12
T01_P1,1,7,abuela,11
T01_P1,1,8,laura,8
T01_P1,1,9,martinez,7
T01_P1,1,10,juana,6
T01_P1,1,11,pedir,5
T01_P1,1,12,voto,4
T01_P2,1,1,dafne,18
T01_P2,1,2,justicia,14
T01_P2,1,3,familia,12
T01_P2,1,4,investigacion,9
T01_P2,1,5,madre,7
T01_P2,1,6,pedir,5
T01_P2,1,7,mama,5
T01_P2,1,8,exigir,5
T01_P2,1,9,apoyo,5
T01_P2,1,10,alejandra,5
T01_P2,1,11,confianza,4
T01_P2,1,12,nieta,4
T02_P1,2,1,mexico,30
T02_P1,2,2,entrar,5
T02_P1,2,3,servicio,4
T02_P1,2,4,crecimiento,3
T02_P1,2,5,anunciar,3
T02_P1,2,6,victima,3
T02_P1,2,7,producto,3
T02_P1,2,8,directo,3
T02_P1,2,9,fiscal,3
T02_P1,2,10,fuerte,2
T02_P1,2,11,situacion,2
T02_P1,2,12,asesino,2
T03_P1,3,1,mujer,8
T03_P1,3,2,diputada,3
T03_P1,3,3,economico,3
T03_P1,3,4,energia,2
T03_P1,3,5,encuentro,2
T03_P1,3,6,patria,2
T03_P1,3,7,iniciativa,2
T03_P1,3,8,tierra,2
T03_P1,3,9,corazon,1
T03_P1,3,10,apoyar,1
T03_P1,3,11,agradecer,1
T03_P1,3,12,beneficiar,1
T04_P1,4,1,columna,24
T04_P1,4,2,quedar,19
T04_P1,4,3,mandar,14
T04_P1,4,4,noticias,14
T04_P1,4,5,buscar,13
T04_P1,4,6,conversacion,12
T04_P1,4,7,cartones,12
T04_P1,4,8,loultimo,12
T04_P1,4,9,resumen,12
T04_P1,4,10,informativo,12
T04_P1,4,11,newsletter,12
T04_P1,4,12,correo,12
T05_P1,5,1,deber,56
T05_P1,5,2,pasar,45
T05_P1,5,3,querer,41
T05_P1,5,4,pais,36
T05_P1,5,5,creer,29
T05_P1,5,6,corrupto,28
T05_P1,5,7,pueblo,27
T05_P1,5,8,dinero,24
T05_P1,5,9,salir,24
T05_P1,5,10,tren,24
T05_P1,5,11,caer,23
T05_P1,5,12,dejar,23
T05_P2,5,1,morena,61
T05_P2,5,2,lopez,30
T05_P2,5,3,narco,29
T05_P2,5,4,huachicol,24
T05_P2,5,5,cabeza,19
T05_P2,5,6,corrupto,18
T05_P2,5,7,rocha,18
T05_P2,5,8,moya,18
T05_P2,5,9,adan,16
T05_P2,5,10,mario,14
T05_P2,5,11,augusto,14
T05_P2,5,12,delgado,14
T06_P1,6,1,america,30
T06_P1,6,2,campeon,4
T06_P1,6,3,dedicacion,4
T06_P1,6,4,pequeno,4
T06_P1,6,5,orgullo,3
T06_P1,6,6,puebla,2
T06_P1,6,7,esfuerzo,2
T06_P1,6,8,representar,2
T06_P1,6,9,torre,2
T06_P1,6,10,conquistar,1
T06_P1,6,11,derechos,1
T06_P1,6,12,deportista,1
T07_P1,7,1,millon,13
T07_P1,7,2,hospital,10
T07_P1,7,3,pesos,10
T07_P1,7,4,atencion,6
T07_P1,7,5,bajar,5
T07_P1,7,6,inversion,5
T07_P1,7,7,superior,4
T07_P1,7,8,hidalgo,4
T07_P1,7,9,inaugurar,4
T07_P1,7,10,recuperar,3
T07_P1,7,11,necesidad,3
T07_P1,7,12,caminar,3
T08_P1,8,1,educacion,5
T08_P1,8,2,gonzalez,3
T08_P1,8,3,carlos,2
T08_P1,8,4,club,2
T08_P1,8,5,indicar,2
T08_P1,8,6,establecer,2
T08_P1,8,7,planta,2
T08_P1,8,8,profundo,2
T08_P1,8,9,ramirez,2
T08_P1,8,10,paquete,2
T08_P1,8,11,manifestar,2
T08_P1,8,12,mes,2
T09_P1,9,1,ano,13
T09_P1,9,2,futbol,11
T09_P1,9,3,gol,8
T09_P1,9,4,mundial,8
T09_P1,9,5,paz,8
T09_P1,9,6,asociacion,7
T09_P1,9,7,jugar,6
T09_P1,9,8,refineria,5
T09_P1,9,9,importante,4
T09_P1,9,10,estadio,4
T09_P1,9,11,hotel,4
T09_P1,9,12,junio,4
T10_P1,10,1,tamaulipas,138
T10_P1,10,2,julio,82
T10_P1,10,3,cdvictoria,55
T10_P1,10,4,altamira,49
T10_P1,10,5,reynosa,46
T10_P1,10,6,matamoros,44
T10_P1,10,7,antonio,30
T10_P1,10,8,nuevolaredo,30
T10_P1,10,9,sol,19
T10_P1,10,10,maria,17
T10_P1,10,11,riobravo,16
T10_P1,10,12,campos,16
T11_P1,11,1,completo,15
T11_P1,11,2,red,15
T11_P1,11,3,link,14
T11_P1,11,4,click,13
T11_P1,11,5,leer,13
T11_P1,11,6,dando,13
T11_P1,11,7,invitamos,13
T11_P1,11,8,web,13
T11_P1,11,9,nota,13
T11_P1,11,10,somoslared,12
T11_P1,11,11,estamosentodaspart,12
T11_P1,11,12,anaya,11
T12_P1,12,1,unidos,7
T12_P1,12,2,ruta,4
T12_P1,12,3,arbol,3
T12_P1,12,4,cualquiera,3
T12_P1,12,5,dependencia,1
T12_P1,12,6,educativo,1
T12_P1,12,7,comercio,1
T12_P1,12,8,comunicacion,1
T12_P1,12,9,institucional,1
T12_P1,12,10,falta,1
T12_P1,12,11,interno,1
T12_P1,12,12,mexicanos,1
T13_P1,13,1,local,9
T13_P1,13,2,medio,7
T13_P1,13,3,economia,5
T13_P1,13,4,solucion,3
T13_P1,13,5,entrega,2
T13_P1,13,6,fuero,2
T13_P1,13,7,abrir,2
T13_P1,13,8,poblacion,2
T13_P1,13,9,prensa,2
T13_P1,13,10,quitar,2
T13_P1,13,11,tercero,2
T13_P1,13,12,personaje,2
T14_P1,14,1,gobierno,31
T14_P1,14,2,claudia,8
T14_P1,14,3,laredo,8
T14_P1,14,4,texas,6
T14_P1,14,5,avila,4
T14_P1,14,6,cargo,4
T14_P1,14,7,cambio,4
T14_P1,14,8,judicial,4
