tema_id,sub_id,palabra,peso_lda,grado_in_sub,rank_in_sub
0,0,villarreal,0.0437,,0
0,0,monica,0.0569,,1
0,0,municipal,0.0091,,2
0,0,alcaldesa,0.0277,,3
0,0,deportiva,0.0111,,4
0,0,rehabilitacion,0.0056,,5
0,0,renovar,0.0056,,6
0,0,modernizacion,0.002,,7
0,1,tampicotecuida,0.0226,,0
0,1,excelente,0.0256,,1
0,1,gracias,0.0057,,2
0,1,salud,0.0068,,3
0,1,equipo,0.006,,4
0,1,felicidad,0.0105,,5
0,1,felicidades,0.0101,,6
0,1,favor,0.0033,,7
0,1,duda,0.003,,8
0,1,gracia,0.0035,,9
0,1,pilar,0.0045,,10
0,1,viva,0.0036,,11
0,1,vivar,0.0023,,12
0,2,deporte,0.0233,,0
0,2,nino,0.0068,,1
0,2,deportivo,0.0234,,2
0,2,turismo,0.0078,,3
0,2,evento,0.0102,,4
0,2,festival,0.0097,,5
0,2,organizacion,0.0044,,6
0,2,fomentar,0.004,,7
0,2,minibasquet,0.0062,,8
0,2,correcto,0.0018,,9
0,2,derrama,0.0023,,10
0,2,ninez,0.0035,,11
0,2,restaurante,0.0018,,12
0,3,seguir,0.0214,,0
0,3,impulsar,0.0293,,1
0,3,oportunidad,0.0165,,2
0,3,generar,0.0072,,3
0,3,mil,0.0027,,4
0,3,emprendedor,0.003,,5
0,4,centro,0.0076,,0
0,4,esperar,0.0054,,1
0,4,historico,0.0097,,2
0,4,entrada,0.0032,,3
0,4,auto,0.0032,,4
0,4,conductor,0.0027,,5
0,4,transformacion,0.0052,,6
0,4,margarita,0.0062,,7
0,5,clase,0.0041,,0
0,5,gratuito,0.0037,,1
0,5,regreso,0.0074,,2
0,5,ruiz,0.0025,,3
0,5,precio,0.0031,,4
1,0,dafne,0.0479,,0
1,0,justicia,0.0324,,1
1,0,investigacion,0.0119,,2
1,0,exigir,0.0183,,3
1,0,zapata,0.0104,,4
1,0,abuela,0.0155,,5
1,0,fallecer,0.0023,,6
1,0,resolucion,0.0016,,7
1,0,localmartes,0.0016,,8
1,1,familia,0.0197,,0
1,1,recibir,0.0071,,1
1,1,ofrecer,0.0042,,2
1,1,reconocimiento,0.004,,3
1,1,luz,0.0032,,4
1,1,premio,0.0032,,5
1,1,adriana,0.0037,,6
1,1,sensibilidad,0.0032,,7
1,1,tonantzin,0.0032,,8
1,1,merecido,0.0032,,9
1,1,felicitar,0.0025,,10
1,2,gobernador,0.0275,,0
1,2,americo,0.0218,,1
1,2,mandatario,0.004,,2
1,2,tamaulipeco,0.003,,3
1,2,ingreso,0.0056,,4
1,2,marcha,0.0046,,5
1,2,sorgo,0.0047,,6
1,3,madre,0.0073,,0
1,3,mama,0.0042,,1
1,3,alejandra,0.0038,,2
1,3,nieta,0.0065,,3
1,3,obtener,0.0028,,4
1,3,respaldar,0.0024,,5
1,3,esclarecer,0.0023,,6
1,3,amor,0.0016,,7
1,3,pendiente,0.0029,,8
1,3,impune,0.0016,,9
1,3,eliminar,0.0016,,10
1,3,tragedia,0.0024,,11
1,4,apoyo,0.0088,,0
1,4,pesca,0.0024,,1
1,4,pleno,0.0022,,2
1,4,pescador,0.0049,,3
1,4,beneficiario,0.0024,,4
1,4,despensa,0.0024,,5
1,4,veda,0.0032,,6
1,5,ley,0.0062,,0
1,5,aplicar,0.004,,1
1,5,peso,0.0038,,2
1,5,genero,0.002,,3
1,5,zaragoza,0.0013,,4
1,6,martinez,0.0068,,0
1,6,laura,0.0073,,1
1,6,juana,0.0057,,2
1,7,pedir,0.0107,,0
1,7,republica,0.0035,,1
1,7,perder,0.0024,,2
1,7,busca,0.0012,,3
1,8,respuesta,0.0029,,0
1,8,confianza,0.0048,,1
1,8,voto,0.0044,,2
1,8,pertenecer,0.0036,,3
2,0,victima,0.0084,,0
2,0,situacion,0.0085,,1
2,0,hija,0.0053,,2
2,0,aclarar,0.0032,,3
2,0,directo,0.006,,4
2,0,asesino,0.0028,,5
2,0,ampliar,0.0053,,6
2,0,pago,0.0042,,7
2,0,evidencia,0.0021,,8
2,0,mayo,0.0031,,9
2,0,negar,0.0021,,10
2,0,cuanto,0.0011,,11
2,0,ala,0.0021,,12
2,0,afectado,0.002,,13
2,0,celebrado,0.0018,,14
2,0,secuestro,0.0021,,15
2,0,domicilio,0.0016,,16
2,1,producto,0.0044,,0
2,1,plan,0.0052,,1
2,1,objetivo,0.0028,,2
2,1,entrar,0.0032,,3
2,1,intencion,0.0021,,4
2,1,feria,0.0026,,5
2,1,cadena,0.0021,,6
2,1,mercado,0.0032,,7
2,1,amplio,0.0021,,8
2,1,sed,0.004,,9
2,1,marca,0.0021,,10
2,1,proveedor,0.0021,,11
2,1,dividido,0.001,,12
2,2,fiscal,0.0116,,0
2,2,atender,0.0049,,1
2,2,oficina,0.0079,,2
2,2,tramite,0.0059,,3
2,2,generacion,0.0032,,4
2,2,detallar,0.0021,,5
2,2,renovacion,0.0029,,6
2,2,inscripcion,0.0034,,7
2,2,cita,0.0023,,8
2,3,mexico,0.0188,,0
2,3,categoria,0.0067,,1
2,3,previo,0.0019,,2
2,3,competencia,0.0031,,3
2,3,coahuila,0.0031,,4
2,3,campeonato,0.0021,,5
2,3,lamentar,0.0011,,6
2,4,san,0.0052,,0
2,4,crecimiento,0.0032,,1
2,4,especial,0.004,,2
2,4,presencia,0.002,,3
2,4,significar,0.0021,,4
2,4,valle,0.0028,,5
2,4,fernando,0.0021,,6
2,4,tijuana,0.0021,,7
2,5,jueves,0.0066,,0
2,5,golfo,0.0051,,1
2,5,afectar,0.0051,,2
2,5,costa,0.0052,,3
2,5,vigilancia,0.0039,,4
2,5,amenaza,0.0021,,5
2,5,expectativa,0.0011,,6
2,5,fractura,0.0011,,7
2,6,servicio,0.0124,,0
2,6,fuerte,0.0045,,1
2,6,meteorologico,0.0041,,2
2,6,viento,0.0021,,3
2,6,constante,0.0011,,4
2,7,producir,0.0032,,0
2,7,anunciar,0.003,,1
2,7,electrico,0.0032,,2
2,7,dolares,0.0035,,3
3,0,pardo,0.0039,,0
3,0,iniciativa,0.0056,,1
3,0,impulsado,0.0066,,2
3,0,encuentro,0.0061,,3
3,0,patria,0.0031,,4
3,0,sostenible,0.0016,,5
3,1,responsable,0.0053,,0
3,1,tomar,0.0031,,1
3,1,decision,0.0039,,2
3,1,originario,0.0016,,3
3,1,tecnologia,0.0035,,4
3,2,apoyar,0.0042,,0
3,2,direccion,0.0027,,1
3,2,corazon,0.0043,,2
3,2,plaza,0.0047,,3
3,2,energia,0.0031,,4
3,2,lleno,0.0022,,5
3,3,olga,0.0036,,0
3,3,sosa,0.0026,,1
3,3,senadora,0.0037,,2
3,3,gloria,0.0016,,3
3,3,absoluto,0.0016,,4
3,4,testigo,0.0024,,0
3,4,aparecer,0.0016,,1
3,4,posicion,0.0023,,2
3,4,autorizacion,0.0024,,3
3,4,preparacion,0.0019,,4
3,4,plazo,0.0024,,5
3,4,apostar,0.0016,,6
3,4,omar,0.0016,,7
3,5,garcia,0.0058,,0
3,5,agradecer,0.0031,,1
3,5,tierra,0.0035,,2
3,5,zacil,0.0023,,3
3,5,beneficiar,0.0037,,4
3,6,mujer,0.0078,,0
3,6,venir,0.0022,,1
3,6,presente,0.0025,,2
3,6,diputada,0.0022,,3
3,7,participacion,0.0032,,0
3,7,promover,0.003,,1
3,7,roberto,0.0024,,2
3,7,pese,0.0024,,3
3,7,clave,0.0013,,4
3,8,economico,0.0055,,0
3,8,herramienta,0.0026,,1
3,8,aprovechar,0.0024,,2
3,8,competitivo,0.0016,,3
4,0,comenzar,0.0079,,0
4,0,terminar,0.0032,,1
4,0,guardia,0.0048,,2
4,0,combustible,0.0048,,3
4,0,organizado,0.0021,,4
4,0,clandestino,0.0037,,5
4,0,pemex,0.0025,,6
4,0,cuento,0.0023,,7
4,0,delincuencia,0.0017,,8
4,0,hidrocarburo,0.0037,,9
4,0,decada,0.0025,,10
4,0,ortega,0.0034,,11
4,0,practica,0.0025,,12
4,0,abusar,0.0037,,13
4,0,importacion,0.0025,,14
4,0,checar,0.0013,,15
4,0,robo,0.0013,,16
4,0,expediente,0.0034,,17
4,0,appel,0.0025,,18
4,0,lavado,0.0013,,19
4,0,terreno,0.0025,,20
4,0,contrabando,0.0024,,21
4,0,pagina,0.0013,,22
4,0,cantidad,0.0013,,23
4,0,drenaje,0.0049,,24
4,1,casa,0.0098,,0
4,1,responsabilidad,0.0099,,1
4,1,emitir,0.0099,,2
4,1,expresion,0.0096,,3
4,1,libertad,0.0099,,4
4,1,articulo,0.011,,5
4,1,editorial,0.0099,,6
4,1,respetar,0.0099,,7
4,1,opinion,0.011,,8
4,1,vertido,0.0099,,9
4,1,sexenio,0.0013,,10
4,2,buscar,0.0084,,0
4,2,ganar,0.0059,,1
4,2,fuerza,0.0044,,2
4,2,empresa,0.0062,,3
4,2,funcionario,0.0021,,4
4,2,organismo,0.0029,,5
4,2,involucrado,0.0038,,6
4,2,proyectar,0.005,,7
4,2,basico,0.0033,,8
4,2,talento,0.0082,,9
4,2,unicamente,0.0015,,10
4,2,transparencia,0.0035,,11
4,2,futbolista,0.0036,,12
4,2,corona,0.0049,,13
4,2,culminar,0.0037,,14
4,2,minibasket,0.0037,,15
4,2,dedicado,0.0013,,16
4,2,camioneta,0.0013,,17
4,2,volar,0.0036,,18
4,2,falla,0.0013,,19
4,3,quedar,0.0174,,0
4,3,mandar,0.016,,1
4,3,conversacion,0.0148,,2
4,3,correo,0.0148,,3
4,3,resumen,0.0148,,4
4,3,informativo,0.0159,,5
4,3,prometer,0.0021,,6
4,4,columna,0.0337,,0
4,4,noticias,0.0195,,1
4,4,cartones,0.0148,,2
4,4,loultimo,0.0148,,3
4,4,newsletter,0.0148,,4
4,5,tour,0.0094,,0
4,5,francia,0.0092,,1
4,5,toro,0.0068,,2
4,5,tercer,0.0049,,3
4,5,logro,0.0027,,4
4,5,isaac,0.0043,,5
5,0,morena,0.0153,,0
5,0,lopez,0.0071,,1
5,0,narco,0.0057,,2
5,0,rocha,0.0053,,3
5,0,moya,0.0046,,4
5,0,mario,0.0035,,5
5,0,adan,0.0043,,6
5,0,delgado,0.0034,,7
5,0,augusto,0.004,,8
5,0,criminal,0.0035,,9
5,0,andy,0.0041,,10
5,0,beltran,0.0029,,11
5,0,cabeza,0.0018,,12
5,0,hermano,0.0025,,13
5,0,movimiento,0.0019,,14
5,0,libre,0.0018,,15
5,0,falso,0.0025,,16
5,0,inzunza,0.0016,,17
5,0,durazo,0.0016,,18
5,1,deber,0.0126,,0
5,1,creer,0.0063,,1
5,1,nina,0.0045,,2
5,1,hijo,0.0037,,3
5,1,crimen,0.0027,,4
5,1,meter,0.0036,,5
5,1,mayoria,0.0021,,6
5,1,oposicion,0.0027,,7
5,1,matar,0.0018,,8
5,1,suceder,0.0018,,9
5,1,comprar,0.0019,,10
5,1,golpear,0.0018,,11
5,1,castigar,0.0012,,12
5,1,regimen,0.0017,,13
5,2,pais,0.0093,,0
5,2,pasar,0.008,,1
5,2,pueblo,0.0053,,2
5,2,hablar,0.0059,,3
5,2,tocar,0.0026,,4
5,2,morenista,0.0019,,5
5,2,tren,0.0022,,6
5,2,presidencia,0.0016,,7
5,2,aparte,0.0013,,8
5,3,culpable,0.0071,,0
5,3,detener,0.0048,,1
5,3,carcel,0.0056,,2
5,3,cara,0.0031,,3
5,3,agarrar,0.0035,,4
5,3,inocente,0.0036,,5
5,3,actuar,0.0024,,6
5,3,dificil,0.0019,,7
5,3,chivo,0.0016,,8
5,3,facil,0.0019,,9
5,3,expiatorio,0.0015,,10
5,4,querer,0.0101,,0
5,4,salir,0.0064,,1
5,4,dinero,0.0069,,2
5,4,mal,0.0033,,3
5,4,resultar,0.0037,,4
5,4,supuesto,0.0015,,5
5,4,culpar,0.0024,,6
5,4,asesinato,0.0018,,7
5,5,corrupto,0.0109,,0
5,5,pan,0.0033,,1
5,5,peor,0.0038,,2
5,5,pri,0.0027,,3
5,5,bola,0.0028,,4
5,5,rata,0.0034,,5
5,5,prian,0.0032,,6
5,5,ratero,0.0016,,7
5,5,mentiroso,0.0015,,8
5,5,inepto,0.0012,,9
5,5,rey,0.0015,,10
5,6,parecer,0.0035,,0
5,6,problema,0.0033,,1
5,6,corrupcion,0.0029,,2
5,6,gustar,0.0041,,3
5,6,senor,0.0032,,4
5,6,acabar,0.0021,,5
5,6,malo,0.0026,,6
5,6,miedo,0.0015,,7
5,6,pendejo,0.0022,,8
5,6,aceptar,0.0016,,9
5,6,titere,0.0013,,10
5,7,dejar,0.0063,,0
5,7,claro,0.0048,,1
5,7,informacion,0.0035,,2
5,7,cartel,0.0037,,3
5,7,proteger,0.0028,,4
5,7,caer,0.0037,,5
5,7,trump,0.0022,,6
5,8,huachicol,0.0074,,0
5,8,ruffo,0.0051,,1
5,8,ernesto,0.0031,,2
5,8,maximo,0.002,,3
5,8,preso,0.0022,,4
5,8,ojo,0.0011,,5
5,8,perseguir,0.0013,,6
5,9,puro,0.0064,,0
5,9,cosa,0.0049,,1
5,9,alguien,0.003,,2
5,9,delincuente,0.0038,,3
5,9,mentira,0.0025,,4
5,9,lamentable,0.0016,,5
5,9,mero,0.0019,,6
5,9,mediocre,0.0014,,7
5,10,ojala,0.005,,0
5,10,amlo,0.0041,,1
5,10,robar,0.0035,,2
5,10,pensar,0.0026,,3
5,10,aduana,0.0022,,4
5,10,razon,0.0017,,5
5,10,ahorita,0.0015,,6
5,10,eeuu,0.0015,,7
5,11,obrador,0.0028,,0
5,11,sedena,0.0016,,1
5,11,votar,0.0023,,2
5,11,impunidad,0.0018,,3
5,11,calderon,0.0015,,4
5,11,costar,0.0014,,5
5,12,empezar,0.004,,0
5,12,serio,0.0021,,1
5,12,echar,0.0013,,2
5,12,poderoso,0.0019,,3
6,0,pequeno,0.0041,,0
6,0,campeon,0.0064,,1
6,0,beisbol,0.007,,2
6,0,serie,0.0044,,3
6,0,america,0.0044,,4
6,0,conquistar,0.0026,,5
6,0,voz,0.0017,,6
6,0,puebla,0.0018,,7
6,0,querido,0.002,,8
6,0,yucatan,0.0033,,9
6,0,proponer,0.0018,,10
6,0,juego,0.0018,,11
6,0,dominar,0.0018,,12
6,0,campeche,0.0017,,13
6,1,acuerdo,0.0044,,0
6,1,carretera,0.0069,,1
6,1,estrategia,0.0053,,2
6,1,cierre,0.006,,3
6,1,acceso,0.0051,,4
6,1,reforzar,0.0034,,5
6,1,encuesta,0.0027,,6
6,2,esfuerzo,0.0098,,0
6,2,orgullo,0.0051,,1
6,2,dedicacion,0.0027,,2
6,2,detras,0.0018,,3
6,2,deportista,0.0078,,4
6,2,amigo,0.0037,,5
6,2,medalla,0.0043,,6
6,2,hectarea,0.0024,,7
6,3,produccion,0.0044,,0
6,3,enfrentar,0.0034,,1
6,3,productor,0.0039,,2
6,3,costo,0.0043,,3
6,3,panorama,0.0018,,4
6,3,reduccion,0.0032,,5
6,3,pagado,0.0018,,6
6,3,locallunes,0.0026,,7
6,4,construccion,0.0101,,0
6,4,instalacion,0.0038,,1
6,4,torre,0.0027,,2
6,4,otorgar,0.0026,,3
6,4,licencia,0.0018,,4
6,4,marino,0.0019,,5
6,5,violencia,0.0025,,0
6,5,derechos,0.0039,,1
6,5,humanos,0.0024,,2
6,5,integrante,0.0021,,3
6,5,especialmente,0.0025,,4
6,6,representar,0.0041,,0
6,6,formar,0.0044,,1
6,6,frontera,0.0049,,2
7,0,millon,0.0176,,0
7,0,pesos,0.0136,,1
7,0,inversion,0.0092,,2
7,0,superior,0.0041,,3
7,0,gira,0.0034,,4
7,0,distancia,0.0018,,5
7,1,atencion,0.0074,,0
7,1,victoria,0.0077,,1
7,1,inaugurar,0.007,,2
7,1,recuperar,0.0036,,3
7,1,guadalupe,0.0078,,4
7,1,col,0.0043,,5
7,1,cancha,0.0069,,6
7,1,presumir,0.0018,,7
7,2,tienda,0.0045,,0
7,2,fuente,0.0041,,1
7,2,tiendas,0.0057,,2
7,2,bara,0.0057,,3
7,2,cuantos,0.0017,,4
7,2,franquicia,0.0022,,5
7,2,traer,0.0033,,6
7,2,laboral,0.0017,,7
7,3,natural,0.0044,,0
7,3,electricidad,0.0035,,1
7,3,energetico,0.0026,,2
7,3,necesidad,0.003,,3
7,3,soberania,0.0035,,4
7,3,extorsion,0.0026,,5
7,3,consumir,0.0018,,6
7,3,activo,0.0018,,7
7,3,relacion,0.0018,,8
7,4,hospital,0.0082,,0
7,4,hidalgo,0.0046,,1
7,4,nieto,0.0035,,2
7,4,consulta,0.0043,,3
7,4,diciembre,0.0018,,4
7,4,cruzar,0.0026,,5
7,4,practicamente,0.0017,,6
7,4,circular,0.0018,,7
7,5,diario,0.0026,,0
7,5,alla,0.0026,,1
7,5,bajar,0.0021,,2
7,5,caminar,0.0024,,3
7,5,aplicacion,0.0035,,4
7,6,preguntar,0.0018,,0
7,6,abierto,0.0018,,1
7,6,diferencia,0.0017,,2
8,0,indicar,0.0054,,0
8,0,educacion,0.0086,,1
8,0,establecer,0.0051,,2
8,0,escolar,0.0068,,3
8,0,sitio,0.0024,,4
8,0,ciclo,0.0032,,5
8,0,garantizar,0.0033,,6
8,0,detectar,0.0025,,7
8,0,normal,0.0026,,8
8,0,agregar,0.0017,,9
8,0,alternativa,0.0017,,10
8,0,supervisar,0.0017,,11
8,1,periodo,0.0097,,0
8,1,visitante,0.0048,,1
8,1,alcalde,0.004,,2
8,1,vacacional,0.0051,,3
8,1,cifra,0.0039,,4
8,1,comparacion,0.0034,,5
8,1,turista,0.0037,,6
8,1,visitar,0.0035,,7
8,1,profundo,0.0017,,8
8,2,gonzalez,0.0046,,0
8,2,regional,0.0022,,1
8,2,carlos,0.0036,,2
8,2,alcance,0.0022,,3
8,2,ramirez,0.0033,,4
8,2,paquete,0.0035,,5
8,3,mantener,0.0091,,0
8,3,empresario,0.0066,,1
8,3,aumentar,0.0072,,2
8,3,oferta,0.0034,,3
8,4,venta,0.0081,,0
8,4,vender,0.0045,,1
8,4,comerciante,0.0051,,2
8,4,litro,0.0043,,3
8,4,fresco,0.0035,,4
8,5,informar,0.0096,,0
8,5,manifestar,0.0026,,1
8,5,interes,0.0033,,2
8,5,companero,0.0039,,3
8,5,lesionado,0.0026,,4
8,5,convenir,0.0017,,5
8,5,acordar,0.0014,,6
8,6,alcanzar,0.0026,,0
8,6,numero,0.0033,,1
8,6,club,0.0043,,2
8,6,temporada,0.0044,,3
8,6,actual,0.0026,,4
8,6,reciente,0.0022,,5
8,7,mes,0.0066,,0
8,7,contratacion,0.0021,,1
8,7,mariela,0.0049,,2
8,7,macay,0.0049,,3
8,8,administracion,0.0031,,0
8,8,resolver,0.0026,,1
8,8,establecimiento,0.0042,,2
8,8,blanco,0.0031,,3
8,8,motocicleta,0.0031,,4
8,8,vehicular,0.0012,,5
8,9,sur,0.0081,,0
8,9,reportar,0.0026,,1
8,9,impactar,0.0024,,2
8,9,eduardo,0.0013,,3
8,9,gestion,0.003,,4
8,10,planta,0.0017,,0
8,10,listo,0.0014,,1
8,10,facilitar,0.0017,,2
9,0,ano,0.0213,,0
9,0,demanda,0.0051,,1
9,0,ninos,0.0075,,2
9,0,heroes,0.0076,,3
9,0,junio,0.0026,,4
9,0,privada,0.0034,,5
9,0,espera,0.0041,,6
9,0,habitante,0.0024,,7
9,0,responder,0.0043,,8
9,0,impulso,0.0039,,9
9,0,industrial,0.0034,,10
9,1,liga,0.0139,,0
9,1,estadio,0.0101,,1
9,1,apertura,0.0092,,2
9,1,expansion,0.005,,3
9,1,arranque,0.006,,4
9,1,jugar,0.0022,,5
9,1,mostrar,0.0043,,6
9,1,dividir,0.0041,,7
9,1,triunfo,0.0016,,8
9,1,hector,0.0026,,9
9,2,futbol,0.0104,,0
9,2,brava,0.0085,,1
9,2,jaiba,0.0085,,2
9,2,empatar,0.0043,,3
9,2,jugador,0.0042,,4
9,2,piratas,0.0051,,5
9,2,gol,0.0049,,6
9,2,presentacion,0.0017,,7
9,2,gerardo,0.0026,,8
9,3,jesus,0.0041,,0
9,3,cruz,0.0051,,1
9,3,tecnico,0.0039,,2
9,3,torres,0.0034,,3
9,3,campo,0.0024,,4
9,3,alberto,0.004,,5
9,3,esquema,0.0033,,6
9,3,division,0.0034,,7
9,3,profesional,0.0026,,8
9,4,importante,0.0059,,0
9,4,mundial,0.0043,,1
9,4,torneo,0.0043,,2
9,4,visita,0.0026,,3
9,4,afuera,0.0017,,4
9,4,adelantar,0.0017,,5
9,4,representacion,0.0017,,6
9,4,preocupacion,0.0017,,7
9,4,gabinete,0.0023,,8
9,5,paz,0.0059,,0
9,5,minuto,0.0041,,1
9,5,territorio,0.0017,,2
9,5,vista,0.0026,,3
9,5,jose,0.0025,,4
9,5,hotel,0.0051,,5
9,6,mexicana,0.0042,,0
9,6,decidir,0.0028,,1
9,6,asociacion,0.0051,,2
9,6,federacion,0.0041,,3
9,6,imagen,0.0041,,4
9,7,unir,0.003,,0
9,7,innovacion,0.0041,,1
9,7,firma,0.0041,,2
9,7,tecnologica,0.0033,,3
9,8,cerrar,0.003,,0
9,8,siquiera,0.0017,,1
9,8,refineria,0.0061,,2
9,8,operativo,0.0026,,3
9,8,concentrar,0.0022,,4
9,8,sonar,0.0015,,5
10,0,reynosa,0.0317,,0
10,0,matamoros,0.0286,,1
10,0,cdvictoria,0.0256,,2
10,0,nuevolaredo,0.0262,,3
10,0,riobravo,0.0159,,4
10,0,vallehermoso,0.0103,,5
10,0,ciudadmadero,0.0089,,6
10,0,cdmx,0.006,,7
10,0,ciudadvictoria,0.0066,,8
10,0,elmante,0.0077,,9
10,0,nuevoleon,0.0073,,10
10,1,julio,0.0308,,0
10,1,antonio,0.0121,,1
10,1,iniciar,0.0043,,2
10,1,maria,0.0098,,3
10,1,campos,0.0092,,4
10,1,sol,0.0079,,5
10,1,macias,0.0068,,6
10,1,localsabado,0.0053,,7
10,1,localmiercoles,0.0026,,8
10,2,tamaulipas,0.0544,,0
10,2,jornada,0.0134,,1
10,2,sistema,0.0073,,2
10,2,incluir,0.0017,,3
10,2,exigencia,0.0022,,4
10,2,cercano,0.005,,5
10,3,temperatura,0.014,,0
10,3,ambiente,0.0059,,1
10,3,tarde,0.0061,,2
10,3,grado,0.0102,,3
10,3,lluvia,0.0066,,4
10,3,prever,0.0057,,5
10,3,sensacion,0.0046,,6
10,3,intenso,0.0033,,7
10,3,termico,0.0046,,8
10,3,pronostico,0.0038,,9
10,4,altamira,0.0273,,0
10,4,prision,0.011,,1
10,4,preventivo,0.01,,2
10,4,dictar,0.0039,,3
10,4,probable,0.0019,,4
10,5,alto,0.0067,,0
10,5,registrar,0.0054,,1
10,5,leon,0.006,,2
10,5,monterrey,0.0038,,3
10,5,manuel,0.0027,,4
10,5,suspension,0.0022,,5
10,5,raul,0.0027,,6
