id_global,tema_id,sub_id,hex_color,n_palabras,n_aristas,densidad,peso_total,nombre_subtema
T00_S00,0,0,#1f77b4,9,30,0.833,64.0,"Secretario, reunion, recursos, hidraulicos"
T00_S01,0,1,#1f77b4,7,15,0.714,57.0,"Maria, macias, cuyo, estacionamiento"
T00_S02,0,2,#1f77b4,9,23,0.639,45.0,"Venta, escenario, restaurante, cultura"
T00_S03,0,3,#1f77b4,7,13,0.619,37.0,"Situacion, titular, perdida, comunicacion"
T00_S04,0,4,#1f77b4,9,22,0.611,35.0,"Integrante, decidir, expectativa, ganado"
T00_S05,0,5,#1f77b4,7,13,0.619,32.0,"Sector, empresarial, panorama, sello"
T00_S06,0,6,#1f77b4,5,8,0.8,27.0,"Revisar, cadena, elevar, revision"
T00_S07,0,7,#1f77b4,4,4,0.667,9.0,"Administracion, plan, establecimiento, yucatan"
T00_S08,0,8,#1f77b4,4,5,0.833,8.0,"Requerir, suministro, invertir, inmobiliario"
T01_S00,1,0,#ff7f0e,6,12,0.8,129.0,"Millon, pesos, inversion, informe"
T01_S01,1,1,#ff7f0e,8,16,0.571,63.0,"Iniciar, compartir, mexicana, dif"
T01_S02,1,2,#ff7f0e,5,9,0.9,52.0,"Proyecto, construccion, estrategico, otorgar"
T01_S03,1,3,#ff7f0e,9,16,0.444,50.0,"Importante, formar, encargado, conectar"
T01_S04,1,4,#ff7f0e,9,20,0.556,49.0,"Norte, grupo, radio, pronto"
T01_S05,1,5,#ff7f0e,4,6,1.0,30.0,"Region, fronterizo, kilometro, noreste"
T01_S06,1,6,#ff7f0e,5,6,0.6,29.0,"Seguro, estacion, contemplar, comun"
T01_S07,1,7,#ff7f0e,5,10,1.0,29.0,"Sumar, agradecer, actuacion, actor"
T02_S00,2,0,#2ca02c,10,28,0.622,156.0,"Nacional, evento, nivel, consolidar"
T02_S01,2,1,#2ca02c,15,46,0.438,145.0,"Presidente, torre, octavio, tren"
T02_S02,2,2,#2ca02c,8,17,0.607,83.0,"Turistico, visitante, gonzalez, destino"
T02_S03,2,3,#2ca02c,12,36,0.545,82.0,"Mes, cuidar, volver, forma"
T02_S04,2,4,#2ca02c,14,39,0.429,59.0,"Estrategia, imagen, identificar, brindar"
T02_S05,2,5,#2ca02c,6,13,0.867,40.0,"Comercial, plaza, diverso, aumentar"
T02_S06,2,6,#2ca02c,8,18,0.643,34.0,"Puerto, identidad, trabajador, sabor"
T02_S07,2,7,#2ca02c,6,8,0.533,26.0,"Senalar, funcionario, activo, cabe"
T02_S08,2,8,#2ca02c,6,8,0.533,17.0,"Delgado, aduana, emprender, impuesto"
T03_S00,3,0,#d62728,8,22,0.786,113.0,"Doenitz, presunto, violencia, ocurrido"
T03_S01,3,1,#d62728,15,48,0.457,92.0,"Abrir, llamado, sentir, gustar"
T03_S02,3,2,#d62728,11,32,0.582,80.0,"Video, carpeta, cdmx, comentario"
T03_S03,3,3,#d62728,10,34,0.756,71.0,"Suceder, favor, dolor, miedo"
T03_S04,3,4,#d62728,8,17,0.607,70.0,"Mensaje, retiro, profesional, ochoa"
T03_S05,3,5,#d62728,5,6,0.6,63.0,"Madre, muerte, amenaza, morelos"
T03_S06,3,6,#d62728,8,16,0.571,25.0,"Expresar, doctor, practicamente, visita"
T03_S07,3,7,#d62728,7,12,0.571,19.0,"Fisico, voz, psicologico, mecanismo"
T04_S00,4,0,#9467bd,12,48,0.727,144.0,"Asegurar, elemento, federal, carretera"
T04_S01,4,1,#9467bd,7,17,0.81,75.0,"Pasar, denunciar, familiar, homicidio"
T04_S02,4,2,#9467bd,10,24,0.533,72.0,"Ley, derecho, pena, protocolo"
T04_S03,4,3,#9467bd,11,27,0.491,63.0,"Comenzar, historia, acompanar, abril"
T04_S04,4,4,#9467bd,6,14,0.933,59.0,"Delito, detener, relacionado, judicial"
T04_S05,4,5,#9467bd,7,13,0.619,50.0,"Proceso, determinar, legal, vigente"
T04_S06,4,6,#9467bd,6,12,0.8,37.0,"Informar, indicar, declarar, marca"
T04_S07,4,7,#9467bd,7,15,0.714,23.0,"Enfrentar, resultar, extradicion, cambio"
T04_S08,4,8,#9467bd,5,6,0.6,21.0,"Control, juez, ilegal, lleno"
T04_S09,4,9,#9467bd,3,3,1.0,13.0,"Cabeza, vaca, negar"
T05_S00,5,0,#8c564b,9,32,0.889,164.0,"Militarizado, secretaria, educacion, formacion"
T05_S01,5,1,#8c564b,9,31,0.861,76.0,"Resultado, poblacion, unicamente, promedio"
T05_S02,5,2,#8c564b,5,7,0.7,43.0,"Voto, martinez, laura, juana"
T05_S03,5,3,#8c564b,6,10,0.667,41.0,"Autoridad, inmediato, supervision, oficina"
T05_S04,5,4,#8c564b,8,18,0.643,33.0,"Recordar, tratar, fallecer, escribir"
T05_S05,5,5,#8c564b,7,11,0.524,31.0,"Dia, terminar, presentacion, facultad"
T05_S06,5,6,#8c564b,3,3,1.0,28.0,"Institucion, plantel, agresion"
T05_S07,5,7,#8c564b,4,5,0.833,23.0,"Encontrar, medio, real, documentar"
T05_S08,5,8,#8c564b,4,5,0.833,16.0,"Afirmar, entrevista, comision, grave"
T05_S09,5,9,#8c564b,5,6,0.6,14.0,"Ingresar, instituto, modelo, verificar"
T06_S00,6,0,#e377c2,11,36,0.655,178.0,"Escuela, militar, nina, disciplina"
T06_S01,6,1,#e377c2,9,23,0.639,94.0,"Querer, culpable, carcel, viejo"
T06_S02,6,2,#e377c2,6,14,0.933,85.0,"Deber, hijo, ojala, meter"
T06_S03,6,3,#e377c2,7,19,0.905,68.0,"Director, ponce, alumno, abusar"
T06_S04,6,4,#e377c2,10,32,0.711,61.0,"Asesino, muerto, matar, inocente"
T06_S05,6,5,#e377c2,7,17,0.81,47.0,"Entender, cosa, alguien, pobre"
T06_S06,6,6,#e377c2,9,25,0.694,43.0,"Colegio, mando, maldito, castigar"
T06_S07,6,7,#e377c2,7,16,0.762,39.0,"Campamento, derechos, hijos, triste"
T06_S08,6,8,#e377c2,5,8,0.8,29.0,"Dejar, nombre, lamentable, inepto"
T06_S09,6,9,#e377c2,4,6,1.0,28.0,"Victima, existir, mal, ensenar"
T06_S10,6,10,#e377c2,5,9,0.9,21.0,"Senora, cerrar, aplicar, causar"
T06_S11,6,11,#e377c2,3,3,1.0,14.0,"Investigar, mano, culpa"
T06_S12,6,12,#e377c2,4,6,1.0,11.0,"Hija, inscribir, torturar, abuelita"
T07_S00,7,0,#7f7f7f,6,13,0.867,364.0,"Villarreal, monica, anaya, alcaldesa"
