tema_id,n_terminos,top_20_terminos,coherencia_tema_cv,calidad_tema,visible_por_defecto,titulo_curado,resumen_curado,motivo_calidad,curacion_manual
0,67,"maria(0.008), situacion(0.007), macias(0.007), sector(0.006), secretario(0.005), escenario(0.005), analisismartes(0.005), venta(0.004), plan(0.004), cuyo(0.004), administracion(0.004), analisislunes(0.004), reunion(0.004), empresarial(0.004), cultura(0.004), titular(0.004), hidraulicos(0.004), recursos(0.004), ganado(0.004), salida(0.003)",0.4641,alta,True,,,coherencia c_v,False
1,53,"pesos(0.017), millon(0.011), proyecto(0.009), inversion(0.009), construccion(0.009), region(0.008), estacion(0.006), grupo(0.005), dif(0.004), importante(0.004), formar(0.004), iniciar(0.004), seguro(0.004), cmic(0.004), radio(0.004), agradecer(0.004), norte(0.004), periodo(0.004), sumar(0.003), compartir(0.003)",0.3014,media,True,,,coherencia c_v,False
2,85,"nacional(0.018), puerto(0.012), nivel(0.010), evento(0.009), presidente(0.008), comercial(0.007), visitante(0.007), turistico(0.007), barda(0.007), senalar(0.007), plaza(0.006), estrategia(0.006), aduana(0.006), torre(0.005), octavio(0.005), volver(0.005), canaco(0.005), firma(0.004), jaibo(0.004), identidad(0.004)",0.3498,media,True,,,coherencia c_v,False
3,72,"doenitz(0.018), cdmx(0.011), carpeta(0.009), muerte(0.008), madre(0.008), favor(0.007), dolor(0.007), video(0.006), presunto(0.006), gustar(0.006), doctor(0.006), fisico(0.005), suceder(0.005), frente(0.005), sentir(0.005), miedo(0.005), diversion(0.004), tijuana(0.004), retiro(0.004), aprovechar(0.004)",0.4834,alta,True,,,coherencia c_v,False
4,74,"comenzar(0.013), delito(0.013), proceso(0.011), asegurar(0.010), ley(0.009), derecho(0.009), pasar(0.007), arma(0.007), informar(0.007), juez(0.006), pena(0.006), fuego(0.006), judicial(0.006), familiar(0.005), fgr(0.005), control(0.005), elemento(0.005), federal(0.005), denunciar(0.005), detener(0.004)",0.3237,media,True,,,coherencia c_v,False
5,60,"militarizado(0.013), secretaria(0.011), institucion(0.010), educacion(0.009), autoridad(0.007), dia(0.007), sep(0.007), encontrar(0.006), publica(0.005), detectar(0.005), plantel(0.005), afirmar(0.005), resultado(0.005), permiso(0.004), laura(0.004), martinez(0.004), medio(0.004), recordar(0.004), poblacion(0.004), terminar(0.004)",0.3463,media,True,,,coherencia c_v,False
6,89,"deber(0.012), escuela(0.012), nina(0.009), culpable(0.009), hija(0.009), padre(0.008), querer(0.008), dejar(0.008), hijo(0.007), victima(0.006), militar(0.006), director(0.006), campamento(0.006), mal(0.005), disciplina(0.005), asesino(0.005), existir(0.005), senora(0.005), entender(0.005), ojala(0.005)",0.57,alta,True,,,coherencia c_v,False
7,60,"tampico(0.051), villarreal(0.044), monica(0.036), cdvictoria(0.016), bienestar(0.014), alcaldesa(0.014), jornada(0.009), leer(0.009), vida(0.008), anaya(0.007), nota(0.007), inaugurar(0.007), local(0.006), atencion(0.006), unidad(0.006), comunidad(0.006), victoria(0.005), guadalupe(0.005), cancha(0.004), minibasquet(0.004)",0.4323,alta,True,,,coherencia c_v,False
8,64,"americo(0.008), mora(0.007), pensar(0.005), corrupto(0.005), creer(0.005), beneficio(0.005), leon(0.005), justiciaparadafne(0.005), grande(0.005), principal(0.005), religioso(0.004), crimen(0.004), proteger(0.004), jesus(0.004), operar(0.004), amlo(0.004), jueza(0.004), servir(0.004), ojo(0.003), electrico(0.003)",0.4696,alta,True,,,coherencia c_v,False
9,70,"justicia(0.016), persona(0.012), familia(0.011), menor(0.010), vehiculo(0.009), gobernador(0.008), exigir(0.008), quintos(0.007), zapata(0.007), marina(0.006), accidente(0.006), continuar(0.005), registrar(0.005), alejandra(0.005), emergencia(0.005), lograr(0.005), permanecer(0.005), puente(0.005), ocurrir(0.005), exigencia(0.005)",0.2947,media,True,,,coherencia c_v,False
