usuario,palabra,conteo,tema,sub,plataforma
Facebook::Abby Brito,felicidad,1,0,1,Facebook
Facebook::Abby Brito,labor,1,19,7,Facebook
Facebook::Abby Brito,accion,1,23,3,Facebook
Facebook::Abby Brito,diferencia,1,7,6,Facebook
Facebook::Abby Brito,demostrar,1,18,2,Facebook
Facebook::Abby Brito,compromiso,1,23,8,Facebook
Facebook::Abby Brito,bienestar,1,23,5,Facebook
Facebook::Abby Brito,familia,1,1,1,Facebook
Facebook::Abby Brito,tampiquenas,1,23,6,Facebook
Facebook::Alejandra Sanchez,programa,1,13,0,Facebook
Facebook::Alejandra Sanchez,gobierno,1,14,0,Facebook
Facebook::Alejandra Sanchez,municipal,1,0,0,Facebook
Facebook::Alejandra Sanchez,cuidar,1,16,1,Facebook
Facebook::Alejandra Sanchez,apoyar,1,3,2,Facebook
Facebook::Alejandra Sanchez,bienestar,1,23,5,Facebook
Facebook::Alejandra Sanchez,ciudadania,1,23,3,Facebook
Facebook::Alejandra Sanchez,presidenta,1,22,5,Facebook
Facebook::Alexis Rocha,felicidad,1,0,1,Facebook
Facebook::Alexis Rocha,seguir,1,0,3,Facebook
Facebook::Alexis Rocha,transformar,1,20,3,Facebook
Facebook::Alexis Rocha,tampico,1,0,-1,Facebook
Facebook::Alexis Rocha,continuar,1,13,3,Facebook
Facebook::Amalia Avalos,ano,1,9,0,Facebook
Facebook::Amalia Avalos,esperar,1,0,4,Facebook
Facebook::Amalia Avalos,vecino,1,20,3,Facebook
Facebook::Amalia Avalos,colonia,1,20,3,Facebook
Facebook::Amalia Avalos,contar,1,20,6,Facebook
Facebook::Amalia Avalos,calle,1,20,3,Facebook
Facebook::Amalia Avalos,realidad,1,11,4,Facebook
Facebook::Amalia Avalos,cumplir,1,13,1,Facebook
Facebook::Ana Laura E P,tampicotecuida,6,0,1,Facebook
Facebook::Ana Laura E P,excelente,1,0,1,Facebook
Facebook::Ana Laura E P,presidenta,1,22,5,Facebook
Facebook::Ana Laura E P,felicidad,1,0,1,Facebook
Facebook::Ana Laura E P,nino,1,0,2,Facebook
Facebook::Ana Laura E P,joven,1,24,6,Facebook
Facebook::Ana Yuliana Mar Torres,tampicotecuida,3,0,1,Facebook
Facebook::Ana Yuliana Mar Torres,gracias,2,0,1,Facebook
Facebook::Ana Yuliana Mar Torres,lic,2,21,5,Facebook
Facebook::Ana Yuliana Mar Torres,persona,1,24,3,Facebook
Facebook::Ana Yuliana Mar Torres,grande,1,22,1,Facebook
Facebook::Ana Yuliana Mar Torres,obra,1,23,4,Facebook
Facebook::Ana Yuliana Mar Torres,formar,1,6,6,Facebook
Facebook::Ana Yuliana Mar Torres,generar,1,0,3,Facebook
Facebook::Ana Yuliana Mar Torres,impulsar,1,0,3,Facebook
Facebook::Ana Yuliana Mar Torres,desarrollo,1,23,1,Facebook
Facebook::Ana Yuliana Mar Torres,economico,1,3,8,Facebook
Facebook::Armando Chavez,bonito,1,20,2,Facebook
Facebook::Armando Chavez,deporte,1,0,2,Facebook
Facebook::Armando Chavez,gracias,1,0,1,Facebook
Facebook::Armando Chavez,alcaldesa,1,0,0,Facebook
Facebook::Armando Chavez,monica,1,0,0,Facebook
Facebook::Armando Chavez,villarreal,1,0,0,Facebook
Facebook::Armando Chavez,promover,1,3,7,Facebook
Facebook::Armando Chavez,hermoso,1,19,7,Facebook
Facebook::Arturo Garibay,excelente,2,0,1,Facebook
Facebook::Arturo Garibay,equipo,1,0,1,Facebook
Facebook::Arturo Garibay,opcion,1,19,8,Facebook
Facebook::Arturo Garibay,joven,1,24,6,Facebook
Facebook::Arturo Garibay,pueblo,1,5,2,Facebook
Facebook::Arturo Garibay,plaza,1,3,2,Facebook
Facebook::Arturo Garibay,golfo,1,2,5,Facebook
Facebook::Arturo Garibay,jornada,1,10,2,Facebook
Facebook::Arturo Garibay,bienestar,1,23,5,Facebook
Facebook::Arturo Garibay,detener,1,5,3,Facebook
Facebook::Arturo Garibay,presidenta,1,22,5,Facebook
Facebook::Arturo Garibay,monica,1,0,0,Facebook
Facebook::Aurelio Cantú D,presidenta,2,22,5,Facebook
Facebook::Aurelio Cantú D,excelente,1,0,1,Facebook
Facebook::Aurelio Cantú D,evento,1,0,2,Facebook
Facebook::Aurelio Cantú D,felicidades,1,0,1,Facebook
Facebook::Aurelio Cantú D,tampico,1,0,-1,Facebook
Facebook::Aurelio Cantú D,gracias,1,0,1,Facebook
Facebook::Aurelio Cantú D,liderazgo,1,13,0,Facebook
Facebook::Aurelio Cantú D,monica,1,0,0,Facebook
Facebook::Aurelio Cantú D,villarreal,1,0,0,Facebook
Facebook::Aurelio Cantú D,tampicotecuida,1,0,1,Facebook
Facebook::Ber Joss,hablar,1,5,2,Facebook
Facebook::Ber Joss,felicidad,1,0,1,Facebook
Facebook::Ber Joss,lic,1,21,5,Facebook
Facebook::Ber Joss,monica,1,0,0,Facebook
Facebook::Ber Joss,compromiso,1,23,8,Facebook
Facebook::Ber Joss,cumplir,1,13,1,Facebook
Facebook::Carlos Elizalde,seguro,2,17,7,Facebook
Facebook::Carlos Elizalde,social,2,14,2,Facebook
Facebook::Carlos Elizalde,luna,1,17,5,Facebook
Facebook::Carlos Elizalde,tampico,1,0,-1,Facebook
Facebook::Carlos Elizalde,muerto,1,25,0,Facebook
Facebook::Carlos Elizalde,hambre,1,25,5,Facebook
Facebook::Carlos Elizalde,chucho,1,25,5,Facebook
Facebook::Carlos Elizalde,nader,1,25,5,Facebook
Facebook::Carlos Elizalde,disfrutar,1,18,3,Facebook
Facebook::Carlos Elizalde,dinero,1,5,4,Facebook
Facebook::Carlos Elizalde,pueblo,1,5,2,Facebook
Facebook::Chucho Nader,saludo,2,17,7,Facebook
Facebook::Chucho Nader,quedar,1,4,3,Facebook
Facebook::Chucho Nader,compartir,1,23,0,Facebook
Facebook::Chucho Nader,video,1,24,8,Facebook
Facebook::Chucho Nader,esperar,1,0,4,Facebook
Facebook::Chucho Nader,gustar,1,5,6,Facebook
Facebook::Chucho Nader,pasar,1,5,2,Facebook
Facebook::Chucho Nader,semana,1,22,0,Facebook
Facebook::Chucho Nader,recordar,1,23,7,Facebook
Facebook::Chucho Nader,grande,1,22,1,Facebook
Facebook::Chucho Nader,esposa,1,25,5,Facebook
Facebook::Chucho Nader,visitar,1,8,1,Facebook
Facebook::Chucho Nader,ano,1,9,0,Facebook
Facebook::Chucho Nader,luna,1,17,5,Facebook
Facebook::Cornelio Lopez,gracias,3,0,1,Facebook
Facebook::Cornelio Lopez,obra,1,23,4,Facebook
Facebook::Cornelio Lopez,necesario,1,21,7,Facebook
Facebook::Cornelio Lopez,familia,1,1,1,Facebook
Facebook::Cornelio Lopez,zona,1,20,3,Facebook
Facebook::Cornelio Lopez,equipo,1,0,1,Facebook
Facebook::Cornelio Lopez,acompanar,1,18,2,Facebook
Facebook::Daniela Cervantes,excelente,3,0,1,Facebook
Facebook::Daniela Cervantes,iniciativa,1,3,0,Facebook
Facebook::Daniela Cervantes,labor,1,19,7,Facebook
Facebook::Daniela Cervantes,felicidades,1,0,1,Facebook
